site,site_code,sector_area,level_unit,sublevel_phase,cultural_attribution,cultural_attribution_confidence,sample_id,lab_code,method,treatment,sample_type,taxon_material,age_result,error_1sigma,age_scale_original,curve_or_reference,year_sample_or_measure,relation_to_human_presence,context_role,evaluation_final,selection_note,same_sample_group,bin_id,use_14c_primary,use_mixed_all_methods,use_human_presence,use_cultural_subset
L'Arbreda,ARB,,E,,Gravettian,high,ABD31,OxA-21669,14C,AF,bone,indet.,25780,210,14C_BP,IntCal20,,direct,dates_human_activity,include,Direct anthropic bone; E accepted,,,yes,yes,yes,yes
L'Arbreda,ARB,,E,,Gravettian,high,ABD30,OxA-21668,14C,AF*,bone,indet.,26100,210,14C_BP,IntCal20,,direct,dates_human_activity,include,Direct anthropic bone; E accepted,,,yes,yes,yes,yes
L'Arbreda,ARB,,F,,Gravettian,high,ABD5,OxA-21782,14C,AF,bone,cf. Cervus elaphus femur,28280,290,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,"Usable for sequence; unmodified fauna, not human proxy",,,yes,yes,no,no
L'Arbreda,ARB,,F,,Gravettian,high,ABD2,OxA-21781,14C,AF,bone,Cervus elaphus phalanx,28260,280,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,"Usable for sequence; unmodified fauna, not human proxy",,,yes,yes,no,no
L'Arbreda,ARB,,G,,Evolved Aurignacian,high,ABD27,OxA-21667,14C,AF,bone,indet.,32250,450,14C_BP,IntCal20,,direct,dates_human_activity,include,G main; direct human signal,,,yes,yes,yes,yes
L'Arbreda,ARB,,G,,Evolved Aurignacian,high,ABD6,OxA-21783,14C,AF*,bone point,indet.,32100,450,14C_BP,IntCal20,,direct,dates_human_activity,include,G main; bone tool,,,yes,yes,yes,yes
L'Arbreda,ARB,,G,,Evolved Aurignacian,high,ABD25,OxA-21666,14C,AF,bone,indet.,32750,450,14C_BP,IntCal20,,direct,dates_human_activity,include,G main; direct human signal,,,yes,yes,yes,yes
L'Arbreda,ARB,,H,,Proto-Aurignacian,low,ABD12,SANU-29018,14C,AF*,bone,indet.,32100,540,14C_BP,IntCal20,,uncertain,mixed_or_uncertain,doubtful,Possible percolation; excluded from baseline,,,no,yes,no,no
L'Arbreda,ARB,,H,,Proto-Aurignacian,high,ABD11,SANU-29017,14C,AF*,bone,indet.,34800,760,14C_BP,IntCal20,,direct,dates_human_activity,include,H main; direct anthropic bone,,,yes,yes,yes,yes
L'Arbreda,ARB,,H,,Proto-Aurignacian,medium,,SANU-29019,14C,AF*,bone,indet.,35900,860,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,H main; sample ref unresolved in supplement,,,yes,yes,yes,yes
L'Arbreda,ARB,,H,,Proto-Aurignacian,high,ABD10,SANU-29016,14C,AF*,bone,indet.,35700,830,14C_BP,IntCal20,,direct,dates_human_activity,include,H main; direct anthropic bone,,,yes,yes,yes,yes
L'Arbreda,ARB,,H,,Proto-Aurignacian,low,ABD9,SANU-29014,14C,AF*,bone,indet.,31900,530,14C_BP,IntCal20,,uncertain,mixed_or_uncertain,doubtful,Possible percolation; excluded from baseline,,,no,yes,no,no
L'Arbreda,ARB,,H,,Proto-Aurignacian / Evolved Aurignacian contact,low,ABD22,OxA-21674,14C,AF*,bone tool,indet.,33800,550,14C_BP,IntCal20,,direct,mixed_or_uncertain,doubtful,"Direct bone tool; best read as upper H or H/G contact, not H main",,,no,yes,yes,no
L'Arbreda,ARB,,H,,Proto-Aurignacian,high,ABD20,OxA-21665,14C,AF*,bone,Canis lupus radius,35850,700,14C_BP,IntCal20,,direct,dates_human_activity,include,H main; direct human signal,,,yes,yes,yes,yes
L'Arbreda,ARB,,H,,Proto-Aurignacian,high,ABD7,OxA-21784,14C,AF*,bone tool,indet.,36000,700,14C_BP,IntCal20,,direct,dates_human_activity,include,H main; bone tool,,,yes,yes,yes,yes
L'Arbreda,ARB,,H,,Proto-Aurignacian,high,ABD18,OxA-21664,14C,AF*,bone,indet.,35900,650,14C_BP,IntCal20,,direct,dates_human_activity,include,H main; direct human signal,,,yes,yes,yes,yes
L'Arbreda,ARB,,I,,Mousterian,medium,ABD17,OxA-21704,14C,AF*,bone,Cervus elaphus phalanx,39200,1000,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Usable for I sequence; weak human association,,,yes,yes,no,no
L'Arbreda,ARB,,I,,Mousterian,medium,ABD13,OxA-21662,14C,AF*,bone,Cervus elaphus metatarsal,37300,800,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Usable for I sequence; weak human association,,,yes,yes,no,no
L'Arbreda,ARB,,I,,Mousterian,medium,,OxA-19994,14C,ABOx-SC,charcoal,charcoal,38350,400,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Contextual charcoal for I; useful as bracket/sequence constraint,,,yes,yes,no,no
