site,site_code,sector_area,level_unit,sublevel_phase,cultural_attribution,cultural_attribution_confidence,sample_id,lab_code,method,treatment,sample_type,taxon_material,age_result,error_1sigma,age_scale_original,curve_or_reference,year_sample_or_measure,relation_to_human_presence,context_role,evaluation_final,selection_note,same_sample_group,bin_id,use_14c_primary,use_mixed_all_methods,use_human_presence,use_cultural_subset,
Abric Romaní,AR,R48/AR4,Carbonate above A,AR4 / above A,,,90-25,90-25,U-Series,alpha spectrometry,travertine carbonate,,43000,800,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,upper_bracket,doubtful,AR4 alpha-spectrometry determination retained for traceability, detrital-Th caution and strong package averaging advise conservative use.,,AR_AR4_aboveA,no,yes,no,
Abric Romaní,AR,R48/AR4,Carbonate above A,AR4 / above A,,,90-35,90-35,U-Series,alpha spectrometry,travertine carbonate,,45900,1300,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,upper_bracket,doubtful,AR4 alpha-spectrometry determination retained for traceability, detrital-Th caution and strong package averaging advise conservative use.,,AR_AR4_aboveA,no,yes,no,
Abric Romaní,AR,R48/AR4,Carbonate above A,AR4 / above A,,,90-49,90-49,U-Series,alpha spectrometry,travertine carbonate,,45700,1300,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,upper_bracket,doubtful,AR4 alpha-spectrometry determination retained for traceability, detrital-Th caution and strong package averaging advise conservative use.,,AR_AR4_aboveA,no,yes,no,
Abric Romaní,AR,R48/AR4,Carbonate above A,AR4 / above A,,,90-106,90-106,U-Series,alpha spectrometry,travertine carbonate,,43100,1200,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,upper_bracket,doubtful,AR4 alpha-spectrometry determination retained for traceability, detrital-Th caution and strong package averaging advise conservative use.,,AR_AR4_aboveA,no,yes,no,
Abric Romaní,AR,R48/AR4,Carbonate above A,AR4 / above A,,,NA#5,NA#5,U-Series,TIMS,travertine carbonate,,42100,300,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,upper_bracket,include,TIMS AR4 determination retained as usable upper bracket, package should be binned/averaged analytically.,,AR_AR4_aboveA,no,yes,no,
Abric Romaní,AR,R48/AR4,Carbonate above A,AR4 / above A,,,NA#6,NA#6,U-Series,TIMS,travertine carbonate,,42600,300,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,upper_bracket,include,TIMS AR4 determination retained as usable upper bracket, package should be binned/averaged analytically.,,AR_AR4_aboveA,no,yes,no,
Abric Romaní,AR,R48/AR4,Carbonate above A,AR4 / above A,,,NA#7,NA#7,U-Series,TIMS,travertine carbonate,,42600,400,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,upper_bracket,include,TIMS AR4 determination retained as usable upper bracket, package should be binned/averaged analytically.,,AR_AR4_aboveA,no,yes,no,
Abric Romaní,AR,R48/AR4,Carbonate above A,AR4 / above A,,,NA#8,NA#8,U-Series,TIMS,travertine carbonate,,41000,300,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,upper_bracket,include,TIMS AR4 determination retained as usable upper bracket, package should be binned/averaged analytically.,,AR_AR4_aboveA,no,yes,no,
Abric Romaní,AR,R48/AR4,Carbonate above A,AR4 / above A,,,NA#9,NA#9,U-Series,TIMS,travertine carbonate,,42300,300,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,upper_bracket,include,TIMS AR4 determination retained as usable upper bracket, package should be binned/averaged analytically.,,AR_AR4_aboveA,no,yes,no,
Abric Romaní,AR,R48/AR4,Carbonate above A,AR4 / above A,,,NA#10,NA#10,U-Series,TIMS,travertine carbonate,,41300,400,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,upper_bracket,include,TIMS AR4 determination retained as usable upper bracket, package should be binned/averaged analytically.,,AR_AR4_aboveA,no,yes,no,
Abric Romaní,AR,R48/AR4,Carbonate above A,AR4 / above A,,,NA#11,NA#11,U-Series,TIMS,travertine carbonate,,40700,600,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,upper_bracket,include,TIMS AR4 determination retained as usable upper bracket, package should be binned/averaged analytically.,,AR_AR4_aboveA,no,yes,no,
Abric Romaní,AR,R48/AR4,Carbonate above A,AR4 / above A,,,AR4-travertine,USGS-2839,14C,conventional,travertine carbonate,,36300,1300,14C_BP,IntCal20,,stratigraphic_bracket,upper_bracket,doubtful,Usable upper bracket for A package but problematic travertine 14C, retained outside cultural/human subsets.,,AR_AR4_aboveA,no,yes,no,
Abric Romaní,AR,,A,Level A,Protoaurignacian,medium,UA3,UA3,14C,conventional,charcoal,,37200,900,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Accepted Level A determination, retained for A/Protoaurignacian context and suitable for binned 14C analyses.,,AR_A,yes,yes,yes,
Abric Romaní,AR,,A,Level A,Protoaurignacian,medium,UA2,UA2,14C,conventional,charcoal,,35400,800,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,doubtful,Level A determination retained in master base but omitted from consolidated core, usable with caution and binning within A.,,AR_A,yes,yes,yes,
Abric Romaní,AR,AR2,A,Level A,Protoaurignacian,medium,AA-8037A,AA-8037A,14C,AMS,charcoal,,35400,810,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,doubtful,Level A determination retained in master base but omitted from consolidated core, usable with caution and binning within A.,AR_AA8037,AR_A,yes,yes,yes,
Abric Romaní,AR,AR2,A,Level A,Protoaurignacian,medium,AA-8037B,AA-8037B,14C,AMS,charcoal,,37900,1000,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Accepted Level A determination, retained for A/Protoaurignacian context and suitable for binned 14C analyses.,AR_AA8037,AR_A,yes,yes,yes,
Abric Romaní,AR,,A,Level A,Protoaurignacian,medium,NZA-2311,NZA-2311,14C,AMS,charcoal,,36590,640,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Accepted Level A determination, retained for A/Protoaurignacian context and suitable for binned 14C analyses.,,AR_A,yes,yes,yes,
Abric Romaní,AR,,A,Level A,Protoaurignacian,medium,AA-7395,AA-7395,14C,AMS,charcoal,,37290,990,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Accepted Level A determination, retained for A/Protoaurignacian context and suitable for binned 14C analyses.,,AR_A,yes,yes,yes,
Abric Romaní,AR,,A,Level A,Protoaurignacian,medium,AA-6608,AA-6608,14C,AMS,charcoal,,36740,920,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Accepted Level A determination, retained for A/Protoaurignacian context and suitable for binned 14C analyses.,,AR_A,yes,yes,yes,
Abric Romaní,AR,Hedges section,A,Level A,Protoaurignacian,medium,AR98,OxA-11967,14C,AMS,tooth,Equus sp.,35900,600,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,doubtful,Level A tooth date retained in core, principal residual tension of consolidated model.,,AR_A,yes,yes,yes,01.6_AR_full_sequence_structural_baseline_candidate_v2_results_cronologicos.md
Abric Romaní,AR,,A,Level A,Protoaurignacian,medium,ARMAC12817,OxA-X-2095-46,14C,AMS,shell,Zonaria pyrum,36090,230,14C_BP,Marine20,,direct,dates_human_activity,doubtful,Direct perforated shell date, excluded from consolidated core after S2/S3 marine sensitivities but retained as critical doubtful determination.,AR_ARMAC12817,AR_A,no,yes,yes,01.2_AR_full_sequence_structural_v1.1-S3_shellA_Marine20_outlier20_run_y_resultados.md
Abric Romaní,AR,R54/AR3,Carbonate below A,AR3 / below A,,,90-22,90-22,U-Series,alpha spectrometry,travertine carbonate,,45500,1300,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,lower_bracket,doubtful,Raw AR3 alpha-spectrometry determination retained, but detrital Th caution and package simplification require conservative use.,,AR_AR3_belowA,no,yes,no,
Abric Romaní,AR,R54/AR3,Carbonate below A,AR3 / below A,,,90-40,90-40,U-Series,alpha spectrometry,travertine carbonate,,48600,1400,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,lower_bracket,doubtful,Raw AR3 alpha-spectrometry determination retained, but detrital Th caution and package simplification require conservative use.,,AR_AR3_belowA,no,yes,no,
Abric Romaní,AR,R54/AR3,Carbonate below A,AR3 / below A,,,90-93,90-93,U-Series,alpha spectrometry,travertine carbonate,,46100,1300,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,lower_bracket,doubtful,Raw AR3 alpha-spectrometry determination retained, but detrital Th caution and package simplification require conservative use.,,AR_AR3_belowA,no,yes,no,
Abric Romaní,AR,R54/AR3,Carbonate below A,AR3 / below A,,,90-111,90-111,U-Series,alpha spectrometry,travertine carbonate,,45100,1000,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,lower_bracket,doubtful,Raw AR3 alpha-spectrometry determination retained, but detrital Th caution and package simplification require conservative use.,,AR_AR3_belowA,no,yes,no,
Abric Romaní,AR,R54/AR3,Carbonate below A,AR3 / below A,,,NA#14,NA#14,U-Series,TIMS,travertine carbonate,,41300,300,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,lower_bracket,doubtful,Below-A TIMS determination retained as structural lower bracket but outside the preferred AR3 core pair.,,,AR_AR3_belowA,no,yes,no,
