site,site_code,sector_area,level_unit,sublevel_phase,cultural_attribution,cultural_attribution_confidence,sample_id,lab_code,method,pretreatment,sample_type,taxon_material,age_result,error_1sigma,age_scale_original,curve,reference,year_sample_or_measure,relation_to_human_presence,context_role,evaluation_final,same_sample_group,bin_id,use_14c_primary,use_mixed_all_methods,use_human_presence,use_cultural_subset,selection_note
Cova Gran de Santa Linya,CGSL,Ramp,497A,,EUP,medium,,MAD-5569BIN,TL,,burned_flint,,20555,1940,BP,,Mora et al. 2018,,direct,dates_archaeological_unit,include,,CGSL_Ramp_497A,no,yes,yes,no,"TL útil como control estructural del Ramp; entra en base maestra y exploración mixta, no en 14C primario ni subset cultural."
Cova Gran de Santa Linya,CGSL,Ramp,497A,,EUP,medium,CG-7A-461,Beta-207576,14C,A,shell,marine shell,21690,120,14C_BP,Marine20,Martinez-Moreno et al. 2010,,indirect_contextual,mixed_or_uncertain,doubtful,,CGSL_Ramp_497A,no,no,no,no,Concha marina de 497A; probable edad mínima y sin utilidad suficiente para subconjuntos analíticos.
Cova Gran de Santa Linya,CGSL,Ramp,497A,,EUP,medium,,OxA-19262,14C,CarDS,shell,marine shell,24600,110,14C_BP,Marine20,Mora et al. 2018,,indirect_contextual,mixed_or_uncertain,doubtful,,CGSL_Ramp_497A,no,no,no,no,"CarDS sobre concha de 497A; se conserva por trazabilidad, pero no entra en subconjuntos por fiabilidad limitada."
Cova Gran de Santa Linya,CGSL,Ramp,497C,,EUP,medium,CG-7C-491,Beta-207577,14C,A,shell,marine shell,26220,220,14C_BP,Marine20,Martinez-Moreno et al. 2010,,indirect_contextual,mixed_or_uncertain,doubtful,,CGSL_Ramp_497C,no,no,no,no,Concha marina de 497C; probable mínima y retenida solo como contexto cronológico dudoso.
Cova Gran de Santa Linya,CGSL,Ramp,497C,,EUP,medium,,MAD-5570BIN,TL,,burned_flint,,22922,1777,BP,,Mora et al. 2018,,direct,dates_archaeological_unit,include,,CGSL_Ramp_497C,no,yes,yes,no,TL útil para ordenar 497C dentro del Ramp; válida en base maestra y exploración mixta.
Cova Gran de Santa Linya,CGSL,Ramp,497D,,EUP,low,,MAD-5502BIN,TL,,burned_flint,,36610,4056,BP,,Mora et al. 2018,,direct,dates_archaeological_unit,include,,CGSL_Ramp_497D,no,yes,yes,no,TL coherente pero amplia; útil como control estructural independiente del 14C.
Cova Gran de Santa Linya,CGSL,Ramp,497D,,EUP,low,,OxA-19250,14C,CarDS,shell,marine shell,26340,130,14C_BP,Marine20,Mora et al. 2018,,indirect_contextual,mixed_or_uncertain,doubtful,,CGSL_Ramp_497D,no,no,no,no,Concha marina de 497D; probable mínima y no adecuada para anclar el nivel ni para subconjuntos.
Cova Gran de Santa Linya,CGSL,Ramp,497D,,EUP,low,CG-7D-50,Beta-207578,14C,ABA,charcoal,,32630,450,14C_BP,IntCal20,Martinez-Moreno et al. 2010,,direct,dates_archaeological_unit,include,,CGSL_Ramp_497D,yes,yes,yes,no,Carbón independiente de 497D; usable y retenido en base maestra aunque no sea el ancla consolidada principal.
Cova Gran de Santa Linya,CGSL,Ramp,497D,,EUP,low,CG-7D-49a,AA-68834a,14C,A,charcoal,,32368,241,14C_BP,IntCal20,Martinez-Moreno et al. 2010,,direct,dates_archaeological_unit,doubtful,CGSL_CG-7D-49,CGSL_Ramp_497D,no,no,no,no,Misma muestra física que la ABOX; pretratamiento inferior y se conserva solo por trazabilidad.
Cova Gran de Santa Linya,CGSL,Ramp,497D,,EUP,low,CG-7D-49b,AA-68834b,14C,AAA,charcoal,,33068,261,14C_BP,IntCal20,Martinez-Moreno et al. 2010,,direct,dates_archaeological_unit,doubtful,CGSL_CG-7D-49,CGSL_Ramp_497D,no,no,no,no,Misma muestra física que la ABOX; pretratamiento inferior y se conserva solo por trazabilidad.
Cova Gran de Santa Linya,CGSL,Ramp,497D,,EUP,low,CG-7D-49c,AA-68834c,14C,ABOX,charcoal,,34179,247,14C_BP,IntCal20,Martinez-Moreno et al. 2010,,direct,dates_archaeological_unit,include,CGSL_CG-7D-49,CGSL_Ramp_497D,yes,yes,yes,no,ABOX sobre CG-7D-49; ancla cronológica principal consolidada de 497D.
Cova Gran de Santa Linya,CGSL,Ramp,S1B,,MP,high,,MAD-5580BIN,TL,,burned_flint,,35820,2237,BP,,Mora et al. 2018,,direct,dates_archaeological_unit,include,,CGSL_Ramp_S1B,no,yes,yes,yes,"TL estructural de S1B; útil en exploración mixta y como apoyo del PM final, aunque amplia."
Cova Gran de Santa Linya,CGSL,Ramp,S1B,,MP,high,CG-1B-1269,Beta-224299,14C,ABA,charcoal,,38640,440,14C_BP,IntCal20,Martinez-Moreno et al. 2010,,direct,dates_archaeological_unit,include,,CGSL_Ramp_S1B,yes,yes,yes,yes,Carbón principal consolidado de S1B; ancla del PM final publicado en Cova Gran.
Cova Gran de Santa Linya,CGSL,Ramp,S1C,,MP,high,,MAD-5575BIN,TL,,burned_flint,,40288,3389,BP,,Mora et al. 2018,,direct,dates_archaeological_unit,include,,CGSL_Ramp_S1C,no,yes,yes,yes,TL útil para la coherencia secuencial del Ramp y aceptable en exploración mixta.
Cova Gran de Santa Linya,CGSL,Ramp,S1C,,MP,high,CG-1C-974,Beta-195430,14C,ABA,charcoal,,32000,300,14C_BP,IntCal20,Martinez-Moreno et al. 2010,,direct,dates_archaeological_unit,doubtful,,CGSL_Ramp_S1C,no,no,no,no,"AMS de S1C probablemente mínima; se conserva como dudosa, sin uso en subconjuntos derivados."
Cova Gran de Santa Linya,CGSL,Ramp,S1D,,MP,high,,MAD-5574BIN,TL,,burned_flint,,41308,3979,BP,,Mora et al. 2018,,direct,dates_archaeological_unit,include,,CGSL_Ramp_S1D,no,yes,yes,yes,TL útil para sostener la arquitectura secuencial del Ramp y aceptable en exploración mixta.
Cova Gran de Santa Linya,CGSL,Ramp,S1D,,MP,high,CG-1D-60,Beta-187423,14C,ABA,charcoal,,32180,430,14C_BP,IntCal20,Martinez-Moreno et al. 2010,,direct,dates_archaeological_unit,doubtful,,CGSL_Ramp_S1D,no,no,no,no,AMS de S1D probablemente mínima y parte de la sincronía artificial con 497D; solo trazabilidad.
Cova Gran de Santa Linya,CGSL,Ramp,S1D,,MP,high,CG-1D-1657,Beta-195431,14C,ABA,charcoal,,33090,350,14C_BP,IntCal20,Martinez-Moreno et al. 2010,,direct,dates_archaeological_unit,doubtful,,CGSL_Ramp_S1D,no,no,no,no,AMS de S1D probablemente mínima y parte de la sincronía artificial con 497D; solo trazabilidad.
Cova Gran de Santa Linya,CGSL,Ramp,S1D,,MP,high,CG-1D-2492,Beta-207575,14C,ABA,charcoal,,32260,490,14C_BP,IntCal20,Martinez-Moreno et al. 2010,,direct,dates_archaeological_unit,doubtful,,CGSL_Ramp_S1D,no,no,no,no,AMS de S1D probablemente mínima y parte de la sincronía artificial con 497D; solo trazabilidad.
