site,site_code,sector_area,level_unit,sublevel_phase,cultural_attribution,cultural_attribution_confidence,sample_id,lab_code,method,pretreatment,sample_type,taxon_material,age_result,error_1sigma,age_scale_original,curve,reference,year_sample_or_measure,relation_to_human_presence,context_role,evaluation_final,same_sample_group,bin_id,use_14c_primary,use_mixed_all_methods,use_human_presence,use_cultural_subset,selection_note
Cova Foradada,FO,,IIIn,,Gravettian,high,FO-003,OxA-24646,14C,,shell,H. sanguineum,26570,120,14C_BP,Marine20,Morales et al. 2019,,indirect_contextual,dates_archaeological_unit,include,,FO_IIIn,yes,yes,yes,yes,Included in consolidated model for Unit IIIn; shell date calibrated with Marine20 and provisional ΔR; useful for the Gravettian unit but not direct human activity.
Cova Foradada,FO,Fo-IIIn-C6-141,IIIn,,Gravettian,high,FO-004,Beta-674118,14C,,shell,H. sanguineum,25830,110,14C_BP,Marine20,Morales et al. 2019,,indirect_contextual,dates_archaeological_unit,include,,FO_IIIn,yes,yes,yes,yes,Included in consolidated model for Unit IIIn; shell date calibrated with Marine20 and provisional ΔR; useful for the Gravettian unit but not direct human activity.
Cova Foradada,FO,Fo13-D9-442,IIIc,,Early Aurignacian,medium,FO-005,Beta-378800,14C,AAA,charcoal,Juniperus,30220,180,14C_BP,IntCal20,Morales et al. 2019,,indirect_contextual,dates_archaeological_unit,include,,FO_IIIc,yes,yes,yes,yes,Included in consolidated model for IIIc; AAA date retained after S4 showed only limited rejuvenation effect relative to ABOx-SC dates.
Cova Foradada,FO,Fo13-E8-2429b,IIIc,,Early Aurignacian,high,FO-006,OxA-34233,14C,ABOx-SC,charcoal,Pinus tipo sylvestris,33170,370,14C_BP,IntCal20,Morales et al. 2019,,indirect_contextual,dates_archaeological_unit,include,,FO_IIIc,yes,yes,yes,yes,Included in consolidated model for IIIc; ABOx-SC replicate preferred over discordant AAA sub-sample of the same sample.
Cova Foradada,FO,Fo14-E8-2705b,IIIc,,Early Aurignacian,high,FO-007,OxA-34251,14C,ABOx-SC,charcoal,Juniperus,32050,550,14C_BP,IntCal20,Morales et al. 2019,,indirect_contextual,dates_archaeological_unit,include,,FO_IIIc,yes,yes,yes,yes,Included in consolidated model for IIIc; ABOx-SC replicate preferred over discordant AAA sub-sample of the same sample.
Cova Foradada,FO,Fo-E8-IV-2782 a,IV-IV.1,,Chatelperronian,high,FO-009,OxA-X-2649-9,14C,ABOx-SC,charcoal,Pinus tipo sylvestris,34490,320,14C_BP,IntCal20,Morales et al. 2019,,indirect_contextual,dates_archaeological_unit,include,FO_FO-009,FO_IV-IV.1,yes,yes,yes,yes,Included in consolidated model for IV-IV.1 through R_Combine of paired sub-samples from the same sample; keep grouped analytically to avoid overweighting.
Cova Foradada,FO,Fo-E8-IV-2782 b,IV-IV.1,,Chatelperronian,high,FO-009,Beta-435465,14C,AAA,charcoal,Pinus tipo sylvestris,34570,240,14C_BP,IntCal20,Morales et al. 2019,,indirect_contextual,dates_archaeological_unit,include,FO_FO-009,FO_IV-IV.1,yes,yes,yes,yes,Included in consolidated model for IV-IV.1 through R_Combine of paired sub-samples from the same sample; keep grouped analytically to avoid overweighting.
Cova Foradada,FO,Fo-E8-IV-2795,IV-IV.1,,Chatelperronian,high,FO-010,OxA-X-2650-9,14C,ABOx-SC,charcoal,Conifera indet,34300,1000,14C_BP,IntCal20,Morales et al. 2019,,indirect_contextual,dates_archaeological_unit,doubtful,,FO_IV-IV.1,no,no,no,no,"Included in consolidated model for IV-IV.1, but treated with elevated outlier prior because of analytical uncertainty and possible minimum-age effect."
Cova Foradada,FO,Fo-F8-IV1-3229,IIIc,,Early Aurignacian,low,FO-012,OxA-34250,14C,ABOx-SC,charcoal,Pinus tipo sylvestris,33050,400,14C_BP,IntCal20,Morales et al. 2019,,indirect_contextual,dates_archaeological_unit,doubtful,,FO_IIIc,yes,yes,yes,no,"Chronologically usable and included in the consolidated model, but original SW Gallery attribution was IIIc/IV and final assignment to IIIc is model-preferred rather than stratigraphically secure."
Cova Foradada,FO,Fo-F8-IV1-3190,IIIc,,Early Aurignacian,low,FO-013,OxA-34232,14C,ABOx-SC,charcoal,Pinus tipo sylvestris,33050,350,14C_BP,IntCal20,Morales et al. 2019,,indirect_contextual,dates_archaeological_unit,doubtful,,FO_IIIc,yes,yes,yes,no,"Chronologically usable and included in the consolidated model, but original SW Gallery attribution was IIIc/IV and final assignment to IIIc is model-preferred rather than stratigraphically secure."
