"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 184.7
Aoverall 189.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End AR full sequence",,,,,"41518","40428","41794","39529",,,,,88.4,
"Boundary End AR Carbonates above A",,,,,"41671","40885","41908","40282",,,,,98.2,
"AR Age Carbonates above A",,,,,"41749","41072","41957","40560",,,,,98.8,
"N AR4 average age","43733","41467","44800","40400","41742","41082","41962","40620",,74.2,,95.2,99,
"R_Date USGS-2839","42191","40296","43129","39037","41742","41071","41952","40585",,133.8,,95.6,98.9,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41826","41240","42020","40819",,,,,99.1,
"Boundary End AR Level A",,,,,"41975","41533","42111","41225",,,,,99.3,
"AR Age Level A",,,,,"42091","41690","42249","41407",,,,,99.8,
"R_Date UA3","42758","41647","43865","41020","42105","41706","42255","41438",,108.9,,95.6,99.8,
"R_Date UA1","42320","41317","42812","40632","42090","41697","42231","41425",,133,,95.8,99.8,
"R_Date AA-6608","42176","41029","42583","40124","42080","41689","42220","41415",,127.1,,95.7,99.8,
"R_Date OxA-11967","41541","40469","41961","39900","42046","41667","42180","41386",,46.6,,94.6,99.8,
"R_Date AA-7395","42400","41290","43045","40495","42091","41697","42237","41426",,135.7,,95.8,99.8,
"R_Date NZA-2311","41976","41126","42273","40597","42065","41682","42197","41417",,107.2,,95.7,99.8,
"R_Date AA-8037B","42758","41647","43865","41020","42105","41706","42255","41438",,108.9,,95.6,99.8,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42230","41832","42415","41577",,,,,99.3,
"Boundary End AR Carbonates below A",,,,,"42564","42234","42697","42002",,,,,99.6,
"AR Age Carbonates below A",,,,,"42632","42345","42776","42166",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42638","42378","42766","42248",,86.5,,95.7,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42618","42358","42744","42222",,120,,96.2,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42715","42446","42860","42313",,,,,99.8,
"Boundary End AR Level B",,,,,"42844","42560","43022","42421",,,,,99.8,
"AR Age Level B",,,,,"42972","42624","43289","42478",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42914","42638","43098","42507",,88.9,,95.3,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43118","42676","43580","42531",,,,,99.6,
"Boundary End AR Level D",,,,,"43701","42909","44273","42728",,,,,99.6,
"AR Age Level D",,,,,"44002","43113","44556","42871",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","43995","43125","44506","42899",,118.2,,95.6,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44317","43305","44874","42986",,,,,99.5,
"Boundary End AR Carbonate below D",,,,,"44879","43727","45463","43289",,,,,99.3,
"AR Age Carbonate below D",,,,,"45111","43989","45703","43507",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45125","43975","45725","43475",,137.5,,95.3,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45375","44228","45973","43693",,,,,99.4,
"Boundary End AR Level E",,,,,"45790","44708","46408","44212",,,,,99.3,
"AR Age Level E",,,,,"45995","44937","46599","44470",,,,,99.6,
"R_Date NZA-2314","46722","44746","48336","44235","45975","44955","46579","44540",,126.3,,95.5,99.6,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46220","45141","46816","44682",,,,,99.4,
"Boundary End AR Level H",,,,,"46662","45559","47254","45079",,,,,99.1,
"AR Age Level H",,,,,"46854","45767","47455","45277",,,,,99.5,
"R_Date CAMS_H","52337","44165","...","42911","46858","45771","47450","45280",,115.8,,95.2,99.5,
"R_Date NZA-2315","48181","45723","50184","44765","46857","45793","47443","45305",,122.9,,95.4,99.5,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47060","45950","47666","45447",,,,,99.2,
"Boundary End AR Travertine H-I",,,,,"47453","46285","48065","45766",,,,,99.2,
"AR Age Travertine H-I",,,,,"47647","46490","48235","45959",,,,,99.3,
"N AR U-series 45100±3100","48293","41907","51300","38900","47695","46424","48222","45959",,114.4,,95.1,99.5,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47830","46667","48426","46121",,,,,98.9,
"Boundary End AR Travertine J-I",,,,,"48246","47076","48768","46536",,,,,97.8,
"AR Age Travertine J-I",,,,,"48413","47264","49010","46701",,,,,98.5,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48465","47218","49074","46638",,125.3,,95.2,98.8,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48456","47256","49016","46712",,93.3,,95.2,98.8,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48503","47180","49070","46640",,120.9,,95.2,98.8,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48450","47225","49100","46600",,136.2,,95.3,98.8,
