"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 176.6
Aoverall 179.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End AR full sequence",,,,,"41371","40346","41652","39433",,,,,92.4,
"Boundary End AR Carbonates above A",,,,,"41521","40791","41759","40197",,,,,97.9,
"AR Age Carbonates above A",,,,,"41596","40972","41796","40490",,,,,98.7,
"N AR4 average age","43733","41467","44800","40400","41610","40950","41808","40499",,65.6,,95.1,98.9,
"R_Date USGS-2839","42191","40296","43129","39037","41591","40975","41791","40511",,133.5,,95.6,98.7,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41675","41138","41850","40745",,,,,99,
"Boundary End AR Level A",,,,,"41800","41412","41932","41172",,,,,99.3,
"AR Age Level A",,,,,"41929","41546","42123","41325",,,,,99.7,
"R_F14C OxA-X-2095-46","41717","41291","41907","41138","41875","41550","41975","41355",,88.7,,95.6,99.7,
"R_Date UA3","42758","41647","43865","41020","41946","41558","42145","41354",,89.9,,95.5,99.7,
"R_Date UA1","42320","41317","42812","40632","41933","41556","42111","41345",,128,,95.7,99.8,
"R_Date AA-6608","42176","41029","42583","40124","41924","41551","42096","41336",,133.9,,95.7,99.8,
"R_Date OxA-11967","41541","40469","41961","39900","41901","41547","42033","41313",,62.1,,95.2,99.7,
"R_Date AA-7395","42400","41290","43045","40495","41935","41556","42117","41344",,129.1,,95.7,99.8,
"R_Date NZA-2311","41976","41126","42273","40597","41916","41556","42066","41341",,122.1,,95.8,99.8,
"R_Date AA-8037B","42758","41647","43865","41020","41945","41558","42148","41356",,89.9,,95.5,99.8,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42088","41659","42326","41472",,,,,99.3,
"Boundary End AR Carbonates below A",,,,,"42566","42208","42693","41926",,,,,99.5,
"AR Age Carbonates below A",,,,,"42628","42330","42769","42125",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42632","42372","42756","42236",,84.1,,95.6,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42616","42344","42740","42200",,119.1,,96.1,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42706","42445","42848","42311",,,,,99.8,
"Boundary End AR Level B",,,,,"42830","42560","42990","42425",,,,,99.8,
"AR Age Level B",,,,,"42955","42622","43266","42481",,,,,99.9,
"R_F14C OxA-12025","42810","42520","42968","42396","42900","42641","43060","42515",,91.3,,95.3,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43093","42673","43559","42536",,,,,99.7,
"Boundary End AR Level D",,,,,"43702","42906","44273","42729",,,,,99.6,
"AR Age Level D",,,,,"43986","43103","44543","42863",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","43982","43119","44497","42894",,118.2,,95.6,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44294","43293","44876","42977",,,,,99.5,
"Boundary End AR Carbonate below D",,,,,"44880","43738","45465","43285",,,,,99.4,
"AR Age Carbonate below D",,,,,"45122","43998","45703","43494",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","43975","45725","43475",,137.5,,95.3,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45373","44225","45972","43680",,,,,99.4,
"Boundary End AR Level E",,,,,"45807","44717","46408","44209",,,,,99.4,
"AR Age Level E",,,,,"46011","44942","46620","44486",,,,,99.7,
"R_Date NZA-2314","46722","44746","48336","44235","45985","44960","46583","44538",,126.3,,95.5,99.7,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46224","45149","46826","44697",,,,,99.4,
"Boundary End AR Level H",,,,,"46658","45557","47266","45079",,,,,99.2,
"AR Age Level H",,,,,"46862","45776","47459","45277",,,,,99.5,
"R_Date CAMS_H","52337","44165","...","42911","46856","45774","47462","45278",,115.7,,95.1,99.5,
"R_Date NZA-2315","48181","45723","50184","44765","46860","45798","47457","45306",,123.1,,95.4,99.5,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47070","45952","47694","45457",,,,,99.1,
"Boundary End AR Travertine H-I",,,,,"47458","46291","48069","45769",,,,,99.1,
"AR Age Travertine H-I",,,,,"47645","46484","48242","45967",,,,,99.3,
