"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 71.8
Aoverall 92",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End AR full sequence",,,,,"41414","40109","41743","39141",,,,,92.1,
"Boundary End AR Carbonates above A",,,,,"41613","40574","41860","39887",,,,,97.5,
"AR Age Carbonates above A",,,,,"41715","40762","41908","40130",,,,,98,
"N AR4 average age","43733","41467","44800","40400","41720","40785","41918","40147",,61.8,,95,98.1,
"R_Date USGS-2839","42191","40296","43129","39037","41714","40765","41900","40150",,128.1,,96.6,98,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41837","40919","41978","40353",,,,,97.8,
"Boundary End AR Level A",,,,,"42014","41310","42086","40644",,,,,97.9,
"Curve Atmospheric reset after AR shell A",,,,,,,,,,,,,,
"AR Age Level A",,,,,"42081","41536","42243","41018",,,,,99.3,
"R_Date OxA-X-2095-46","40819","40368","41010","40100","42121","41465","42191","40756",,14.1,,20.9,98.4,
"Delta_R =AR shell Delta_R",,,,,"-77","-16","-107","14",,,,,99.9,
"Curve Marine20 AR shell A",,,,,,,,,,,,,,
"R_Date UA3","42758","41647","43865","41020","42086","41585","42252","41219",,97.5,,96.7,99.5,
"R_Date UA1","42320","41317","42812","40632","42069","41561","42225","41161",,127.2,,97.3,99.4,
"R_Date AA-6608","42176","41029","42583","40124","42066","41547","42210","41093",,129,,97.2,99.3,
"R_Date OxA-11967","41541","40469","41961","39900","42051","41494","42163","40962",,65.7,,94.7,98.9,
"R_Date AA-7395","42400","41290","43045","40495","42072","41560","42231","41147",,129.1,,97.2,99.4,
"R_Date NZA-2311","41976","41126","42273","40597","42048","41540","42182","41120",,113.7,,97.3,99.2,
"R_Date AA-8037B","42758","41647","43865","41020","42086","41585","42251","41217",,97.5,,96.7,99.5,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42219","41752","42410","41448",,,,,99.3,
"Boundary End AR Carbonates below A",,,,,"42520","42160","42709","41925",,,,,99.5,
"AR Age Carbonates below A",,,,,"42606","42241","42848","42055",,,,,99.8,
"N AR U-series 42700±200","42906","42494","43100","42300","42620","42280","42824","42138",,73,,95.5,99.8,
"N AR U-series 42500±200","42706","42294","42900","42100","42596","42266","42782","42126",,110.1,,97.9,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42700","42305","43021","42166",,,,,99.6,
"Boundary End AR Level B",,,,,"42880","42327","43473","42213",,,,,99.5,
"Curve Atmospheric reset after AR shell B",,,,,,,,,,,,,,
"AR Age Level B",,,,,"43068","42395","43676","42273",,,,,99.6,
"R_Date OxA-12025","42339","42009","42522","41828","42983","42355","43635","42257",,15.3,,54,99.5,
"Delta_R AR shell Delta_R","-73.5","-10.5","-102","18","-77","-16","-107","14",,99.1,,,99.9,
"Curve Marine20 AR shell B",,,,,,,,,,,,,,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43246","42444","43912","42317",,,,,99.3,
"Boundary End AR Level D",,,,,"43862","42871","44409","42583",,,,,99.4,
"AR Age Level D",,,,,"44125","43112","44672","42776",,,,,99.7,
"R_Date NZA-2313","44410","43055","45285","42611","44110","43134","44609","42823",,116.6,,96.8,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44414","43338","44960","42941",,,,,99.5,
"Boundary End AR Carbonate below D",,,,,"44936","43775","45521","43267",,,,,99.4,
"AR Age Carbonate below D",,,,,"45174","44018","45754","43496",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45175","44025","45775","43475",,138,,95.7,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45436","44245","46024","43691",,,,,99.4,
"Boundary End AR Level E",,,,,"45837","44734","46471","44235",,,,,99.4,
"AR Age Level E",,,,,"46024","44949","46625","44485",,,,,99.7,
"R_Date NZA-2314","46722","44746","48336","44235","45999","44969","46590","44539",,127.6,,96.5,99.7,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46237","45152","46850","44700",,,,,99.4,
"Boundary End AR Level H",,,,,"46682","45579","47276","45073",,,,,99.2,
"AR Age Level H",,,,,"46878","45782","47487","45282",,,,,99.6,
"R_Date CAMS_H","52337","44165","...","42911","46878","45789","47465","45279",,116,,95.4,99.7,
"R_Date NZA-2315","48181","45723","50184","44765","46879","45809","47470","45308",,124.4,,96.2,99.6,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47074","45957","47710","45454",,,,,99.1,
"Boundary End AR Travertine H-I",,,,,"47466","46305","48064","45775",,,,,99.2,
"AR Age Travertine H-I",,,,,"47643","46494","48247","45960",,,,,99.2,
"N AR U-series 45100±3100","48293","41907","51300","38900","47695","46455","48284","45928",,114.4,,95.4,99.5,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47852","46683","48458","46137",,,,,98.6,
"Boundary End AR Travertine J-I",,,,,"48243","47077","48812","46544",,,,,97.3,
"AR Age Travertine J-I",,,,,"48419","47262","49055","46725",,,,,97.8,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48494","47189","49132","46638",,126,,95.5,98.1,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48472","47240","49048","46744",,94.5,,95.6,98,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48530","47180","49124","46667",,121.7,,95.5,98.1,
