"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 117.1
Aoverall 134.7",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End AR full sequence",,,,,"41401","40029","41752","39099",,,,,90.3,
"Boundary End AR Carbonates above A",,,,,"41587","40499","41861","39823",,,,,97.9,
"AR Age Carbonates above A",,,,,"41683","40678","41906","40073",,,,,98.3,
"N AR4 average age","43733","41467","44800","40400","41709","40653","41918","40081",,59.3,,95.1,98.5,
"R_Date USGS-2839","42191","40296","43129","39037","41685","40678","41898","40089",,126.1,,96.6,98.3,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41827","40693","41969","40275",,,,,98.1,
"Boundary End AR Level A",,,,,"42001","40818","42080","40572",,,,,98.1,
"Curve Atmospheric reset after AR shell A",,,,,,,,,,,,,,
"AR Age Level A",,,,,"42098","41515","42255","40950",,,,,99.4,
"R_Date OxA-X-2095-46","40786","40330","40980","40060","42110","40878","42196","40696",,15.9,,25.1,98.3,
"Delta_R =AR shell Delta_R","-0.5","0.5","-0.5","0.5","-0.5","0.5","-0.5","0.5",,100,,,100,
"Curve Marine20 AR shell A",,,,,,,,,,,,,,
"R_Date UA3","42758","41647","43865","41020","42099","41574","42271","41196",,97.8,,96.7,99.5,
"R_Date UA1","42320","41317","42812","40632","42079","41549","42235","41120",,126,,97.2,99.5,
"R_Date AA-6608","42176","41029","42583","40124","42072","41525","42220","41048",,128,,97.1,99.4,
"R_Date OxA-11967","41541","40469","41961","39900","42062","41461","42163","40905",,68.5,,94.8,99.1,
"R_Date AA-7395","42400","41290","43045","40495","42084","41547","42240","41115",,128,,97.1,99.5,
"R_Date NZA-2311","41976","41126","42273","40597","42056","41521","42189","41081",,112.9,,97.2,99.4,
"R_Date AA-8037B","42758","41647","43865","41020","42097","41574","42271","41195",,97.7,,96.6,99.6,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42246","41765","42446","41447",,,,,98.9,
"Boundary End AR Carbonates below A",,,,,"42570","42227","42711","41973",,,,,99.6,
"AR Age Carbonates below A",,,,,"42637","42343","42785","42148",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42640","42380","42772","42240",,88,,97.1,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42620","42360","42750","42212",,121.6,,98,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42714","42443","42865","42305",,,,,99.8,
"Boundary End AR Level B",,,,,"42846","42557","43038","42412",,,,,99.9,
"AR Age Level B",,,,,"42977","42621","43313","42474",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42918","42636","43121","42500",,89.5,,96.2,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43122","42676","43606","42531",,,,,99.7,
