"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 151.2
Aoverall 156",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End AR full sequence",,,,,"41487","40223","41769","39288",,,,,90.8,
"Boundary End AR Carbonates above A",,,,,"41642","40720","41878","40016",,,,,97.1,
"AR Age Carbonates above A",,,,,"41735","40928","41927","40280",,,,,97.9,
"N AR4 average age","43733","41467","44800","40400","41731","40950","41940","40290",,67,,95.3,98.2,
"R_Date USGS-2839","42191","40296","43129","39037","41733","40931","41928","40297",,131.6,,96.8,97.8,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41828","41108","41997","40501",,,,,98.2,
"Boundary End AR Level A",,,,,"41971","41413","42107","40776",,,,,98.9,
"Curve Atmospheric reset after AR shell A",,,,,,,,,,,,,,
"AR Age Level A",,,,,"42080","41595","42270","41177",,,,,99.6,
"R_Date OxA-X-2095-46","40819","40368","41010","40100","42089","41555","42230","40864",,30.9,,8.2,99.3,
"Delta_R AR shell Delta_R","-73.5","-10.5","-102","18","-74","-12.5","-103.5","17.5",,99.8,,,99.9,
"Curve Marine20 AR shell A",,,,,,,,,,,,,,
"R_Date UA3","42758","41647","43865","41020","42091","41627","42259","41306",,102.2,,96.9,99.7,
"R_Date UA1","42320","41317","42812","40632","42074","41610","42235","41268",,130.7,,97.5,99.6,
"R_Date AA-6608","42176","41029","42583","40124","42065","41600","42230","41225",,129.9,,97.4,99.6,
"R_Date OxA-11967","41541","40469","41961","39900","42040","41567","42185","41112",,58.2,,94.5,99.4,
"R_Date AA-7395","42400","41290","43045","40495","42075","41610","42240","41260",,132.9,,97.4,99.6,
"R_Date NZA-2311","41976","41126","42273","40597","42051","41598","42196","41242",,113.1,,97.5,99.5,
"R_Date AA-8037B","42758","41647","43865","41020","42091","41627","42261","41311",,102.2,,96.9,99.7,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42226","41773","42418","41491",,,,,99.2,
"Boundary End AR Carbonates below A",,,,,"42565","42224","42703","41971",,,,,99.5,
"AR Age Carbonates below A",,,,,"42635","42340","42784","42147",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42638","42376","42770","42238",,87.9,,97.3,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42620","42356","42748","42212",,121.9,,98.4,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42715","42443","42870","42305",,,,,99.8,
"Boundary End AR Level B",,,,,"42846","42558","43043","42411",,,,,99.9,
"AR Age Level B",,,,,"42976","42621","43316","42474",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42916","42636","43124","42497",,89.7,,96.3,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43119","42672","43613","42535",,,,,99.6,
"Boundary End AR Level D",,,,,"43706","42910","44287","42731",,,,,99.6,
"AR Age Level D",,,,,"44005","43112","44556","42867",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","44003","43128","44508","42899",,119.8,,97,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44305","43293","44870","42988",,,,,99.5,
"Boundary End AR Carbonate below D",,,,,"44884","43739","45497","43290",,,,,99.3,
"AR Age Carbonate below D",,,,,"45123","43996","45720","43502",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","43975","45750","43475",,138.1,,95.8,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45392","44222","45997","43691",,,,,99.3,
"Boundary End AR Level E",,,,,"45817","44717","46434","44220",,,,,99.3,
"AR Age Level E",,,,,"46016","44945","46626","44476",,,,,99.6,
"R_Date NZA-2314","46722","44746","48336","44235","45990","44962","46605","44541",,127.6,,96.6,99.6,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46233","45143","46840","44690",,,,,99.2,
"Boundary End AR Level H",,,,,"46675","45570","47290","45081",,,,,98.8,
"AR Age Level H",,,,,"46872","45778","47478","45289",,,,,99.3,
"R_Date CAMS_H","52337","44165","...","42911","46871","45779","47478","45282",,116,,95.4,99.3,
"R_Date NZA-2315","48181","45723","50184","44765","46871","45805","47468","45310",,124.5,,96.3,99.3,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47087","45970","47703","45459",,,,,98.8,
"Boundary End AR Travertine H-I",,,,,"47467","46298","48097","45776",,,,,98.8,
"AR Age Travertine H-I",,,,,"47657","46516","48261","45975",,,,,99,
"N AR U-series 45100±3100","48293","41907","51300","38900","47695","46455","48315","45959",,114.2,,95.5,99.2,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47862","46684","48469","46164",,,,,98.5,
"Boundary End AR Travertine J-I",,,,,"48239","47110","48824","46566",,,,,96.9,
"AR Age Travertine J-I",,,,,"48445","47278","49045","46738",,,,,97.5,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48523","47218","49103","46696",,126.4,,95.6,97.8,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48520","47240","49048","46744",,95.2,,95.6,97.7,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48530","47207","49097","46667",,122,,95.6,97.8,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48450","47275","49075","46675",,136.4,,95.7,97.8,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48485","47264","49112","46703",,129.6,,95.5,97.9,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48488","47256","49016","46744",,134.3,,96.1,97.8,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48464","47264","49040","46712",,112.9,,95.6,97.8,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48432","47288","49082","46690",,130,,95.7,97.9,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48466","47270","49064","46718",,132.1,,95.8,97.8,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48440","47255","49040","46700",,92.9,,95.6,97.8,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48660","47432","49301","46870",,,,,95.9,
"Boundary End AR Level J",,,,,"49152","47703","49989","47057",,,,,95.8,
"AR Age Level J",,,,,"49373","47850","50338","47179",,,,,95.5,
"R_Date NZA-2316","52527","47569","...","46839","49372","47862","50317","47183",,116.1,,95.8,95.6,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49614","47939","50669","47291",,,,,94.9,
"Boundary End AR Carbonate above J",,,,,"50084","48205","51301","47498",,,,,94,
"AR Age Carbonate above J",,,,,"50275","48308","51620","47583",,,,,93.8,
"N AR U-series 50400±2600","53078","47722","55600","45200","50278","48328","51604","47574",,125.3,,95.6,94.6,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50713","48314","51872","47612",,,,,60.5,
"Sequence Abric Romani — full sequence structural v1.1-S3",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","2.628","3.424","1.628","4",,100,,,98.8,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,98.2,
"Outlier_Model General",,,,,"-261","1586","-1689","2049",,,,,97.5,
"Curve Atmospheric",,,,,,,,,,,,,,
