"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 67.7
Aoverall 70.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End AR full sequence",,,,,"41783","41168","41974","40434",,,,,93.2,
"Boundary End AR Carbonates above A",,,,,"41859","41523","42040","41312",,,,,99,
"AR Age Carbonates above A",,,,,"41895","41585","42068","41423",,,,,99.4,
"N AR U-series 42300±300","42609","41991","42900","41700","41897","41597","42068","41453",,33.4,,93.5,99.6,
"N AR U-series 42100±300","42409","41791","42700","41500","41894","41594","42062","41450",,73.9,,95.9,99.5,
"N AR U-series 43100±1200","44336","41864","45500","40700","41912","41564","42092","41384",,74.8,,95.3,99.6,
"N AR U-series 43000±800","43824","42176","44600","41400","41912","41576","42080","41424",,42.2,,94.7,99.6,
"R_Date USGS-2839","42191","40296","43129","39037","41892","41585","42066","41422",,131,,95.9,99.4,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41930","41640","42103","41514",,,,,99.4,
"Boundary End AR Level A",,,,,"41987","41696","42167","41589",,,,,99.3,
"AR Age Level A",,,,,"42067","41763","42240","41649",,,,,99.5,
"R_Date OxA-X-2095-46","41347","40963","41611","40711","42027","41728","42228","41633",,4.4,,58.8,99.4,
"R_Date UA3","42758","41647","43865","41020","42073","41768","42245","41651",,118,,96.2,99.5,
"R_Date UA1","42320","41317","42812","40632","42065","41765","42235","41651",,137.3,,96.4,99.5,
"R_Date AA-6608","42176","41029","42583","40124","42062","41763","42230","41650",,124.3,,96.2,99.5,
"R_Date OxA-11967","41541","40469","41961","39900","42044","41754","42214","41645",,33.9,,92,99.4,
"R_Date AA-7395","42400","41290","43045","40495","42065","41765","42238","41651",,140.7,,96.3,99.5,
"R_Date NZA-2311","41976","41126","42273","40597","42058","41762","42221","41651",,98.3,,95.9,99.5,
"R_Date AA-8037B","42758","41647","43865","41020","42073","41768","42244","41652",,118,,96.2,99.4,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42153","41820","42340","41698",,,,,98.9,
"Boundary End AR Carbonates below A",,,,,"42555","42220","42687","41999",,,,,99.5,
"AR Age Carbonates below A",,,,,"42630","42338","42772","42161",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42636","42372","42764","42242",,86.1,,96.2,100,
"N AR U-series 42500±200","42706","42294","42900","42100","42618","42350","42740","42216",,120.5,,97,100,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42712","42441","42863","42307",,,,,99.8,
