"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 102.3
Aoverall 104.7",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_Start_E_minus_End_F",,,,,"412","1816","1","2237",,,,,99.7,
"Difference d_Start_F_minus_End_G",,,,,"1837","4099","221","4437",,,,,99.3,
"Difference d_Start_G_minus_End_H",,,,,"1276","3329","123","3736",,,,,99.2,
"Difference d_Start_H_minus_End_I",,,,,"133","1178","-2","1713",,,,,99.5,
"Boundary End ARB Level-E",,,,,"30302","29663","30725","28761",,,,,98.2,
"R_Date OxA-21669","30276","29907","30739","29518","30313","29980","30747","29849",,99.4,,95.8,99.9,
"R_Date OxA-21668","30720","30095","30866","30017","30430","30051","30780","30000",,107.8,,96,99.9,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30878","30131","31711","30031",,,,,99.6,
"Interval Gap F-E",,,,,"407","1815","0","2237",,,,,99.7,
"Boundary End ARB Level-F",,,,,"32558","31396","32903","30656",,,,,99.6,
"R_Date OxA-21782","32888","31946","33312","31644","32856","32019","33192","31737",,106.3,,95.8,99.9,
"R_Date OxA-21781","32857","31931","33256","31650","32846","32013","33169","31736",,105.4,,95.7,99.8,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33682","32173","35395","31901",,,,,99.3,
"Interval Gap G-F",,,,,"1837","4099","225","4428",,,,,99.3,
"Boundary End ARB Level-G",,,,,"36847","35608","37243","34070",,,,,99.3,
"R_Date OxA-21783","37000","36035","37610","35430","36995","36251","37528","35828",,109.4,,95.7,99.8,
"R_Date OxA-21667","37115","36138","38075","35562","37029","36295","37598","35951",,114.6,,95.8,99.8,
"R_Date OxA-21666","37814","36425","38911","36260","37232","36410","37961","36158",,112.4,,95.6,99.8,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37935","36603","39253","36348",,,,,99.3,
"Interval Gap H-G",,,,,"1282","3326","121","3734",,,,,99.3,
"Boundary End ARB Level-H",,,,,"40541","39220","40896","38243",,,,,99,
"R_Date OxA-21664","41599","40442","42002","39834","41132","40296","41496","39815",,104.2,,95.7,99.7,
"R_Date OxA-21784","41722","40535","42087","39855","41151","40289","41542","39817",,100.2,,95.7,99.7,
"R_Date OxA-21665","41599","40345","42020","39727","41103","40245","41502","39767",,107.7,,95.7,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","40737","39559","41057","38820",,40.8,,92.4,99.5,
"R_Date SANU-29016","41464","40003","42070","39429","41054","40139","41488","39630",,115,,95.7,99.7,
"R_Date SANU-29019","41770","40315","42173","39558","41097","40185","41544","39687",,108.8,,95.6,99.7,
"R_Date SANU-29017","40812","39266","41462","37866","40911","39949","41250","39306",,113.1,,95.6,99.7,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41638","40710","42114","40322",,,,,99.3,
"Interval Gap I-H",,,,,"134","1176","0","1689",,,,,99.6,
"Boundary End ARB Level-I",,,,,"42423","41819","42575","41203",,,,,99.5,
"R_Date OxA-21662","42319","41442","42730","40912","42513","42062","42747","41654",,95,,95.6,99.8,
"R_Date OxA-21704","43795","42283","44504","42037","42631","42199","43080","41974",,109.1,,95.6,99.7,
"R_Date OxA-19994","42549","42238","42750","42095","42510","42235","42689","42096",,106.7,,96.1,99.9,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42872","42294","43711","42141",,,,,93.5,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.436","5.37764e-17","3.684",,100,,,99.9,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.9,
"Outlier_Model General",,,,,"-118","121","-1012","1398",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
