"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 143.8
Aoverall 142.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_Start_E_minus_End_F",,,,,"412","1813","1","2246",,,,,99.7,
"Difference d_Start_F_minus_End_G",,,,,"1819","4088","222","4418",,,,,99.4,
"Difference d_Start_G_minus_End_H",,,,,"2013","3943","467","4326",,,,,99.2,
"Difference d_Start_H_minus_End_I",,,,,"239","1196","-2","1557",,,,,99.6,
"Boundary End ARB Level-E",,,,,"30291","29662","30724","28773",,,,,98.2,
"R_Date OxA-21669","30276","29907","30739","29518","30310","29979","30745","29845",,99.9,,95.7,99.9,
"R_Date OxA-21668","30720","30095","30866","30017","30429","30052","30778","29999",,107.7,,95.9,99.9,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30875","30130","31714","30031",,,,,99.5,
"Interval Gap F-E",,,,,"408","1814","0","2240",,,,,99.7,
"Boundary End ARB Level-F",,,,,"32549","31387","32903","30664",,,,,99.6,
"R_Date OxA-21782","32888","31946","33312","31644","32851","32015","33189","31733",,106.2,,95.7,99.8,
"R_Date OxA-21781","32857","31931","33256","31650","32850","32017","33170","31740",,105.4,,95.7,99.8,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33668","32171","35369","31901",,,,,99.3,
"Interval Gap G-F",,,,,"1818","4105","235","4443",,,,,99.4,
"Boundary End ARB Level-G",,,,,"36851","35597","37230","33972",,,,,99.2,
"R_Date OxA-21783","37000","36035","37610","35430","37000","36245","37540","35808",,108.9,,95.6,99.8,
"R_Date OxA-21667","37115","36138","38075","35562","37034","36290","37616","35924",,113.7,,95.7,99.8,
"R_Date OxA-21666","37814","36425","38911","36260","37258","36409","38089","36161",,111.9,,95.6,99.8,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"38035","36581","39633","36343",,,,,99,
"Interval Gap H-G",,,,,"2015","3944","470","4317",,,,,99.2,
"Boundary End ARB Level-H",,,,,"40957","40004","41242","39205",,,,,99,
"R_Date OxA-21664","41599","40442","42002","39834","41205","40545","41535","40045",,118.8,,95.8,99.7,
"R_Date OxA-21784","41722","40535","42087","39855","41223","40550","41568","40059",,115.4,,95.7,99.7,
"R_Date OxA-21665","41599","40345","42020","39727","41206","40529","41552","40024",,121.1,,95.8,99.7,
"R_Date SANU-29016","41464","40003","42070","39429","41208","40497","41547","39944",,124.1,,95.7,99.7,
"R_Date SANU-29019","41770","40315","42173","39558","41222","40514","41588","39960",,121.6,,95.7,99.7,
"R_Date SANU-29017","40812","39266","41462","37866","41145","40396","41435","39773",,92.6,,95.4,99.7,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41565","40810","42061","40510",,,,,99.3,
"Interval Gap I-H",,,,,"231","1197","0","1565",,,,,99.5,
"Boundary End ARB Level-I",,,,,"42424","41819","42573","41246",,,,,99.3,
"R_Date OxA-21662","42319","41442","42730","40912","42510","42059","42747","41664",,95,,95.5,99.6,
"R_Date OxA-21704","43795","42283","44504","42037","42636","42201","43090","41979",,109.3,,95.6,99.2,
"R_Date OxA-19994","42549","42238","42750","42095","42512","42236","42689","42097",,106.6,,96,99.6,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42887","42289","43771","42138",,,,,92.9,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.352","5.37764e-17","3.676",,100,,,99.9,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.8,
"Outlier_Model General",,,,,"-84","86","-693","746",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
