"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 104.7
Aoverall 106.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_Start_E_minus_End_F",,,,,"398","1809","1","2251",,,,,99.7,
"Difference d_Start_F_minus_End_G",,,,,"1811","4093","209","4444",,,,,99.3,
"Difference d_Start_G_minus_End_H",,,,,"1327","3415","160","3819",,,,,99.2,
"Difference d_Start_H_minus_End_I",,,,,"148","1193","-2","1684",,,,,99.6,
"Boundary End ARB Level-E",,,,,"30293","29659","30724","28730",,,,,97.6,
"R_Date OxA-21669","30276","29907","30739","29518","30312","29980","30746","29845",,100,,95.9,99.9,
"R_Date OxA-21668","30720","30095","30866","30017","30431","30051","30780","30000",,108,,96.1,99.9,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30883","30133","31715","30031",,,,,99.6,
"Interval Gap F-E",,,,,"399","1819","0","2244",,,,,99.7,
"Boundary End ARB Level-F",,,,,"32548","31401","32904","30660",,,,,99.7,
"R_Date OxA-21782","32888","31946","33312","31644","32858","32019","33198","31737",,106.3,,95.9,99.8,
"R_Date OxA-21781","32857","31931","33256","31650","32848","32015","33170","31736",,105.5,,95.9,99.8,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33687","32181","35378","31894",,,,,99.3,
"Interval Gap G-F",,,,,"1844","4093","209","4446",,,,,99.3,
"Boundary End ARB Level-G",,,,,"36853","35615","37218","34050",,,,,99.2,
"R_Date OxA-21783","37000","36035","37610","35430","36999","36249","37526","35819",,109.6,,95.8,99.8,
"R_Date OxA-21667","37115","36138","38075","35562","37028","36295","37595","35945",,114.7,,95.9,99.8,
"R_Date OxA-21666","37814","36425","38911","36260","37232","36405","37986","36158",,112.4,,95.7,99.8,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37945","36582","39286","36350",,,,,98.8,
"Interval Gap H-G",,,,,"1330","3416","129","3819",,,,,98.8,
"Boundary End ARB Level-H",,,,,"40602","39249","40988","38265",,,,,98.9,
"R_Date OxA-21674","39415","37815","40051","37090","40815","39608","41180","38824",,40.9,,71.7,99.6,
"R_Date OxA-21664","41599","40442","42002","39834","41142","40315","41506","39841",,105.7,,95.9,99.8,
"R_Date OxA-21784","41722","40535","42087","39855","41167","40322","41551","39837",,101.7,,95.8,99.8,
"R_Date OxA-21665","41599","40345","42020","39727","41131","40280","41494","39778",,109.1,,95.9,99.8,
"R_Date SANU-29016","41464","40003","42070","39429","41077","40179","41490","39653",,116.1,,95.8,99.8,
"R_Date SANU-29019","41770","40315","42173","39558","41114","40216","41540","39703",,110.2,,95.8,99.8,
"R_Date SANU-29017","40812","39266","41462","37866","40946","39990","41283","39340",,111.4,,95.7,99.8,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41628","40704","42110","40333",,,,,99.5,
"Interval Gap I-H",,,,,"174","1199","0","1684",,,,,99.7,
"Boundary End ARB Level-I",,,,,"42427","41821","42569","41193",,,,,99.5,
"R_Date OxA-21662","42319","41442","42730","40912","42516","42065","42749","41660",,94.9,,95.7,99.8,
"R_Date OxA-21704","43795","42283","44504","42037","42635","42202","43085","41975",,109.5,,95.7,99.7,
"R_Date OxA-19994","42549","42238","42750","42095","42514","42236","42690","42099",,106.9,,96.3,99.8,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42880","42297","43730","42138",,,,,94.8,
"Sequence ARB_local_baseline_v1_S2a",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","3.328","5.37764e-17","3.704",,100,,,99.9,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.7,
"Outlier_Model General",,,,,"-219","259","-848","2463",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
