"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 148.7
Aoverall 148.1",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_Start_E_minus_End_F",,,,,"433","1821","1","2246",,,,,99.7,
"Difference d_Start_F_minus_End_G",,,,,"1987","4154","335","4533",,,,,99.2,
"Difference d_Start_G_minus_End_H_upper",,,,,"2","1302","-2","2324",,,,,99.8,
"Difference d_Start_H_upper_minus_End_H_main",,,,,"5","1443","-2","2528",,,,,99.7,
"Difference d_Start_H_main_minus_End_I",,,,,"290","1241","1","1531",,,,,99.7,
"Boundary End ARB Level-E",,,,,"30300","29695","30733","28918",,,,,97.5,
"R_Date OxA-21669","30276","29907","30739","29518","30316","29980","30750","29858",,98.4,,95.7,99.8,
"R_Date OxA-21668","30720","30095","30866","30017","30431","30052","30781","30001",,107.8,,95.9,99.8,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30871","30136","31689","30031",,,,,99.5,
"Interval Gap F-E",,,,,"434","1821","0","2244",,,,,99.7,
"Boundary End ARB Level-F",,,,,"32559","31379","32903","30658",,,,,99.6,
"R_Date OxA-21782","32888","31946","33312","31644","32858","32022","33194","31735",,106.1,,95.7,99.8,
"R_Date OxA-21781","32857","31931","33256","31650","32856","32017","33170","31736",,105.3,,95.7,99.8,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33698","32161","35460","31898",,,,,99.1,
"Interval Gap G-F",,,,,"1986","4154","340","4491",,,,,99.3,
"Boundary End ARB Level-G",,,,,"36840","35783","37212","34392",,,,,99.1,
"R_Date OxA-21783","37000","36035","37610","35430","36956","36276","37434","35907",,114,,95.7,99.8,
"R_Date OxA-21667","37115","36138","38075","35562","36976","36313","37468","36018",,119.7,,95.8,99.9,
"R_Date OxA-21666","37814","36425","38911","36260","37091","36392","37605","36170",,110.9,,95.5,99.8,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37545","36597","38348","36323",,,,,99.5,
"Interval Gap H_upper-G",,,,,"0","1278","0","2322",,,,,99.8,
"Boundary End ARB Level-H_upper_sens",,,,,"38950","37427","39575","36860",,,,,99.6,
"R_Date OxA-21674","39415","37815","40051","37090","39467","38166","39928","37500",,109.1,,95.6,99.8,
"Phase ARB Level-H_upper_sens",,,,,,,,,,,,,,
"Boundary Start ARB Level-H_upper_sens",,,,,"40171","38655","40705","37871",,,,,99.6,
"Interval Gap H_main-H_upper",,,,,"0","1443","0","2525",,,,,99.7,
"Boundary End ARB Level-H_main",,,,,"40981","40169","41233","39536",,,,,99.5,
"R_Date OxA-21664","41599","40442","42002","39834","41204","40581","41541","40146",,121.8,,95.8,99.9,
"R_Date OxA-21784","41722","40535","42087","39855","41215","40583","41569","40148",,118.4,,95.7,99.9,
"R_Date OxA-21665","41599","40345","42020","39727","41204","40571","41542","40117",,123.8,,95.8,99.8,
"R_Date SANU-29016","41464","40003","42070","39429","41201","40545","41544","40069",,125.9,,95.7,99.9,
"R_Date SANU-29019","41770","40315","42173","39558","41219","40563","41571","40092",,124.1,,95.7,99.9,
"R_Date SANU-29017","40812","39266","41462","37866","41150","40475","41444","39944",,87.9,,95.4,99.8,
"Phase ARB Level-H_main Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H_main",,,,,"41526","40807","42018","40525",,,,,99.5,
"Interval Gap I-H_main",,,,,"294","1240","0","1544",,,,,99.7,
"Boundary End ARB Level-I",,,,,"42419","41829","42561","41255",,,,,99.5,
"R_Date OxA-21662","42319","41442","42730","40912","42507","42066","42736","41671",,95.8,,95.6,99.8,
"R_Date OxA-21704","43795","42283","44504","42037","42618","42196","43036","41982",,107.8,,95.5,99.7,
"R_Date OxA-19994","42549","42238","42750","42095","42507","42233","42678","42095",,106.7,,96,99.9,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42861","42297","43591","42125",,,,,95.7,
"Sequence ARB_local_baseline_v1_S2b",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.336","5.37764e-17","3.664",,100,,,99.9,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.9,
"Outlier_Model General",,,,,"-84","84","-673","713",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
