"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 149
Aoverall 148.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_Start_E_minus_End_F",,,,,"416","1826","1","2244",,,,,99.7,
"Difference d_Start_F_minus_End_G",,,,,"2004","4157","333","4502",,,,,99.2,
"Difference d_Start_G_minus_End_HG_contact",,,,,"2","1288","-2","2311",,,,,99.8,
"Difference d_Start_HG_contact_minus_End_H_main",,,,,"5","1461","-2","2511",,,,,99.7,
"Difference d_Start_H_main_minus_End_I",,,,,"288","1231","0","1537",,,,,99.6,
"Boundary End ARB Level-E",,,,,"30298","29686","30708","28843",,,,,97.7,
"R_Date OxA-21669","30276","29907","30739","29518","30314","29980","30745","29855",,99.1,,95.7,99.8,
"R_Date OxA-21668","30720","30095","30866","30017","30430","30051","30780","30000",,107.8,,95.9,99.9,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30872","30134","31708","30036",,,,,99.5,
"Interval Gap F-E",,,,,"416","1825","0","2241",,,,,99.7,
"Boundary End ARB Level-F",,,,,"32552","31391","32898","30656",,,,,99.6,
"R_Date OxA-21782","32888","31946","33312","31644","32856","32019","33195","31737",,106.1,,95.7,99.8,
"R_Date OxA-21781","32857","31931","33256","31650","32847","32015","33172","31740",,105.3,,95.7,99.8,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33695","32153","35432","31898",,,,,99.1,
"Interval Gap G-F",,,,,"2005","4155","336","4501",,,,,99.2,
"Boundary End ARB Level-G",,,,,"36845","35794","37197","34382",,,,,99.3,
"R_Date OxA-21783","37000","36035","37610","35430","36955","36276","37436","35907",,114,,95.7,99.9,
"R_Date OxA-21667","37115","36138","38075","35562","36979","36315","37470","36018",,119.7,,95.8,99.8,
"R_Date OxA-21666","37814","36425","38911","36260","37092","36393","37602","36176",,110.9,,95.5,99.8,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37552","36590","38342","36328",,,,,99.6,
"Interval Gap HG_contact-G",,,,,"0","1288","0","2308",,,,,99.8,
"Boundary End ARB Level-HG_contact",,,,,"38949","37435","39574","36868",,,,,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","39461","38169","39923","37500",,109.1,,95.6,99.8,
"Phase ARB Level-HG_contact",,,,,,,,,,,,,,
"Boundary Start ARB Level-HG_contact",,,,,"40173","38662","40697","37857",,,,,99.6,
"Interval Gap H_main-HG_contact",,,,,"0","1462","0","2543",,,,,99.7,
"Boundary End ARB Level-H_main",,,,,"40984","40154","41231","39536",,,,,99.4,
"R_Date OxA-21664","41599","40442","42002","39834","41206","40586","41535","40139",,121.7,,95.8,99.9,
"R_Date OxA-21784","41722","40535","42087","39855","41215","40585","41565","40138",,118.4,,95.7,99.9,
"R_Date OxA-21665","41599","40345","42020","39727","41203","40571","41538","40115",,123.8,,95.7,99.9,
"R_Date SANU-29016","41464","40003","42070","39429","41201","40547","41545","40071",,125.9,,95.7,99.9,
"R_Date SANU-29019","41770","40315","42173","39558","41214","40558","41570","40088",,124.1,,95.7,99.9,
"R_Date SANU-29017","40812","39266","41462","37866","41150","40476","41441","39943",,88,,95.3,99.9,
"Phase ARB Level-H_main Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H_main",,,,,"41530","40802","42011","40531",,,,,99.6,
"Interval Gap I-H_main",,,,,"291","1234","0","1535",,,,,99.7,
"Boundary End ARB Level-I",,,,,"42419","41820","42558","41243",,,,,99.5,
"R_Date OxA-21662","42319","41442","42730","40912","42511","42066","42738","41665",,95.6,,95.6,99.8,
"R_Date OxA-21704","43795","42283","44504","42037","42626","42200","43065","41981",,108.4,,95.5,99.7,
"R_Date OxA-19994","42549","42238","42750","42095","42508","42234","42684","42099",,106.9,,96,99.9,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42870","42297","43647","42124",,,,,95.6,
"Sequence ARB_local_baseline_v1_S2c",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.328","5.37764e-17","3.664",,100,,,99.9,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.8,
"Outlier_Model General",,,,,"-83","84","-679","721",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
