"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 93.8
Aoverall 94.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End RC Layer I-Ia",,,,,"39798","38110","40123","34717",,,,,95.3,
"Date RC Layer I-Ia",,,,,"40369","38937","42225","36683",,,,,99.7,
"Last Last RC Layer I-Ia",,,,,"39789","38750","40112","37381",,,,,99.6,
"First First RC Layer I-Ia",,,,,"40341","39708","41339","39434",,,,,99.8,
"R_Combine RC same sample OxA-23644 + OxA-24057","40337","39723","40595","39480","40137","39597","40476","39432",,100.2,,,99.8,
"R_Combine RC same sample OxA-23643 + OxA-2416-44","40198","39593","40505","39409","40053","39550","40408","39390",,104.9,,,99.8,
"R_Date Beta-273965","39375","38224","39630","37576","39802","38875","40071","37990",,85.1,,94.5,99.6,
"Phase RC Layer I-Ia (Cala A)",,,,,,,,,,,,,,
"Boundary Start RC Layer I-Ia",,,,,"40902","39661","43852","39443",,,,,97.4,
"Sequence Canyars_local_baseline_v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","3.556","5.37764e-17","3.836",,100,,,99.9,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,96.7,
"Outlier_Model General",,,,,"-132","923","-405","2100",,,,,99.4,
"Curve Atmospheric",,,,,,,,,,,,,,
