"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 41.1
Aoverall 59.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"N 6106_UFU_base_min","40593","35968","42771","33791","40377","36112","41994","34024",,104.3,,95.2,99.9,
"Boundary End DCU infill",,,,,"42563","41875","42796","40911",,,,,96.9,
"N ET32_Unit1_ESR","53656","38412","60834","31234","42878","41916","43396","41028",,124.6,,95.2,99.7,
"R_Date OxA-23637","42375","41851","42569","41404","42549","42089","42765","41733",,87.4,,95.6,98.7,
"R_Date OxA-23636","43858","42771","44336","42544","42704","42259","43065","41688",,29.6,,75.5,99.5,
"Phase Unit 1",,,,,,,,,,,,,,
"Boundary Transition Unit 2_1",,,,,"42759","42293","43228","41855",,,,,99.5,
"N MAD-4960_Unit2_TL","50860","42208","54934","38134","43182","42174","44400","41796",,95.4,,95.2,99.2,
"R_Date OxA-23638","42494","42049","42801","41756","42819","42349","43450","41992",,57.8,,90.5,99.5,
"Phase Unit 2",,,,,,,,,,,,,,
"Boundary Transition Unit 3_2",,,,,"43156","42309","44940","42081",,,,,98.2,
"N ET33_Unit3_ESR","49012","43656","51534","41134","44146","42274","46850","42040",,78.4,,95.2,96,
"N ET27_Unit3_ESR","46924","40744","49834","37834","44064","42264","46434","41994",,131.5,,95.5,96.2,
"Phase Unit 3",,,,,,,,,,,,,,
"Boundary Start DCU infill",,,,,"44696","42305","48507","42180",,,,,73.1,
"N UEVA 843_LSU_max","94454","86214","98334","82334","94334","86294","98374","82334",,100,,95,99.9,
"Sequence CV_local_baseline_v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","1.532","4","5.37764e-17","4",,100,,,99.5,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,98.7,
"Outlier_Model General",,,,,"-1497","365","-2816","2474",,,,,99.5,
"Curve Atmospheric",,,,,,,,,,,,,,
