"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 108.6
Aoverall 109.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"N 6106_UFU_base_min","40593","35968","42771","33791","40243","36179","41769","34024",,105.2,,95.2,99.9,
"Boundary End DCU infill",,,,,"42307","41537","42503","40191",,,,,96.1,
"N ET32_Unit1_ESR","53656","38412","60834","31234","42508","41620","43100","40806",,121.3,,95.1,98.3,
"R_Date OxA-23637","42375","41851","42569","41404","42309","41875","42458","41472",,109.8,,96.1,98.8,
"Phase Unit 1",,,,,,,,,,,,,,
"Boundary Transition Unit 2_1",,,,,"42411","42003","42651","41679",,,,,99.7,
"N MAD-4960_Unit2_TL","50860","42208","54934","38134","42762","41964","43896","41586",,89.9,,95.2,99,
"R_Date OxA-23638","42494","42049","42801","41756","42518","42141","42787","41953",,107.3,,95.9,99.7,
"Phase Unit 2",,,,,,,,,,,,,,
"Boundary Transition Unit 3_2",,,,,"42949","42104","44751","41895",,,,,97.6,
"N ET33_Unit3_ESR","49012","43656","51534","41134","43990","42066","46720","41832",,74.6,,95.1,91.9,
"N ET27_Unit3_ESR","46924","40744","49834","37834","43824","42054","46314","41874",,130.1,,95.4,92.4,
"Phase Unit 3",,,,,,,,,,,,,,
"Boundary Start DCU infill",,,,,"44582","42121","48536","41955",,,,,69.9,
"N UEVA 843_LSU_max","94454","86214","98334","82334","94334","86334","98334","82254",,100.1,,95,99.9,
"Sequence CV_local_baseline_v1_S1_OxA23636_out",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.68","5.37764e-17","3.788",,100,,,99.9,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.6,
"Outlier_Model General",,,,,"-207","212","-3554","2356",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
