"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 112.8
Aoverall 110.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End 497A",,,,,"22268","16679","24140","10213",,,,,91.2,
"N MAD-5569BIN","22554","18557","24436","16676","22429","18957","24001","17094",,106.9,,95.3,99.7,
"Phase 497A",,,,,,,,,,,,,,
"Boundary End 497C / Start 497A",,,,,"23844","20284","25604","18396",,,,,99.2,
"N MAD-5570BIN","24735","21110","26477","19369","25277","22096","26894","20639",,101.3,,95.2,99.9,
"Phase 497C",,,,,,,,,,,,,,
"Boundary End 497D / Start 497C",,,,,"31233","23432","35083","21854",,,,,98.4,
"N MAD-5502BIN","40788","32433","44723","28499","35303","30030","37371","27029",,82.8,,94.9,100,
"Phase 497D",,,,,,,,,,,,,,
"Boundary End S1B / Start 497D",,,,,"37003","32346","38980","29493",,,,,99.1,
"N MAD-5580BIN","38102","33539","40295","31347","37897","33982","39687","32305",,109.9,,95.4,100,
"Phase S1B",,,,,,,,,,,,,,
"Boundary End S1C / Start S1B",,,,,"39597","35332","41988","33373",,,,,99.1,
"N MAD-5575BIN","43779","36798","47067","33511","41199","36827","43673","34861",,114.7,,95.3,99.9,
"Phase S1C",,,,,,,,,,,,,,
"Boundary End S1D / Start S1C",,,,,"42828","37710","45834","35690",,,,,98.9,
"N MAD-5574BIN","45367","37250","49267","33351","44611","39001","47914","36693",,115,,95.2,99.7,
"Phase S1D",,,,,,,,,,,,,,
"Boundary Start S1D",,,,,"47147","39331","53750","36719",,,,,81.4,
"Sequence CGSL_Ramp_TL_full_sequence_S2_with_TL",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","3.096","5.37764e-17","3.796",,100,,,100,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.6,
"Outlier_Model General",,,,,"-285","292","-3464","3315",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
