"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 100.2
Aoverall 100.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End 497D",,,,,"39653","38129","40068","34443",,,,,98.4,
"R_Date AA-68834c","39628","39152","39926","38615","39650","39160","39987","38599",,99.6,,95.5,99.9,
"Phase 497D",,,,,,,,,,,,,,
"Boundary Start 497D",,,,,"40658","39251","42038","39016",,,,,99.7,
"Interval Gap S1B-497D",,,,,"132","2324","0","2987",,,,,99.7,
"Boundary End S1B",,,,,"42635","41327","42800","40006",,,,,99.7,
"R_Date Beta-224299","42681","42326","42902","42176","42674","42315","42905","42155",,100.9,,96,99.9,
"Phase S1B",,,,,,,,,,,,,,
"Boundary Start S1B",,,,,"43601","42323","47068","42116",,,,,98.4,
"Sequence CGSL_transition_core_S1_without_Beta207578",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","3","5.37764e-17","3.872",,100,,,100,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,95.2,
"Outlier_Model General",,,,,"-182","171","-959","1707",,,,,99.7,
"Curve Atmospheric",,,,,,,,,,,,,,
