"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 77.4
Aoverall 77.8",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End 497D",,,,,"39070","36166","39557","32416",,,,,96.5,
"R_Date Beta-207578","37596","36372","38794","36156","39169","36899","39416","36354",,65.1,,83.2,99.4,
"R_Date AA-68834c","39628","39152","39926","38615","39626","39070","39902","38355",,92.8,,95,99.8,
"Phase 497D",,,,,,,,,,,,,,
"Boundary Start 497D",,,,,"40645","39137","41955","38600",,,,,99.7,
"Interval Gap S1B-497D",,,,,"176","2439","0","3176",,,,,99.7,
"Boundary End S1B",,,,,"42634","41204","42799","39830",,,,,99.6,
"R_Date Beta-224299","42681","42326","42902","42176","42681","42317","42924","42149",,100.2,,95.4,99.9,
"Phase S1B",,,,,,,,,,,,,,
"Boundary Start S1B",,,,,"43900","42310","48052","42124",,,,,98.5,
"Sequence CGSL_transition_core_baseline_v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","0.112","3.676","5.37764e-17","3.796",,100,,,99.9,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,98.3,
"Outlier_Model General",,,,,"-383","720","-1319","3043",,,,,99.8,
"Curve Atmospheric",,,,,,,,,,,,,,
