"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 104.5
Aoverall 104",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End CE-1",,,,,"7252","7101","7278","6373",,,,,99.5,
"R_Date Beta-652874_CE1","7417","7273","7423","7261","7330","7260","7419","7175",,93.3,,95.5,99.9,
"R_Date Beta-317705_CE1","7270","7166","7320","7160","7273","7173","7310","7165",,102.9,,96.7,99.9,
"R_Date Beta-652873_CE1","7252","7164","7267","7033","7258","7200","7270","7157",,105.8,,96.3,99.9,
"Phase CE-1 Neolithic exterior",,,,,,,,,,,,,,
"Boundary Start CE-1",,,,,"7444","7263","8046","7176",,,,,99.6,
"Sequence FM_baseline_v2_CE",,,,,,,,,,,,,,
"R_Date Beta-596596_Sala_del_Llac_UE13_CDS_sup4","2699","2434","2707","2365","2699","2434","2707","2366",,100.7,,95.9,99.7,
"R_Date Beta-596598_Sala_del_Llac_UE12_CDS_sup4","2398","2331","2465","2313","2366","2331","2484","2311",,99.5,,96.3,99.9,
"R_Date Beta-596597_Sala_del_Llac_UE11_CDS_sup4","2299","2071","2305","2006","2300","2070","2307","2006",,100.5,,95.9,99.8,
"R_Date Beta-631279_GPA_Sector5_nivell1_CDS_sup4","2301","2123","2313","2070","2301","2123","2315","2067",,100.9,,96.3,99.8,
"R_Date Beta-631276_GPE_Boca_Pou_Palletes_CDS_sup4","2462","2350","2674","2343","2462","2350","2675","2342",,101.1,,96.4,99.9,
"R_Date Beta-631275_GPE_Rasa_linia_superior_CDS_sup4","2348","2185","2354","2158","2348","2185","2355","2158",,100.2,,96.3,99.8,
"Phase CDS_sup Iron Age pulse",,,,,,,,,,,,,,
"Boundary Transition CDS_inf upper / CDS_sup Iron Age",,,,,"26213","24180","26289","14491",,,,,94.9,
"R_Date Beta-652877_GPE_Rasa_linia_inferior_CDS_inf3","26252","25945","26330","25910","26239","25938","26323","25907",,103.3,,96,99.9,
"R_Date Beta-652876_GPE_Sondeig2_top_CDS_inf3","26039","25887","26262","25852","26046","25890","26267","25855",,99.9,,95.9,99.9,
"Phase CDS_inf upper pulse",,,,,,,,,,,,,,
"Boundary Transition CDS_inf basal / CDS_inf upper",,,,,"35785","25928","35923","25917",,,,,98.1,
"R_Date Beta-596599_GPE_Base_Laminacions_CDS_inf2","35995","35565","36135","35390","36002","35570","36145","35385",,100.4,,95.6,99.8,
"R_Date Beta-572489_GPA_Sector5_nivell2_CDS_inf1","37731","37061","38465","36940","37636","37076","38303","36890",,106.7,,95.2,99.7,
"Phase CDS_inf basal pulse",,,,,,,,,,,,,,
"Boundary Transition CDI / CDS_inf basal",,,,,"39087","37362","40069","37134",,,,,99.6,
"R_Date Beta-652875_GPE_Sondeig2_base_CDI","40485","39775","40811","39470","40509","39797","40847","39482",,100.5,,95.5,99.5,
"Phase CDI basal bracket",,,,,,,,,,,,,,
"Sequence FM_baseline_v2_interior",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.308","5.37764e-17","3.74",,100,,,99.8,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.1,
"Outlier_Model General",,,,,"-52","51","-397","462",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
