"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 108.3
Aoverall 108.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End CE-1",,,,,"7252","7103","7282","6374",,,,,99.2,
"R_Date Beta-652874_CE1","7417","7273","7423","7261","7330","7260","7419","7175",,93.3,,95.6,99.6,
"R_Date Beta-317705_CE1","7270","7166","7320","7160","7273","7173","7310","7165",,103,,96.8,99.9,
"R_Date Beta-652873_CE1","7252","7164","7267","7033","7258","7200","7270","7158",,105.8,,96.4,99.9,
"Phase CE-1 Neolithic exterior",,,,,,,,,,,,,,
"Boundary Start CE-1",,,,,"7442","7262","7781","7176",,,,,99,
"Sequence FM_baseline_v2_1_CE",,,,,,,,,,,,,,
"Date End CDS_sup Iron Age pulse",,,,,"1662","-22940","1931","-22941",,,,,97.5,
"Boundary End CDS_sup Iron Age pulse",,,,,"2283","2093","2301","1861",,,,,97.9,
"Span Span CDS_sup Iron Age pulse",,,,,"95","307","70","478",,,,,99.3,
"R_Date Beta-596596_Sala_del_Llac_UE13_CDS_sup4","2699","2434","2707","2365","2479","2360","2663","2352",,78.6,,95.3,99.6,
"R_Date Beta-596598_Sala_del_Llac_UE12_CDS_sup4","2398","2331","2465","2313","2363","2333","2461","2313",,104,,96.6,100,
"R_Date Beta-596597_Sala_del_Llac_UE11_CDS_sup4","2299","2071","2305","2006","2303","2139","2315","2069",,109.9,,96.1,99.8,
"R_Date Beta-631279_GPA_Sector5_nivell1_CDS_sup4","2301","2123","2313","2070","2308","2234","2321","2118",,110.4,,96.3,99.8,
"R_Date Beta-631276_GPE_Boca_Pou_Palletes_CDS_sup4","2462","2350","2674","2343","2420","2349","2487","2344",,112.9,,96.4,99.9,
"R_Date Beta-631275_GPE_Rasa_linia_superior_CDS_sup4","2348","2185","2354","2158","2350","2306","2356","2176",,111.9,,96.5,99.9,
"Phase CDS_sup Iron Age pulse",,,,,,,,,,,,,,
"Date Start CDS_sup Iron Age pulse",,,,,"2566","2377","2850","2360",,,,,99.3,
"Boundary Start CDS_sup Iron Age pulse",,,,,"2659","2391","3082","2366",,,,,96.9,
"R_Date Beta-652877_GPE_Rasa_linia_inferior_CDS_inf3","26252","25945","26330","25910","26250","25944","26333","25909",,100.9,,96,99.6,
"R_Date Beta-652876_GPE_Sondeig2_top_CDS_inf3","26039","25887","26262","25852","26041","25886","26266","25850",,100.8,,96,99.7,
"Phase CDS_inf upper pulse",,,,,,,,,,,,,,
"Boundary Transition CDS_inf basal / CDS_inf upper",,,,,"35987","31915","36070","27080",,,,,98,
"R_Date Beta-596599_GPE_Base_Laminacions_CDS_inf2","35995","35565","36135","35390","36020","35585","36159","35385",,100,,95.1,99.6,
"R_Date Beta-572489_GPA_Sector5_nivell2_CDS_inf1","37731","37061","38465","36940","37632","37066","38381","36845",,105.2,,94.1,99.5,
"Phase CDS_inf basal pulse",,,,,,,,,,,,,,
"Boundary Transition CDI / CDS_inf basal",,,,,"39066","37294","40162","37083",,,,,99.2,
"R_Date Beta-652875_GPE_Sondeig2_base_CDI","40485","39775","40811","39470","40510","39799","40843","39484",,100.5,,95.5,99.3,
"Phase CDI basal bracket",,,,,,,,,,,,,,
"Sequence FM_baseline_v2_1_interior",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.332","5.37764e-17","3.788",,100,,,99.8,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.3,
"Outlier_Model General",,,,,"-64","60","-611","696",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
