"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 106.1
Aoverall 106.1",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End FO Unit-II",,,,,"9440","8607","9468","6048",,,,,94.6,
"Span Span FO Unit-II",,,,,"205","1150","94","5109",,,,,99.8,
"FO Unit-II age",,,,,"10611","8857","15274","6784",,,,,99.7,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9447","9316","9464","9296",,100.9,,96.6,99.9,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9693","10113","9555",,100.2,,95.8,99.9,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"11588","9625","18977","9538",,,,,97.1,
"Curve Atmospheric reset after IIIn",,,,,,,,,,,,,,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"13484","19536","4348","19765",,,,,95.4,
"Boundary End FO Unit-IIIn",,,,,"29572","26368","29759","17707",,,,,97.1,
"Span Span FO Unit-IIIn",,,,,"332","1996","0","6417",,,,,99.8,
"FO Unit-IIIn age",,,,,"31057","28052","33246","23149",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","29410","29061","29630","28925","29454","29076","29683","28933",,97.4,,95.4,99.8,
"R_Date FO-003 OxA-24646 H. sanguineum","30111","29856","30271","29706","30104","29842","30270","29670",,99.7,,95.6,99.9,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-75","-13","-105","17.5",,99.5,,,99.9,
"Curve Marine20 FO IIIn",,,,,,,,,,,,,,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"31767","29879","33877","29763",,,,,99.2,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1625","4482","0","4711",,,,,99.2,
"Boundary End FO Unit-IIIc",,,,,"34919","33559","36502","31613",,,,,99.3,
"Span Span FO Unit-IIIc",,,,,"2170","3452","778","4670",,,,,99.6,
"FO Unit-IIIc age",,,,,"37387","34750","38537","33549",,,,,99.6,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37023","35886","37616","35319",,106.4,,95.5,99.7,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37823","36889","38491","36458",,94.7,,94.7,99.6,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35100","34426","35349","34218",,86.6,,91,99.7,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36997","36214","37577","35762",,105.3,,81.9,99.7,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36981","36218","37554","35783",,104.8,,82,99.7,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38531","37235","39288","36878",,,,,99.6,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"6","1490","0","2305",,,,,99.7,
"Boundary End FO Unit-IV.1-IV",,,,,"39767","38790","39996","37795",,,,,99.6,
"Span Span FO Unit-IV.1-IV",,,,,"0","625","0","1763",,,,,99.9,
"FO Unit-IV.1-IV age",,,,,"40099","39167","41199","38247",,,,,99.8,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40032","39203","40758","38487",,129.7,,68.3,99.8,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39835","39421","40115","39247",,101.3,,,99.9,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40432","39453","42217","39257",,,,,95.2,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.46","5.37764e-17","3.644",,100,,,99.5,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.2,
"Outlier_Model General",,,,,"-165","158","-1158","2288",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
