"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 107.2
Aoverall 106.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End FO Unit-II",,,,,"9435","8556","9469","6032",,,,,94.7,
"Span Span FO Unit-II",,,,,"204","1150","38","5130",,,,,99.8,
"FO Unit-II age",,,,,"10599","8852","15417","6801",,,,,99.7,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9447","9316","9464","9295",,100.7,,96.3,99.9,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9692","10113","9555",,100.3,,95.7,99.8,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"11573","9626","18703","9536",,,,,97.3,
"Curve Atmospheric reset after IIIn",,,,,,,,,,,,,,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"13667","19532","4555","19777",,,,,95.3,
"Boundary End FO Unit-IIIn",,,,,"29555","26383","29784","18402",,,,,97.1,
"Span Span FO Unit-IIIn",,,,,"335","1907","0","6345",,,,,99.7,
"FO Unit-IIIn age",,,,,"30933","28145","33011","23258",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","29410","29061","29630","28925","29447","29077","29681","28937",,97.6,,95.6,99.8,
"R_Date FO-003 OxA-24646 H. sanguineum","30111","29856","30271","29706","30105","29840","30269","29665",,99.5,,95.6,99.8,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-75","-13","-105.5","17.5",,99.6,,,99.9,
"Curve Marine20 FO IIIn",,,,,,,,,,,,,,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"31607","29872","33583","29735",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1154","4159","0","4423",,,,,99.4,
"Boundary End FO Unit-IIIc",,,,,"34782","33009","35118","31164",,,,,99.4,
"Span Span FO Unit-IIIc",,,,,"2244","3624","1595","4837",,,,,99.6,
"FO Unit-IIIc age",,,,,"37554","34500","38753","32982",,,,,99.6,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37025","35838","37694","35287",,104.9,,95.5,99.6,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37946","36931","38661","36484",,97.7,,94.5,99.6,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","34842","34399","35213","34316",,93.8,,94.5,99.7,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38856","37419","39481","36963",,,,,99.7,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1299","0","2211",,,,,99.8,
"Boundary End FO Unit-IV.1-IV",,,,,"39777","38874","40024","37916",,,,,99.7,
"Span Span FO Unit-IV.1-IV",,,,,"0","593","0","1704",,,,,99.9,
"FO Unit-IV.1-IV age",,,,,"40095","39199","41188","38343",,,,,99.8,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40032","39230","40770","38573",,130.1,,68.6,99.8,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39843","39427","40127","39249",,101.2,,,99.9,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40464","39459","42243","39266",,,,,95.8,
"Sequence FO_local_baseline_v2",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.536","5.37764e-17","3.708",,100,,,99.6,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,98.8,
"Outlier_Model General",,,,,"-140","144","-1268","1348",,,,,99.9,
"Curve Atmospheric",,,,,,,,,,,,,,
