"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 83.9
Aoverall 83.2",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End FO Unit-II",,,,,"9439","8166","9824","4451",,,,,90.4,
"Span Span FO Unit-II",,,,,"190","1434","0","6117",,,,,95.4,
"FO Unit-II age",,,,,"10854","8639","16337","5922",,,,,96.3,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9450","9313","10032","9146",,98.3,,94,99,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9694","10114","9555",,103.2,,98.7,99.5,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"12127","9617","20334","9528",,,,,93,
"Curve Atmospheric reset after IIIn",,,,,,,,,,,,,,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"12996","19519","3940","19786",,,,,92,
"Boundary End FO Unit-IIIn",,,,,"29563","26423","29846","17962",,,,,96.5,
"Span Span FO Unit-IIIn",,,,,"329","1953","0","6266",,,,,99.7,
"FO Unit-IIIn age",,,,,"30986","28084","33083","23143",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","29410","29061","29630","28925","29453","29076","29704","28913",,99.6,,97.7,99.7,
"R_Date FO-003 OxA-24646 H. sanguineum","30111","29856","30271","29706","30104","29839","30284","29650",,102.1,,98,99.7,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-75","-12.5","-105.5","17.5",,99.5,,,99.9,
"Curve Marine20 FO IIIn",,,,,,,,,,,,,,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"31662","29873","33781","29725",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1070","4186","0","4788",,,,,99.2,
"Boundary End FO Unit-IIIc",,,,,"34864","32879","36862","30728",,,,,98.8,
"Span Span FO Unit-IIIc",,,,,"2055","3736","0","4531",,,,,98.3,
"FO Unit-IIIc age",,,,,"37502","34513","38672","33011",,,,,99.3,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37037","35780","37932","35196",,104.5,,97,99.5,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","38021","36881","38957","34752",,92.5,,90.6,99.4,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35081","34397","37639","34198",,89.5,,90.1,99.5,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38807","37295","39617","36416",,,,,99,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1236","0","2254",,,,,99.2,
"Boundary End FO Unit-IV.1-IV",,,,,"39765","38630","40072","37330",,,,,97.7,
"Span Span FO Unit-IV.1-IV",,,,,"0","1042","0","2714",,,,,97.1,
"FO Unit-IV.1-IV age",,,,,"40127","39102","41219","37953",,,,,99.1,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40060","39153","40828","38243",,138,,83.7,99.2,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39829","39425","40101","39251",,102.3,,,99.5,
"R_Date FO-008 Beta-414539 AAA","36448","36057","36763","35771","40098","39078","41048","36223",,41,,1.8,98.5,
"R_Date FO-011 MAMS-33909 Lynx pardinus","35310","34874","35444","34691","40111","39035","41091","37742",,100.3,,0.1,98.5,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40477","39488","42081","39289",,,,,93.1,
"Sequence FO_local_baseline_v2_S1_problematic_in",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","3.312","3.776","3.176","4",,100,,,22.6,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,41.7,
"Outlier_Model General",,,,,"2630","5023","-1431","5732",,,,,83.7,
"Curve Atmospheric",,,,,,,,,,,,,,
