"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 111
Aoverall 110",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End FO Unit-II",,,,,"9441","8473","9686","5735",,,,,94,
"Span Span FO Unit-II",,,,,"196","1194","0","5165",,,,,99.5,
"FO Unit-II age",,,,,"10625","8827","15445","6625",,,,,99.5,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9447","9315","9467","9292",,99.5,,95.1,99.8,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9692","10113","9554",,100.1,,95.6,99.8,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"11771","9619","18917","9544",,,,,97.1,
"Curve Atmospheric reset after IIIn",,,,,,,,,,,,,,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"13534","19557","4075","19757",,,,,95.3,
"Boundary End FO Unit-IIIn",,,,,"29559","26304","29768","17931",,,,,97.3,
"Span Span FO Unit-IIIn",,,,,"336","1973","0","6457",,,,,99.8,
"FO Unit-IIIn age",,,,,"31017","28069","33135","23069",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","29410","29061","29630","28925","29447","29075","29677","28935",,97.7,,95.5,99.8,
"R_Date FO-003 OxA-24646 H. sanguineum","30111","29856","30271","29706","30103","29841","30270","29665",,99.6,,95.5,99.8,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-75","-13","-105.5","17.5",,99.5,,,100,
"Curve Marine20 FO IIIn",,,,,,,,,,,,,,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"31783","29876","33822","29762",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1589","4452","0","4670",,,,,99.3,
"Boundary End FO Unit-IIIc",,,,,"34902","33475","35248","31211",,,,,99.1,
"Span Span FO Unit-IIIc",,,,,"2566","3909","15","5091",,,,,99.3,
"FO Unit-IIIc age",,,,,"37712","34760","38839","33543",,,,,99.3,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37058","35835","37813","35287",,103.2,,95.4,99.6,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","38023","37009","38715","36620",,103.3,,95.3,99.6,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35094","34419","35352","34196",,87.8,,91.4,99.6,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","38563","36835","39241","36340","37937","36629","38724","36216",,108.2,,81.4,99.6,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","38405","36692","39179","36300","37843","36557","38683","36177",,109.8,,81.5,99.6,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38987","37720","39483","37243",,,,,99.7,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1112","0","1969",,,,,99.8,
"Boundary End FO Unit-IV.1-IV",,,,,"39773","38925","40025","38083",,,,,99.7,
"Span Span FO Unit-IV.1-IV",,,,,"0","573","0","1652",,,,,99.9,
"FO Unit-IV.1-IV age",,,,,"40113","39230","41213","38461",,,,,99.8,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40047","39261","40773","38677",,129.9,,68.4,99.8,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39853","39438","40145","39260",,101.2,,,99.9,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40483","39472","42263","39279",,,,,95.6,
"Sequence FO_local_baseline_v2_S3_SW_in_IIIc",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.668","5.37764e-17","3.668",,100,,,97.7,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,90.8,
"Outlier_Model General",,,,,"-178","186","-1452","2522",,,,,99.8,
"Curve Atmospheric",,,,,,,,,,,,,,
