"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 80.1
Aoverall 80.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End FO Unit-II",,,,,"9432","8508","9465","5876",,,,,95,
"Span Span FO Unit-II",,,,,"206","1190","22","5181",,,,,99.8,
"FO Unit-II age",,,,,"10640","8826","15335","6776",,,,,99.7,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9446","9316","9464","9295",,101,,96.6,99.9,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9693","10114","9554",,100.1,,95.7,99.8,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"11659","9628","19217","9530",,,,,97,
"Curve Atmospheric reset after IIIn",,,,,,,,,,,,,,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"13534","19538","4293","19732",,,,,95.2,
"Boundary End FO Unit-IIIn",,,,,"29553","26389","29792","18300",,,,,97,
"Span Span FO Unit-IIIn",,,,,"327","1938","0","6279",,,,,99.7,
"FO Unit-IIIn age",,,,,"30958","28112","33043","23194",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","29410","29061","29630","28925","29449","29077","29684","28932",,97.5,,95.4,99.8,
"R_Date FO-003 OxA-24646 H. sanguineum","30111","29856","30271","29706","30105","29840","30275","29661",,99.5,,95.5,99.8,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-75.5","-13","-105","17.5",,99.6,,,99.9,
"Curve Marine20 FO IIIn",,,,,,,,,,,,,,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"31639","29877","33653","29741",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1297","4238","0","4465",,,,,99.4,
"Boundary End FO Unit-IIIc",,,,,"34817","33160","35147","31268",,,,,99.5,
"Span Span FO Unit-IIIc",,,,,"2038","3219","1313","4527",,,,,99.7,
"FO Unit-IIIc age",,,,,"37172","34542","38072","33016",,,,,99.6,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","36979","35874","37494","35334",,108.2,,95.4,99.7,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37663","36810","38236","36323",,83.5,,92.7,99.5,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35038","34401","35222","34316",,93,,94.4,99.8,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38117","37099","38706","36633",,,,,99.8,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","669","0","1445",,,,,99.9,
"Boundary End FO Unit-IV.1-IV",,,,,"38772","37685","39141","37095",,,,,99.7,
"Span Span FO Unit-IV.1-IV",,,,,"631","1834","133","2607",,,,,99.8,
"FO Unit-IV.1-IV age",,,,,"39758","38455","40535","37610",,,,,99.8,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","39770","38579","40366","37795",,122.8,,68.4,99.8,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39749","39357","39997","39201",,98,,,99.8,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","38296","37016","39067","36744","39145","38231","39459","37481",,65.3,,78.2,99.7,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","38390","36994","39114","36644","39177","38259","39500","37524",,71.3,,79,99.7,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40273","39411","41469","39224",,,,,96.4,
"Sequence FO_local_baseline_v2_S2_SW_in",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","3.268","5.37764e-17","3.652",,100,,,99.8,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.6,
"Outlier_Model General",,,,,"-236","302","-1337","2384",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
