"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 104.7
Aoverall 105.1",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End FO Unit-II",,,,,"9435","8574","9465","6032",,,,,94.5,
"Span Span FO Unit-II",,,,,"204","1163","0","5169",,,,,99.8,
"FO Unit-II age",,,,,"10592","8857","15366","6800",,,,,99.7,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9448","9316","9464","9296",,101,,96.6,99.9,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9693","10113","9555",,100.3,,95.9,99.8,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"11715","9619","18882","9397",,,,,97.5,
"Curve Atmospheric reset after IIIn",,,,,,,,,,,,,,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"13584","19528","3887","19787",,,,,95.5,
"Boundary End FO Unit-IIIn",,,,,"29550","26232","29798","17616",,,,,97.1,
"Span Span FO Unit-IIIn",,,,,"333","2027","0","6525",,,,,99.8,
"FO Unit-IIIn age",,,,,"31049","28023","33341","23039",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","29410","29061","29630","28925","29448","29076","29681","28933",,97.8,,95.6,99.8,
"R_Date FO-003 OxA-24646 H. sanguineum","30111","29856","30271","29706","30105","29842","30271","29665",,99.8,,95.7,99.8,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-75","-13","-105","17.5",,99.5,,,99.9,
"Curve Marine20 FO IIIn",,,,,,,,,,,,,,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"31865","29879","34004","29747",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1513","4533","0","5332",,,,,99.1,
"Boundary End FO Unit-IIIc",,,,,"35041","33362","36833","32068",,,,,98.6,
"Span Span FO Unit-IIIc",,,,,"2059","3568","4","4230",,,,,99.1,
"FO Unit-IIIc age",,,,,"37464","34862","38526","33619",,,,,99.2,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37054","35933","37607","35340",,107.3,,95.7,99.6,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37819","36864","38466","36443",,92.8,,94.6,99.7,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35126","34418","37284","34226",,82.3,,70,99.4,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","37002","36226","37573","35796",,106.6,,82.7,99.7,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36984","36226","37558","35815",,106,,82.7,99.7,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38492","37177","39281","36819",,,,,99.5,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"22","1554","0","2352",,,,,99.7,
"Boundary End FO Unit-IV.1-IV",,,,,"39764","38777","40005","37766",,,,,99.5,
"Span Span FO Unit-IV.1-IV",,,,,"0","639","0","1799",,,,,99.7,
"FO Unit-IV.1-IV age",,,,,"40099","39158","41228","38223",,,,,99.7,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40037","39196","40779","38463",,129.8,,68.9,99.6,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39836","39424","40117","39245",,101.1,,,99.8,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40454","39450","42210","39244",,,,,94.5,
"Sequence FO_local_baseline_v2_S4_SW_in_IIIc_Beta378800_outlier20",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","0.024","3.4","5.37764e-17","3.676",,100,,,98.2,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,98.5,
"Outlier_Model General",,,,,"-291","309","-961","2574",,,,,99.9,
"Curve Atmospheric",,,,,,,,,,,,,,
