"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 98.5
Aoverall 97.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Cova del Gegant top age",,,,,"1","0","1","0",,,,,100,
"Before","...","1950.55","...","1950.55",,,,,,,,,,
"Boundary Boundary Layer I top",,,,,"1731","872","1736","127",,,,,99.6,
"R_Date sample #3 14C","1738","1704","1785","1626","1738","1703","1789","1625",,100.3,,96.2,99.9,
"Boundary Boundary Layer I bottom",,,,,"2564","1706","3246","1651",,,,,99.7,
"Boundary Boundary Layer XXV top",,,,,"3451","3343","3475","3113",,,,,99,
"R_Date sample #4 14C","3448","3393","3462","3366","3456","3406","3474","3374",,100,,96.8,99.8,
"R_Date sample #8 14C","3564","3483","3633","3452","3523","3453","3575","3411",,95.6,,96.5,98.7,
"R_Date sample #9 14C","3556","3450","3565","3405","3508","3445","3558","3406",,112.2,,97.1,99.7,
"R_Date sample #10 14C","3459","3398","3482","3382","3463","3407","3483","3388",,102.6,,97.2,99.7,
"Phase Layer XXV",,,,,,,,,,,,,,
"Boundary Boundary Layer XXV bottom",,,,,"3588","3459","3854","3417",,,,,91.6,
"Boundary Boundary Layer II top",,,,,"24407","18125","30317","12322",,,,,90.7,
"N sample #26 SG-OSL","23403","20396","24820","18980","24616","21142","30442","19448",,81.7,,88.6,99.8,
"N sample #27 SG-OSL","34372","30357","36263","28467","31802","29795","32543","27963",,90.4,,95.1,99.9,
"R_Date sample #11 14C","31371","31089","31617","31045","31345","31083","31615","31023",,104.9,,95.3,98.9,
"R_Date sample #12 14C","30359","30110","30735","30045","30364","30108","30742","30043",,100.2,,95.7,98.8,
"R_Date sample #13 14C","30766","30397","30901","30260","30769","30397","30910","30248",,100.6,,95.7,98.8,
"Phase Layer II",,,,,,,,,,,,,,
"Boundary Boundary Layer II bottom",,,,,"32170","31248","32879","31121",,,,,99.8,
"Boundary Boundary Layer III top",,,,,"33064","32036","33517","31535",,,,,99.6,
"R_Date sample #19 14C","33128","32224","33580","31943","33317","32441","33728","32100",,96.3,,95.2,99.7,
"N sample #28 SG-OSL","37768","32729","40141","30357","33812","32320","35305","31831",,100.1,,95.3,100,
"Phase Layer III",,,,,,,,,,,,,,
"Boundary Boundary Layer III bottom",,,,,"34490","32595","36382","32182",,,,,98.8,
"Boundary Boundary Layer XXIV top",,,,,"37554","34451","38694","33310",,,,,98.5,
"N sample #29 IRSL","38463","33400","40896","30968","38304","35648","39297","34357",,119.1,,95.4,99.9,
"N sample #30 SG-OSL","42445","36902","45056","34292","38496","35966","39465","34567",,88.6,,95.2,100,
"Phase Layer XXIV",,,,,,,,,,,,,,
"Boundary Boundary Layer XXIV bottom",,,,,"39329","36859","40027","35401",,,,,99,
"Boundary Boundary Layer IV top",,,,,"40249","38828","40692","37557",,,,,99.3,
"R_Date sample #22 14C","40087","39365","40553","39175","40422","39606","40747","39261",,88.4,,95.1,99.5,
"R_Date sample #23 14C","41165","39019","41861","37549","41010","39703","41816","38993",,116.8,,95.6,99.6,
"R_Date sample #24 14C","41456","40777","41862","40491","41369","40656","41810","40262",,95.5,,95.3,99.5,
"N sample #32 SG-OSL","47566","41191","50569","38189","41958","39667","44929","38770",,81.2,,95.1,100,
"Phase Layer IV",,,,,,,,,,,,,,
