"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 103.6
Aoverall 101.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Cova del Gegant top age",,,,,"1","0","1","0",,,,,100,
"Before","...","1950.55","...","1950.55",,,,,,,,,,
"Boundary Boundary Layer I top",,,,,"1732","856","1736","131",,,,,99.6,
"R_Date sample #3 14C","1738","1704","1785","1626","1739","1703","1788","1625",,100.6,,96.2,99.9,
"Boundary Boundary Layer I bottom",,,,,"2569","1707","3242","1651",,,,,99.7,
"Boundary Boundary Layer XXV top",,,,,"3452","3343","3476","3112",,,,,98.2,
"R_Date sample #4 14C","3448","3393","3462","3366","3456","3405","3474","3375",,99.7,,96.6,99.4,
"R_Date sample #8 14C","3564","3483","3633","3452","3520","3453","3575","3409",,95.1,,96.1,96.4,
"R_Date sample #9 14C","3556","3450","3565","3405","3507","3445","3558","3406",,111.6,,96.8,98.6,
"R_Date sample #10 14C","3459","3398","3482","3382","3463","3407","3483","3388",,102.3,,96.8,99.5,
"Phase Layer XXV",,,,,,,,,,,,,,
"Boundary Boundary Layer XXV bottom",,,,,"3591","3462","3846","3413",,,,,81.3,
"Boundary Boundary Layer II top",,,,,"30509","29415","30732","27436",,,,,92.4,
"N sample #27 SG-OSL","34372","30357","36263","28467","31471","30243","32173","29424",,102.1,,95.3,100,
"R_Date sample #11 14C","31371","31089","31617","31045","31309","31076","31602","30997",,106.9,,94.5,99.7,
"R_Date sample #12 14C","30359","30110","30735","30045","30679","30100","30760","30069",,90.2,,95.5,99.5,
"R_Date sample #13 14C","30766","30397","30901","30260","30779","30414","30910","30267",,101.4,,95.8,99.7,
"Phase Layer II",,,,,,,,,,,,,,
"Boundary Boundary Layer II bottom",,,,,"31840","31159","32613","31053",,,,,99.8,
"Boundary Boundary Layer III top",,,,,"32973","31898","33401","31400",,,,,99.6,
"R_Date sample #19 14C","33128","32224","33580","31943","33254","32382","33683","32066",,98.9,,95.3,99.7,
"N sample #28 SG-OSL","37768","32729","40141","30357","33739","32247","35182","31758",,98.1,,95.2,100,
"Phase Layer III",,,,,,,,,,,,,,
"Boundary Boundary Layer III bottom",,,,,"34487","32500","36420","32148",,,,,98.8,
"Boundary Boundary Layer XXIV top",,,,,"37584","34482","38707","33305",,,,,98.5,
"N sample #29 IRSL","38463","33400","40896","30968","38329","35648","39297","34333",,118.8,,95.3,100,
"N sample #30 SG-OSL","42445","36902","45056","34292","38523","35966","39465","34567",,88.5,,95.1,100,
"Phase Layer XXIV",,,,,,,,,,,,,,
"Boundary Boundary Layer XXIV bottom",,,,,"39327","36864","40027","35381",,,,,99.1,
"Boundary Boundary Layer IV top",,,,,"40258","38827","40685","37552",,,,,99.3,
"R_Date sample #22 14C","40087","39365","40553","39175","40426","39597","40748","39268",,88.1,,94.9,99.4,
"R_Date sample #23 14C","41165","39019","41861","37549","41010","39711","41814","38986",,116.7,,95.4,99.6,
"R_Date sample #24 14C","41456","40777","41862","40491","41363","40653","41811","40235",,94.9,,95.1,99.5,
"N sample #32 SG-OSL","47566","41191","50569","38189","41958","39667","44898","38770",,81,,95.1,99.9,
"Phase Layer IV",,,,,,,,,,,,,,
"Boundary Boundary Layer IV bottom",,,,,"43073","40533","47720","40075",,,,,93.6,
"Boundary Boundary Layer V Speleothem top",,,,,"55862","54677","56654","51801",,,,,96.9,
"N sample #43b U/Th","58159","56614","58887","55887","57470","56315","58108","55730",,99.1,,95.4,99.9,
"N sample #43a U/Th","57672","55901","58507","55067","57193","55938","57873","55310",,112.9,,95.6,99.8,
"N sample #44b U/Th","55860","55613","55977","55497","55888","55631","56038","55485",,97.8,,94,99.8,
"N sample #44a U/Th","57056","56778","57187","56647","57037","56764","57183","56614",,100.2,,95.3,99.8,
"Phase Layer V Speleothem",,,,,,,,,,,,,,
"Boundary Boundary Layer V Speleothem bottom",,,,,"58010","56885","59302","56703",,,,,99.6,
"Boundary Boundary Layer Va top",,,,,"60075","57470","62065","57002",,,,,98.8,
"N sample #33 IRSL","60519","50740","65218","46042","61181","58305","63386","56914",,89,,95.1,99.9,
"N sample #34 IRSL","62551","54182","66493","50241","61493","58242","63687","57348",,120,,95.2,99.9,
"N sample #35 SG-OSL","63409","54128","67779","49759","61622","58198","63829","57342",,126.4,,95.2,99.9,
"Phase Layer Va",,,,,,,,,,,,,,
"Boundary Boundary Layer Va bottom",,,,,"63264","58852","66416","57735",,,,,96.3,
"Boundary Boundary Layer Vf top",,,,,"69869","62226","73780","59746",,,,,97.9,
"N sample #36 IRSL","74213","64280","78891","59603","72554","65080","76508","62042",,113.4,,95.1,100,
"Boundary Boundary Layer Vf bottom",,,,,"75909","66761","81053","63410",,,,,97.4,
"Boundary Boundary Layer Vg top",,,,,"82604","71896","87939","67505",,,,,97.7,
"N sample #37 SG-OSL","83322","70917","89282","64958","86170","75893","91582","71454",,95.5,,95,100,
"Boundary Boundary Layer Vg bottom",,,,,"98921","76527","124971","72669",,,,,90.3,
"Boundary Boundary Layer XXX top",,,,,"147817","105986","160070","86579",,,,,91.3,
"N sample #38 SG-OSL","159256","130690","172979","116967","161722","133856","175305","120553",,100.4,,95,99.9,
"Boundary Boundary Layer XXX bottom",,,,,"240840","135994","377339","129568",,,,,59.5,
"Boundary Boundary Bedrock Speleothem top",,,,,"491386","424660","509477","343863",,,,,42.7,
"N sample #42b U/Th","510825","467049","531437","446437","499256","457818","519443","437418",,95.9,,95,99.8,
"N sample #42a U/Th","595617","480257","649937","425937","503638","452118","536118","419638",,79.7,,95,99.9,
"Phase Bedrock Speleothem",,,,,,,,,,,,,,
"Boundary Boundary Bedrock Speleothem bottom",,,,,"516595","467909","534253","455341",,,,,8.4,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.784","5.37764e-17","3.636",,100,,,99.6,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.6,
"Outlier_Model General",,,,,"-134","130","-1681","1748",,,,,100,
"Sequence Cova del Gegant Sequence",,,,,,,,,,,,,,
"Curve Atmospheric",,,,,,,,,,,,,,
