"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 35.9
Aoverall 36.9",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Cova del Gegant top age",,,,,"1","0","1","0",,,,,100,
"Before","...","1950.55","...","1950.55",,,,,,,,,,
"Boundary Boundary Layer I top",,,,,"1731","869","1736","136",,,,,99.8,
"R_Date sample #3 14C","1738","1704","1785","1626","1738","1703","1783","1626",,104,,99.7,99.9,
"Boundary Boundary Layer I bottom",,,,,"2574","1706","3241","1651",,,,,99.7,
"Boundary Boundary Layer XXV top",,,,,"3451","3343","3476","3112",,,,,99.2,
"R_Date sample #4 14C","3448","3393","3462","3366","3455","3406","3473","3374",,102.9,,99.7,99.7,
"R_Date sample #8 14C","3564","3483","3633","3452","3523","3453","3576","3412",,99.1,,99.7,97.6,
"R_Date sample #9 14C","3556","3450","3565","3405","3508","3445","3558","3406",,115.2,,99.8,99.3,
"R_Date sample #10 14C","3459","3398","3482","3382","3463","3406","3483","3388",,105.3,,99.8,99.7,
"Phase Layer XXV",,,,,,,,,,,,,,
"Boundary Boundary Layer XXV bottom",,,,,"3591","3462","3866","3416",,,,,88.5,
"Boundary Boundary Layer II top",,,,,"30434","19603","30601","16270",,,,,74.1,
"N sample #26 SG-OSL","23403","20396","24820","18980","30529","21492","30705","20178",,53.2,,58.1,87.2,
"N sample #27 SG-OSL","34372","30357","36263","28467","31783","29912","32562","28080",,95.4,,95.7,98.8,
"R_Date sample #11 14C","31371","31089","31617","31045","31337","31080","31612","31018",,108.3,,98.1,98.9,
"R_Date sample #12 14C","30359","30110","30735","30045","30378","30105","30748","30050",,100.2,,98.3,99,
"R_Date sample #13 14C","30766","30397","30901","30260","30779","30388","31056","30087",,99.7,,94.4,98.3,
"R_Date sample #15 14C","35037","34447","35225","34355","32069","29270","34716","25659",,6.8,,1.2,74.5,
"Phase Layer II",,,,,,,,,,,,,,
"Boundary Boundary Layer II bottom",,,,,"32109","31200","32973","31080",,,,,97.3,
"Boundary Boundary Layer III top",,,,,"33034","31942","33574","31415",,,,,96.7,
"R_Date sample #21 14C","31032","30464","31075","30379","33520","32231","34821","31715",,5.6,,,95,
