"Element","Prior","Posterior","Model","Type"
"sample #42a U/Th",5,5,"General","t",
"sample #42b U/Th",5,5,"General","t",
"sample #38 SG-OSL",5,5,"General","t",
"sample #37 SG-OSL",5,5,"General","t",
"sample #36 IRSL",5,4,"General","t",
"sample #35 SG-OSL",5,4,"General","t",
"sample #34 IRSL",5,4,"General","t",
"sample #33 IRSL",5,5,"General","t",
"sample #44a U/Th",5,2,"General","t",
"sample #44b U/Th",5,6,"General","t",
"sample #43a U/Th",5,2,"General","t",
"sample #43b U/Th",5,3,"General","t",
"sample #32 SG-OSL",5,4,"General","t",
"sample #24 14C",5,3,"General","t",
"sample #23 14C",5,2,"General","t",
"sample #22 14C",5,4,"General","t",
"sample #30 SG-OSL",5,4,"General","t",
"sample #29 IRSL",5,3,"General","t",
"sample #28 SG-OSL",5,4,"General","t",
"sample #19 14C",5,4,"General","t",
"sample #21 14C",5,100,"General","t",
"sample #15 14C",5,99,"General","t",
"sample #13 14C",5,6,"General","t",
"sample #12 14C",5,2,"General","t",
"sample #11 14C",5,2,"General","t",
"sample #27 SG-OSL",5,4,"General","t",
"sample #26 SG-OSL",5,42,"General","t",
"sample #10 14C",5,0,"General","t",
"sample #9 14C",5,0,"General","t",
"sample #8 14C",5,0,"General","t",
"sample #4 14C",5,0,"General","t",
"sample #3 14C",5,0,"General","t",
