"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 107.3
Aoverall 106.8",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End GR Level-II (UP indet)",,,,,"26887","23388","26951","19066",,,,,98.3,
"R_Date Beta-493572","26908","26448","26969","26385","26908","26455","26988","26374",,100,,95.1,99.6,
"Phase GR Level-II (UP indet)",,,,,,,,,,,,,,
"Boundary Start GR Level-II (UP indet)",,,,,"29281","26536","31787","26431",,,,,99.2,
"Boundary End GR Level-IIa",,,,,"33212","31007","33587","28272",,,,,99.3,
"Interval Duration GR Level-IIa (dated activity)",,,,,"2815","6870","2149","12102",,,,,99.1,
"Span Span GR Level-IIa",,,,,"2203","3019","1837","3647",,,,,99.4,
"R_Date R-EVA-2037","33320","32342","33551","32226","33445","32423","33684","32226",,101.1,,93.6,99.2,
"R_Date OxA-34305","35464","34831","35865","34628","35467","34834","35859","34619",,101.5,,95.5,99.3,
"R_Date R-EVA-2043","35919","35472","36098","35331","35870","35435","36093","35300",,100.7,,95.5,99.3,
"Phase GR Level-IIa (Late Aurignacian)",,,,,,,,,,,,,,
"Boundary Start GR Level-IIa",,,,,"37768","35509","41966","35319",,,,,99,
"Interval Hiatus GR Level-IIb -> GR Level-IIa (sterile layer)",,,,,"0","8283","0","15201",,,,,98.9,
"Boundary End GR Level-IIb",,,,,"46890","37153","53018","35976",,,,,98.7,
"Interval Duration GR Level-IIb (prior-driven)",,,,,"0","8245","0","15259",,,,,98.9,
"Phase GR Level-IIb",,,,,,,,,,,,,,
"Boundary Start GR Level-IIb",,,,,"55422","45492","59221","40353",,,,,97.8,
"Interval Elapsed time GR Unit-II base -> Start GR Level-IIb (sterile basal sediment)",,,,,"0","4912","0","11637",,,,,99.4,
"N GR22-01 OSL (base Unit-II; below Level-IIb)","56049","47809","59929","43929","57810","50330","61370","46730",,96.4,,95,100,
"Interval Hiatus GR Unit-III.1-III.2 -> GR Unit-II base",,,,,"0","9174","0","15993",,,,,98.7,
"Boundary End GR Unit-III.1-III.2",,,,,"66277","55984","69694","50892",,,,,96.7,
"N GR22-02 OSL (top)","70049","61809","73929","57929","68490","62250","71370","59130",,111.8,,95.2,100,
"N GR17-01 OSL (base)","73533","65314","77404","61444","71567","65223","74720","62351",,109.9,,95.2,100,
"Sequence GR Unit-III.1-III.2",,,,,,,,,,,,,,
"Boundary Start GR Unit-III.1-III.2",,,,,"75465","66481","81278","63357",,,,,97.1,
"Boundary End GR Unit-III.3",,,,,"84923","74246","89482","69162",,,,,97.3,
"N GR17-02 OSL","88025","78282","92614","73694","88001","79156","92258","75136",,104.8,,95.1,100,
"Phase GR Unit-III.3",,,,,,,,,,,,,,
"Boundary Start GR Unit-III.3",,,,,"94226","81141","103821","77017",,,,,96.2,
"Interval Elapsed time GR Unit-IV.3 -> GR Unit-III.3 (undated Unit-IV.1-IV.2)",,,,,"0","14674","0","26596",,,,,97.6,
"Boundary End GR Unit-IV.3",,,,,"108833","91695","116781","84670",,,,,95.8,
"N GR17-03 OSL","114066","96782","122204","88644","114262","99411","121729","92699",,105.6,,95.1,100,
"Phase GR Unit-IV.3",,,,,,,,,,,,,,
"Boundary Start GR Unit-IV.3",,,,,"124700","103451","138001","96149",,,,,93.7,
"Boundary End GR Unit-V",,,,,"145933","123316","155238","111117",,,,,93.1,
"N GR17-04 OSL","157499","138609","166394","129714","151681","133157","160576","124629",,91.5,,94.9,99.8,
"Phase GR Unit-V",,,,,,,,,,,,,,
"Boundary Start GR Unit-V",,,,,"158745","135013","171737","127723",,,,,55.4,
"Sequence GR_local_baseline_v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","3.592","5.37764e-17","3.824",,100,,,99.3,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,96,
"Outlier_Model General",,,,,"-383","387","-2747","3580",,,,,99.8,
"Curve Atmospheric",,,,,,,,,,,,,,
