"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 107.2
Aoverall 106.8",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End GR Level-II (UP indet)",,,,,"20606","15361","20841","7460",,,,,96.5,
"R_Date Beta-493572","26908","26448","26969","26385","26897","26435","26974","26375",,100.3,,95.8,98.3,
"R_Date GrA-6486 (S1; conventional 14C on bone; pretreatment unknown)","20657","20145","20880","19912","20718","20177","20958","19852",,98.9,,93.9,98.6,
"Phase GR Level-II (UP indet)",,,,,,,,,,,,,,
"Boundary Start GR Level-II (UP indet)",,,,,"29678","26685","31932","26493",,,,,99.4,
"Boundary End GR Level-IIa",,,,,"33211","31134","33569","28573",,,,,99.3,
"Interval Duration GR Level-IIa (dated activity)",,,,,"2803","6800","2142","11703",,,,,99.2,
"Span Span GR Level-IIa",,,,,"2210","3014","1846","3628",,,,,99.4,
"R_Date R-EVA-2037","33320","32342","33551","32226","33456","32462","33673","32240",,101.4,,94,99.2,
"R_Date OxA-34305","35464","34831","35865","34628","35467","34833","35866","34615",,101.4,,95.6,99.3,
"R_Date R-EVA-2043","35919","35472","36098","35331","35872","35430","36089","35300",,100.8,,95.6,99.3,
"Phase GR Level-IIa (Late Aurignacian)",,,,,,,,,,,,,,
"Boundary Start GR Level-IIa",,,,,"37772","35517","41919","35321",,,,,99,
"Interval Hiatus GR Level-IIb -> GR Level-IIa (sterile layer)",,,,,"0","8176","0","15205",,,,,98.9,
"Boundary End GR Level-IIb",,,,,"46740","37081","52937","35982",,,,,98.7,
"Interval Duration GR Level-IIb (prior-driven)",,,,,"0","8274","0","15299",,,,,98.9,
"Phase GR Level-IIb",,,,,,,,,,,,,,
"Boundary Start GR Level-IIb",,,,,"55350","45359","59128","40247",,,,,97.9,
"Interval Elapsed time GR Unit-II base -> Start GR Level-IIb (sterile basal sediment)",,,,,"0","4854","0","11582",,,,,99.4,
"N GR22-01 OSL (base Unit-II; below Level-IIb)","56049","47809","59929","43929","57730","50370","61370","46690",,96.6,,95,100,
"Interval Hiatus GR Unit-III.1-III.2 -> GR Unit-II base",,,,,"0","9065","0","16106",,,,,98.6,
"Boundary End GR Unit-III.1-III.2",,,,,"66368","56185","69649","50949",,,,,96.9,
"N GR22-02 OSL (top)","70049","61809","73929","57929","68490","62250","71370","59130",,111.8,,95.3,100,
"N GR17-01 OSL (base)","73533","65314","77404","61444","71528","65183","74720","62351",,109.8,,95.2,100,
"Sequence GR Unit-III.1-III.2",,,,,,,,,,,,,,
"Boundary Start GR Unit-III.1-III.2",,,,,"75548","66512","81298","63471",,,,,97,
"Boundary End GR Unit-III.3",,,,,"84862","74233","89459","69009",,,,,97.3,
"N GR17-02 OSL","88025","78282","92614","73694","88001","79156","92258","75136",,104.8,,95.1,100,
"Phase GR Unit-III.3",,,,,,,,,,,,,,
"Boundary Start GR Unit-III.3",,,,,"94152","81225","103788","76871",,,,,96.2,
"Interval Elapsed time GR Unit-IV.3 -> GR Unit-III.3 (undated Unit-IV.1-IV.2)",,,,,"0","14541","0","26445",,,,,97.6,
"Boundary End GR Unit-IV.3",,,,,"108841","91586","116543","84566",,,,,96,
"N GR17-03 OSL","114066","96782","122204","88644","114345","99411","121729","92783",,105.6,,95,100,
"Phase GR Unit-IV.3",,,,,,,,,,,,,,
"Boundary Start GR Unit-IV.3",,,,,"124727","103133","138210","96148",,,,,94,
"Boundary End GR Unit-V",,,,,"147056","123782","155320","111160",,,,,93.2,
"N GR17-04 OSL","157499","138609","166394","129714","152048","133708","161493","124813",,93,,94.9,99.8,
"Phase GR Unit-V",,,,,,,,,,,,,,
"Boundary Start GR Unit-V",,,,,"158733","134889","172808","128019",,,,,55.7,
"Sequence GR_local_baseline_v1_S1_GrA6486_in_LevelII",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","3.688","5.37764e-17","3.78",,100,,,96.2,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,92.3,
"Outlier_Model General",,,,,"-368","372","-2627","3442",,,,,99.6,
"Curve Atmospheric",,,,,,,,,,,,,,
