"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 60.6
Aoverall 63.8",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End Teixoneres Unit II",,,,,"40183","39244","40436","37916",,,,,98.1,
"R_Date MAMS-17608","40316","39806","40530","39624","40396","39902","40584","39665",,102,,97.8,99.6,
"R_Date MAMS-17601","42889","42623","43036","42497","42889","42620","43049","42490",,103.6,,98.5,99.9,
"R_Date MAMS-17607","40357","39856","40555","39660","40421","39936","40610","39684",,102.8,,97.5,99.5,
"R_Date MAMS-18669","44205","43406","44424","43162","43808","43187","44270","42978",,96.1,,95.2,99.3,
"R_Date MAMS-18668","42751","42501","42882","42399","42754","42500","42892","42391",,103.6,,98.6,99.9,
"R_Date MAMS-17600","41924","41536","42044","41350","41927","41531","42063","41323",,102.5,,97.6,99.8,
"Phase Teixoneres Unit II",,,,,,,,,,,,,,
"Boundary Transition Teixoneres Unit III/II",,,,,"44316","43660","44486","43289",,,,,99.1,
"R_Date MAMS-17604","44702","44240","45050","43893","44656","44287","44892","44038",,116.1,,98.9,99.9,
"R_Date MAMS-17603","44570","44024","44720","43385","44559","44175","44762","43861",,120.3,,98.7,99.8,
"R_Date MAMS-17609","45158","44598","45538","44418","44901","44463","45283","44295",,98.9,,98.1,99.1,
"R_Date MAMS-18673","44045","43278","44336","43055","44445","43950","44609","43541",,72.1,,96,99.5,
"R_Date MAMS-18672","45005","44480","45405","44277","44822","44413","45165","44223",,109.1,,98.6,99.5,
"R_Date MAMS-18671","50710","48596","52174","48034","44929","44032","49811","43486",,16.4,,11.6,99,
"Phase Teixoneres Unit III",,,,,,,,,,,,,,
"Boundary Start Teixoneres Chamber X model",,,,,"45286","44506","50758","44282",,,,,93.2,
"Sequence Teixoneres_local_baseline_v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","3.428","4","5.37764e-17","4",,100,,,97.1,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,96.2,
"Outlier_Model General",,,,,"-6482","63","-7654","1645",,,,,82.5,
"Curve Atmospheric",,,,,,,,,,,,,,
