"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 58.3
Aoverall 56.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End Teixoneres Unit II",,,,,"40238","33875","40428","31295",,,,,0.6,
"R_Date MAMS-17608","40316","39806","40530","39624","40361","39847","40565","39625",,102.7,,98,96.3,
"R_Date MAMS-17601","42889","42623","43036","42497","42890","42619","43059","42481",,102.8,,98,99.7,
"R_Date MAMS-17607","40357","39856","40555","39660","40394","39886","40606","39645",,102.4,,97.3,96.9,
"R_Date MAMS-18670","35327","34915","35419","34740","41127","34725","43647","34668",,56.3,,50.2,0.1,
"R_Date MAMS-18669","44205","43406","44424","43162","43830","43193","44343","42926",,96,,94.5,99.1,
"R_Date MAMS-18668","42751","42501","42882","42399","42753","42499","42895","42390",,103.4,,98.5,99.7,
"R_Date MAMS-17600","41924","41536","42044","41350","41925","41520","42064","41323",,102.6,,97.7,99.6,
"Phase Teixoneres Unit II",,,,,,,,,,,,,,
"Boundary Transition Teixoneres Unit III/II",,,,,"44315","43669","44488","43297",,,,,98.5,
"R_Date MAMS-17604","44702","44240","45050","43893","44659","44287","44899","44038",,115.7,,98.9,99.7,
"R_Date MAMS-17603","44570","44024","44720","43385","44559","44175","44759","43866",,120.4,,98.9,99.7,
"R_Date MAMS-17609","45158","44598","45538","44418","44913","44467","45302","44305",,99.8,,98.4,97,
"R_Date MAMS-18673","44045","43278","44336","43055","44444","43954","44608","43549",,71.8,,96.2,99.2,
"R_Date MAMS-18672","45005","44480","45405","44277","44832","44417","45181","44224",,109.3,,98.8,98.3,
"R_Date MAMS-18671","50710","48596","52174","48034","44954","44014","49963","43476",,17.5,,12.6,91.7,
"Phase Teixoneres Unit III",,,,,,,,,,,,,,
"Boundary Start Teixoneres Chamber X model",,,,,"45356","44507","50988","44290",,,,,88.6,
"Sequence Teixoneres_local_baseline_v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","3.52","4","0.024","4",,100,,,60.9,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,55.5,
"Outlier_Model General",,,,,"-7003","6243","-7626","8329",,,,,15.8,
"Curve Atmospheric",,,,,,,,,,,,,,
