"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 159.4
Aoverall 162.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"=Start ARB Level-F",,,,,"33661","32167","35344","31903",,,,,98.6,
"=Start FO Unit-IIIn",,,,,"31757","29877","33815","29762",,,,,98.5,
"=Start GR Level-IIa",,,,,"37762","35514","41945","35336",,,,,99,
"=Start ARB Level-G",,,,,"37921","36578","39248","36347",,,,,98.2,
"=Start FO Unit-IIIc",,,,,"38491","37222","39280","36879",,,,,98.9,
"=Start ARB Level-H",,,,,"41619","40695","42095","40300",,,,,98.9,
"=Start AR Level A",,,,,"42230","41808","42414","41558",,,,,98.8,
"=Start FO Unit-IV.1-IV",,,,,"41015","39479","44182","39296",,,,,92,
"=End ARB Level-I",,,,,"42420","41768","42576","41145",,,,,99.1,
"=End AR Level B",,,,,"42845","42560","43023","42421",,,,,99.8,
"Order M1 component diagnostic",,,,,,,,,,,,,,
"Difference d_StartFOGrav_minus_EndFOAur",,,,,"1605","4498","7","4674",,,,,98.1,
"Difference d_StartARBGrav_minus_EndARBG",,,,,"1851","4108","234","4462",,,,,98.9,
"Difference d_StartFOGrav_minus_EndGRIIa",,,,,"-746","2677","-3338","3277",,,,,99.2,
"Difference d_StartARBG_minus_EndFOAur",,,,,"-4327","-2170","-6290","-1549",,,,,98,
"Difference d_StartGRIIa_minus_EndFOAur",,,,,"-4249","-1091","-8793","-373",,,,,98.3,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"903","2785","-202","3449",,,,,98.8,
"Difference d_StartFOAur_minus_EndARProto",,,,,"3122","4489","2325","4902",,,,,99,
"Difference d_StartARBProto_minus_StartFOChat",,,,,"-1899","114","-2542","3215",,,,,98.6,
"Difference d_StartARProto_minus_StartFOChat",,,,,"-2579","-898","-2925","2206",,,,,97.8,
"Difference d_StartARBProto_minus_EndFOChat",,,,,"-2736","-1254","-3691","-742",,,,,99.6,
"Difference d_StartARProto_minus_EndFOChat",,,,,"-3370","-2199","-4326","-1872",,,,,99.5,
"Difference d_StartFOChat_minus_EndARBI",,,,,"856","2663","-2421","3017",,,,,98.7,
"Difference d_StartFOChat_minus_EndARB",,,,,"1697","3259","-1618","3558",,,,,99.2,
"Difference d_StartFOChat_minus_EndARD",,,,,"2188","4110","-1077","4825",,,,,98.9,
"=Start ARB Level-F",,,,,"33661","32167","35344","31903",,,,,98.6,
"=Start FO Unit-IIIn",,,,,"31757","29877","33815","29762",,,,,98.5,
"=Start GR Level-IIa",,,,,"37762","35514","41945","35336",,,,,99,
"=Start ARB Level-G",,,,,"37921","36578","39248","36347",,,,,98.2,
"=End FO Unit-IIIc",,,,,"34926","33567","35239","31524",,,,,97.6,
"Order M1 order diagnostic (Aur-Grav)",,,,,,,,,,,,,,
"=Start GR Level-IIa",,,,,"37762","35514","41945","35336",,,,,99,
"=Start ARB Level-G",,,,,"37921","36578","39248","36347",,,,,98.2,
"=Start FO Unit-IIIc",,,,,"38491","37222","39280","36879",,,,,98.9,
"=End ARB Level-H",,,,,"40543","39197","40884","38227",,,,,96.9,
"=End AR Level A",,,,,"41960","41508","42107","41200",,,,,98.5,
"=Start ARB Level-H",,,,,"41619","40695","42095","40300",,,,,98.9,
"=Start AR Level A",,,,,"42230","41808","42414","41558",,,,,98.8,
"=End FO Unit-IV.1-IV",,,,,"39765","38700","40009","37739",,,,,99.2,
"=Start FO Unit-IV.1-IV",,,,,"41015","39479","44182","39296",,,,,92,
"=End ARB Level-I",,,,,"42420","41768","42576","41145",,,,,99.1,
"=End AR Level B",,,,,"42845","42560","43023","42421",,,,,99.8,
"=End AR Level D",,,,,"43709","42905","44270","42727",,,,,99.3,
"Order M1 order diagnostic (finalMP-Chat-Proto-Aur)",,,,,,,,,,,,,,
"Boundary End GR Level-II (UP indet)",,,,,"26891","23467","26952","19053",,,,,98.1,
"R_Date Beta-493572","26908","26448","26969","26385","26908","26450","26987","26376",,99.7,,94.8,99.4,
"Phase GR Level-II (UP indet)",,,,,,,,,,,,,,
"Boundary Start GR Level-II (UP indet)",,,,,"29270","26536","31781","26437",,,,,99.1,
"Boundary End GR Level-IIa",,,,,"33221","31048","33549","28459",,,,,99.2,
"Interval Duration GR Level-IIa (dated activity)",,,,,"2821","6815","2215","11792",,,,,99,
"Span Span GR Level-IIa",,,,,"2214","3016","1873","3587",,,,,99.2,
"R_Date R-EVA-2037","33320","32342","33551","32226","33471","32431","33650","32254",,101.7,,94,99,
"R_Date OxA-34305","35464","34831","35865","34628","35466","34833","35857","34617",,101.2,,95.2,99.1,
"R_Date R-EVA-2043","35919","35472","36098","35331","35875","35435","36092","35300",,100.4,,95.1,99.1,
