"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 7.9
Aoverall 11.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"=Start ARB Level-F",,,,,"32849","32099","33260","31847",,,,,99.6,
"=Start FO Unit-IIIn",,,,,"31514","29903","32830","29797",,,,,99.3,
"=Start GR Level-IIa",,,,,"37096","35516","39104","35359",,,,,99.3,
"=Start ARB Level-G",,,,,"38024","36568","39486","36364",,,,,98.2,
"=Start FO Unit-IIIc",,,,,"38872","37258","39872","36905",,,,,98.7,
"=Start ARB Level-H",,,,,"40840","40449","40914","40140",,,,,99.3,
"=Start AR Level A",,,,,"40890","40699","40946","40560",,,,,99.1,
"=Start FO Unit-IV.1-IV",,,,,"41106","40755","41681","40592",,,,,96.4,
"=End ARB Level-I",,,,,"42413","41688","42532","41073",,,,,98.5,
"=End AR Level B",,,,,"42846","42555","43032","42411",,,,,99.8,
"Order M2 component diagnostic",,,,,,,,,,,,,,
"Difference d_StartFOGrav_minus_EndFOAur",,,,,"2215","4451","656","5057",,,,,99.2,
"Difference d_StartARBGrav_minus_EndARBG",,,,,"2834","4461","1043","4905",,,,,99.5,
"Difference d_StartFOGrav_minus_EndGRIIa",,,,,"1193","3137","-2","3653",,,,,99.7,
"Difference d_StartARBG_minus_EndFOAur",,,,,"-4321","-2238","-6061","-1516",,,,,98.9,
"Difference d_StartGRIIa_minus_EndFOAur",,,,,"-3422","-1137","-5740","-419",,,,,98.9,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"981","2811","32","3158",,,,,99.2,
"Difference d_StartFOAur_minus_EndARProto",,,,,"1802","3433","794","3807",,,,,99.2,
"Difference d_StartARBProto_minus_StartFOChat",,,,,"48","557","6","1104",,,,,99.6,
"Difference d_StartARProto_minus_StartFOChat",,,,,"8","265","1","855",,,,,99.3,
"Difference d_StartARBProto_minus_EndFOChat",,,,,"-2","291","-2","641",,,,,99.9,
"Difference d_StartARProto_minus_EndFOChat",,,,,"-2","52","-2","133",,,,,100,
"Difference d_StartFOChat_minus_EndARBI",,,,,"541","1469","12","1574",,,,,98.7,
"Difference d_StartFOChat_minus_EndARB",,,,,"1513","2013","973","2277",,,,,99.6,
"Difference d_StartFOChat_minus_EndARD",,,,,"1914","2849","1458","3488",,,,,99.5,
"=Start ARB Level-F",,,,,"32849","32099","33260","31847",,,,,99.6,
"=Start FO Unit-IIIn",,,,,"31514","29903","32830","29797",,,,,99.3,
"=Start GR Level-IIa",,,,,"37096","35516","39104","35359",,,,,99.3,
"=Start ARB Level-G",,,,,"38024","36568","39486","36364",,,,,98.2,
"=End FO Unit-IIIc",,,,,"34832","33577","36279","32397",,,,,98.5,
"Order M2 order diagnostic (Aur-Grav)",,,,,,,,,,,,,,
"=Start GR Level-IIa",,,,,"37096","35516","39104","35359",,,,,99.3,
"=Start ARB Level-G",,,,,"38024","36568","39486","36364",,,,,98.2,
"=Start FO Unit-IIIc",,,,,"38872","37258","39872","36905",,,,,98.7,
"=End ARB Level-H",,,,,"40563","39780","40764","39164",,,,,98.1,
"=End AR Level A",,,,,"40835","40609","40915","40446",,,,,99,
"=Start ARB Level-H",,,,,"40840","40449","40914","40140",,,,,99.3,
"=Start AR Level A",,,,,"40890","40699","40946","40560",,,,,99.1,
"=End FO Unit-IV.1-IV",,,,,"40935","40759","40964","40606",,,,,99.1,
"=Start FO Unit-IV.1-IV",,,,,"41106","40755","41681","40592",,,,,96.4,
"=End ARB Level-I",,,,,"42413","41688","42532","41073",,,,,98.5,
"=End AR Level B",,,,,"42846","42555","43032","42411",,,,,99.8,
"=End AR Level D",,,,,"43715","42909","44282","42726",,,,,99.5,
"Order M2 order diagnostic (finalMP-Chat-Proto-Aur)",,,,,,,,,,,,,,
"=Start ARB Level-F",,,,,"32849","32099","33260","31847",,,,,99.6,
"=End GR Level-IIa",,,,,"33312","32546","35410","32048",,,,,99.7,
"Sequence M2 constraint GR IIa -> ARB F",,,,,,,,,,,,,,
"=Start FO Unit-IIIn",,,,,"31514","29903","32830","29797",,,,,99.3,
"=End GR Level-IIa",,,,,"33312","32546","35410","32048",,,,,99.7,
"Sequence M2 constraint GR IIa -> FO Grav",,,,,,,,,,,,,,
"=Start ARB Level-F",,,,,"32849","32099","33260","31847",,,,,99.6,
"=End ARB Level-G",,,,,"36862","35528","37222","33684",,,,,98.1,
"Sequence M2 constraint ARB G -> ARB F",,,,,,,,,,,,,,
"=Start FO Unit-IIIn",,,,,"31514","29903","32830","29797",,,,,99.3,
"=End ARB Level-G",,,,,"36862","35528","37222","33684",,,,,98.1,
"Sequence M2 constraint ARB G -> FO Grav",,,,,,,,,,,,,,
"=Start ARB Level-F",,,,,"32849","32099","33260","31847",,,,,99.6,
"=End FO Unit-IIIc",,,,,"34832","33577","36279","32397",,,,,98.5,
"Sequence M2 constraint FO Aur -> ARB F",,,,,,,,,,,,,,
"=Start FO Unit-IIIn",,,,,"31514","29903","32830","29797",,,,,99.3,
"=End FO Unit-IIIc",,,,,"34832","33577","36279","32397",,,,,98.5,
"Sequence M2 constraint FO Aur -> FO Grav",,,,,,,,,,,,,,
"=Start GR Level-IIa",,,,,"37096","35516","39104","35359",,,,,99.3,
"=End ARB Level-H",,,,,"40563","39780","40764","39164",,,,,98.1,
"Sequence M2 constraint ARB Proto -> GR IIa",,,,,,,,,,,,,,
"=Start ARB Level-G",,,,,"38024","36568","39486","36364",,,,,98.2,
"=End ARB Level-H",,,,,"40563","39780","40764","39164",,,,,98.1,
"Sequence M2 constraint ARB Proto -> ARB G",,,,,,,,,,,,,,
"=Start FO Unit-IIIc",,,,,"38872","37258","39872","36905",,,,,98.7,
"=End ARB Level-H",,,,,"40563","39780","40764","39164",,,,,98.1,
"Sequence M2 constraint ARB Proto -> FO Aur",,,,,,,,,,,,,,
"=Start GR Level-IIa",,,,,"37096","35516","39104","35359",,,,,99.3,
"=End AR Level A",,,,,"40835","40609","40915","40446",,,,,99,
"Sequence M2 constraint AR Proto -> GR IIa",,,,,,,,,,,,,,
"=Start ARB Level-G",,,,,"38024","36568","39486","36364",,,,,98.2,
"=End AR Level A",,,,,"40835","40609","40915","40446",,,,,99,
"Sequence M2 constraint AR Proto -> ARB G",,,,,,,,,,,,,,
"=Start FO Unit-IIIc",,,,,"38872","37258","39872","36905",,,,,98.7,
"=End AR Level A",,,,,"40835","40609","40915","40446",,,,,99,
"Sequence M2 constraint AR Proto -> FO Aur",,,,,,,,,,,,,,
"=Start ARB Level-H",,,,,"40840","40449","40914","40140",,,,,99.3,
"=End FO Unit-IV.1-IV",,,,,"40935","40759","40964","40606",,,,,99.1,
"Sequence M2 constraint Chat -> ARB Proto",,,,,,,,,,,,,,
"=Start AR Level A",,,,,"40890","40699","40946","40560",,,,,99.1,
"=End FO Unit-IV.1-IV",,,,,"40935","40759","40964","40606",,,,,99.1,
"Sequence M2 constraint Chat -> AR Proto",,,,,,,,,,,,,,
"=Start FO Unit-IV.1-IV",,,,,"41106","40755","41681","40592",,,,,96.4,
"=End ARB Level-I",,,,,"42413","41688","42532","41073",,,,,98.5,
"Sequence M2 constraint finalMP ARB I -> Chat",,,,,,,,,,,,,,
"=Start FO Unit-IV.1-IV",,,,,"41106","40755","41681","40592",,,,,96.4,
"=End AR Level B",,,,,"42846","42555","43032","42411",,,,,99.8,
"Sequence M2 constraint finalMP AR B -> Chat",,,,,,,,,,,,,,
"=Start FO Unit-IV.1-IV",,,,,"41106","40755","41681","40592",,,,,96.4,
"=End AR Level D",,,,,"43715","42909","44282","42726",,,,,99.5,
"Sequence M2 constraint finalMP AR D -> Chat",,,,,,,,,,,,,,
"Boundary End GR Level-II (UP indet)",,,,,"26902","21709","27003","9171",,,,,91.7,
"R_Date Beta-493572","26908","26448","26969","26385","26909","26449","26990","26372",,99.9,,94.9,99.2,
"Phase GR Level-II (UP indet)",,,,,,,,,,,,,,
"Boundary Start GR Level-II (UP indet)",,,,,"30287","26556","32630","26481",,,,,98.6,
"Boundary End GR Level-IIa",,,,,"33312","32546","35410","32048",,,,,99.7,
"Interval Duration GR Level-IIa (dated activity)",,,,,"2435","4564","469","6800",,,,,99.5,
"Span Span GR Level-IIa",,,,,"2076","2848","0","3267",,,,,99.3,
"R_Date R-EVA-2037","33320","32342","33551","32226","33567","32959","35796","32381",,90.7,,86,98.9,
"R_Date OxA-34305","35464","34831","35865","34628","35477","34846","35863","34620",,101.5,,95.5,99.5,
"R_Date R-EVA-2043","35919","35472","36098","35331","35861","35410","36096","35286",,99.9,,94.9,99.4,
"Phase GR Level-IIa (Late Aurignacian)",,,,,,,,,,,,,,
"Boundary Start GR Level-IIa",,,,,"37096","35516","39104","35359",,,,,99.3,
"Interval Hiatus GR Level-IIb -> GR Level-IIa (sterile layer)",,,,,"0","8559","0","15626",,,,,98.9,
"Boundary End GR Level-IIb",,,,,"45823","36722","52550","35851",,,,,98.8,
"Interval Duration GR Level-IIb (prior-driven)",,,,,"0","8503","0","15559",,,,,98.9,
"Phase GR Level-IIb",,,,,,,,,,,,,,
"Boundary Start GR Level-IIb",,,,,"55158","45051","58889","39995",,,,,97.7,
"Interval Elapsed time GR Unit-II base -> Start GR Level-IIb (sterile basal sediment)",,,,,"0","5053","0","11892",,,,,99.3,
"N GR22-01 OSL (base Unit-II; below Level-IIb)","56049","47809","59929","43929","57690","50170","61290","46530",,97.4,,95,100,
"Interval Hiatus GR Unit-III.1-III.2 -> GR Unit-II base",,,,,"0","9245","0","16264",,,,,98.5,
"Boundary End GR Unit-III.1-III.2",,,,,"66523","56101","69649","50923",,,,,95.7,
"N GR22-02 OSL (top)","70049","61809","73929","57929","68450","62290","71330","59130",,111.8,,95.1,100,
"N GR17-01 OSL (base)","73533","65314","77404","61444","71528","65183","74720","62351",,109.8,,95.1,100,
"Sequence GR Unit-III.1-III.2",,,,,,,,,,,,,,
"Boundary Start GR Unit-III.1-III.2",,,,,"75466","66414","81321","63491",,,,,96.6,
"Boundary End GR Unit-III.3",,,,,"84866","74097","89273","69180",,,,,96.9,
"N GR17-02 OSL","88025","78282","92614","73694","87954","79203","92258","75183",,104.8,,95.1,100,
"Phase GR Unit-III.3",,,,,,,,,,,,,,
"Boundary Start GR Unit-III.3",,,,,"94549","81194","103938","76967",,,,,95.5,
"Interval Elapsed time GR Unit-IV.3 -> GR Unit-III.3 (undated Unit-IV.1-IV.2)",,,,,"0","14710","0","26664",,,,,97.5,
"Boundary End GR Unit-IV.3",,,,,"109041","91694","116473","84718",,,,,95,
"N GR17-03 OSL","114066","96782","122204","88644","114261","99495","121645","92699",,105.7,,95,100,
"Phase GR Unit-IV.3",,,,,,,,,,,,,,
"Boundary Start GR Unit-IV.3",,,,,"124467","103264","137785","96400",,,,,92.6,
"Boundary End GR Unit-V",,,,,"146231","123317","154715","111747",,,,,91.1,
"N GR17-04 OSL","157499","138609","166394","129714","151589","133157","160576","124446",,91.3,,95,99.8,
"Phase GR Unit-V",,,,,,,,,,,,,,
"Boundary Start GR Unit-V",,,,,"159226","134074","172503","126776",,,,,44.5,
"Sequence GR_local_baseline_consolidado",,,,,,,,,,,,,,
"Difference d_Start_E_minus_End_F",,,,,"518","1822","1","2129",,,,,99.6,
"Difference d_Start_F_minus_End_G",,,,,"2834","4461","1043","4905",,,,,99.5,
"Difference d_Start_G_minus_End_H",,,,,"1797","3570","437","3903",,,,,98.9,
"Difference d_Start_H_minus_End_I",,,,,"995","1878","390","2144",,,,,99.5,
"Boundary End ARB Level-E",,,,,"30297","29548","30669","28277",,,,,85.1,
"R_Date OxA-21669","30276","29907","30739","29518","30301","29974","30734","29804",,102.5,,95.9,99.7,
"R_Date OxA-21668","30720","30095","30866","30017","30427","30051","30782","29995",,107.8,,96,99.7,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30927","30135","31737","30038",,,,,99.1,
"Interval Gap F-E",,,,,"517","1821","0","2127",,,,,99.6,
"Boundary End ARB Level-F",,,,,"32387","31492","32805","30827",,,,,99.2,
"R_Date OxA-21782","32888","31946","33312","31644","32529","31862","32925","31707",,110.5,,95.9,99.8,
"R_Date OxA-21781","32857","31931","33256","31650","32505","31854","32918","31708",,110.6,,95.9,99.8,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"32849","32099","33260","31847",,,,,99.6,
"Interval Gap G-F",,,,,"2834","4456","1047","4906",,,,,99.5,
"Boundary End ARB Level-G",,,,,"36862","35528","37222","33684",,,,,98.1,
"R_Date OxA-21783","37000","36035","37610","35430","36990","36235","37522","35798",,109.4,,95.7,99.7,
"R_Date OxA-21667","37115","36138","38075","35562","37030","36288","37609","35921",,114.2,,95.8,99.7,
"R_Date OxA-21666","37814","36425","38911","36260","37244","36402","38055","36158",,111.9,,95.6,99.7,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"38024","36568","39486","36364",,,,,98.2,
"Interval Gap H-G",,,,,"1791","3576","436","3902",,,,,98.8,
"Boundary End ARB Level-H",,,,,"40563","39780","40764","39164",,,,,98.1,
"R_Date OxA-21664","41599","40442","42002","39834","40695","40164","40825","39861",,78.9,,95.4,99.6,
"R_Date OxA-21784","41722","40535","42087","39855","40697","40167","40827","39860",,71.9,,95.3,99.6,
"R_Date OxA-21665","41599","40345","42020","39727","40690","40162","40825","39837",,88.9,,95.6,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","40661","40022","40816","39449",,22.7,,92.2,99.7,
"R_Date SANU-29016","41464","40003","42070","39429","40685","40141","40825","39787",,109.7,,95.7,99.7,
"R_Date SANU-29019","41770","40315","42173","39558","40688","40150","40828","39806",,94.5,,95.6,99.7,
"R_Date SANU-29017","40812","39266","41462","37866","40670","40095","40824","39674",,126.6,,95.8,99.6,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"40840","40449","40914","40140",,,,,99.3,
"Interval Gap I-H",,,,,"994","1878","392","2150",,,,,99.5,
"Boundary End ARB Level-I",,,,,"42413","41688","42532","41073",,,,,98.5,
"R_Date OxA-21662","42319","41442","42730","40912","42529","42007","42772","41554",,96.3,,95.6,98.7,
"R_Date OxA-21704","43795","42283","44504","42037","42710","42214","43250","41961",,113.3,,95.6,96.3,
"R_Date OxA-19994","42549","42238","42750","42095","42525","42240","42710","42095",,105.4,,96.2,98.3,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"43096","42243","44201","42102",,,,,29,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9444","7690","9607","2904",,,,,91.1,
"Span Span FO Unit-II",,,,,"194","1603","10","6418",,,,,99.7,
"FO Unit-II age",,,,,"10997","8400","16689","4932",,,,,99.5,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9446","9313","9468","9288",,99.1,,94.9,99.2,
