"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 154
Aoverall 158.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndFOChat",,,,,"720","2286","4","2587",,,,,99.7,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"613","2643","-474","3329",,,,,99.3,
"Difference d_StartFOAur_minus_EndARProto",,,,,"2855","4401","2094","4822",,,,,99.6,
"Difference d_StartFOAur_minus_End497D",,,,,"-439","1758","-3923","2569",,,,,97.1,
"Difference d_Start497D_minus_EndARBProto",,,,,"-259","1237","-1325","1835",,,,,99.7,
"Difference d_Start497D_minus_EndARProto",,,,,"1965","2705","1558","3274",,,,,99.6,
"Difference d_Start497D_minus_StartFOChat",,,,,"117","1184","10","3026",,,,,95.7,
"Difference d_Start497D_minus_EndFOChat",,,,,"-2","352","-2","870",,,,,99.8,
"Difference d_StartARBProto_minus_StartFOChat",,,,,"-1826","-358","-2469","1218",,,,,97,
"Difference d_StartARProto_minus_StartFOChat",,,,,"-2498","-1417","-2853","180",,,,,96,
"Difference d_StartARBProto_minus_EndFOChat",,,,,"-2088","-1027","-2631","-536",,,,,99.7,
"Difference d_StartARProto_minus_EndFOChat",,,,,"-2718","-2054","-3077","-1675",,,,,99.7,
"Difference d_StartFOChat_minus_EndS1B",,,,,"340","2676","-1452","3068",,,,,96.2,
"Difference d_StartFOChat_minus_EndARBI",,,,,"1336","2599","-330","2977",,,,,95.1,
"Difference d_StartFOChat_minus_EndARB",,,,,"2165","3174","434","3505",,,,,96.5,
"Difference d_StartFOChat_minus_EndARD",,,,,"2624","3983","965","4706",,,,,97,
"=Start FO Unit-IIIc",,,,,"38795","37311","39542","36979",,,,,99.4,
"=Start 497D",,,,,"39676","39137","39937","38533",,,,,99.5,
"=Start ARB Level-H",,,,,"41619","40689","42103","40323",,,,,98.9,
"=Start AR Level A",,,,,"42223","41822","42409","41569",,,,,99.2,
"=Start FO Unit-IV.1-IV",,,,,"40494","39560","42212","39354",,,,,87.9,
"=End S1B",,,,,"42632","40885","42731","39507",,,,,98.9,
"=End ARB Level-I",,,,,"42424","41804","42567","41183",,,,,98.7,
"=End AR Level B",,,,,"42841","42560","43015","42420",,,,,99.8,
"Order M3 component diagnostic",,,,,,,,,,,,,,
"=Start FO Unit-IIIc",,,,,"38795","37311","39542","36979",,,,,99.4,
"=End 497D",,,,,"39516","38167","39742","34745",,,,,80.9,
"=Start 497D",,,,,"39676","39137","39937","38533",,,,,99.5,
"=End ARB Level-H",,,,,"40548","39199","40902","38237",,,,,97.7,
"=End AR Level A",,,,,"41974","41529","42113","41225",,,,,99.3,
"=Start ARB Level-H",,,,,"41619","40689","42103","40323",,,,,98.9,
"=Start AR Level A",,,,,"42223","41822","42409","41569",,,,,99.2,
"=End FO Unit-IV.1-IV",,,,,"39868","39371","40228","39055",,,,,99.4,
"=Start FO Unit-IV.1-IV",,,,,"40494","39560","42212","39354",,,,,87.9,
"=End S1B",,,,,"42632","40885","42731","39507",,,,,98.9,
