"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 157.5
Aoverall 162.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndFOChat",,,,,"309","1822","-2","2345",,,,,99.6,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"1093","2849","24","3494",,,,,99.5,
"Difference d_StartFOAur_minus_EndARProto",,,,,"3338","4538","2648","4946",,,,,99.7,
"Difference d_StartFOAur_minus_End497D",,,,,"221","1616","-2","2195",,,,,99.7,
"Difference d_Start497D_minus_EndARBProto",,,,,"-1217","802","-2582","1344",,,,,99.5,
"Difference d_Start497D_minus_EndARProto",,,,,"1128","2537","-231","2807",,,,,99.7,
"Difference d_Start497D_minus_StartFOChat",,,,,"-913","1234","-2402","3356",,,,,97,
"Difference d_Start497D_minus_EndFOChat",,,,,"-1764","93","-3116","530",,,,,99.5,
"Difference d_StartARBProto_minus_StartFOChat",,,,,"-1911","-205","-2566","2062",,,,,96.2,
"Difference d_StartARProto_minus_StartFOChat",,,,,"-2604","-1252","-2951","1055",,,,,95.5,
"Difference d_StartARBProto_minus_EndFOChat",,,,,"-2766","-1284","-3715","-774",,,,,99.5,
"Difference d_StartARProto_minus_EndFOChat",,,,,"-3389","-2214","-4338","-1896",,,,,99.3,
"Difference d_StartFOChat_minus_EndS1B",,,,,"549","2741","-1800","3212",,,,,97,
"Difference d_StartFOChat_minus_EndARBI",,,,,"1188","2702","-1128","3041",,,,,95,
"Difference d_StartFOChat_minus_EndARB",,,,,"2023","3280","-438","3602",,,,,96.5,
"Difference d_StartFOChat_minus_EndARD",,,,,"2490","4104","170","4845",,,,,96.9,
"=Start FO Unit-IIIc",,,,,"38311","37200","38979","36873",,,,,99.6,
"=Start 497D",,,,,"40525","39234","41918","39027",,,,,99.6,
"=Start ARB Level-H",,,,,"41618","40679","42099","40318",,,,,99,
"=Start AR Level A",,,,,"42225","41823","42410","41570",,,,,99.1,
"=Start FO Unit-IV.1-IV",,,,,"40707","39467","43025","39228",,,,,88.3,
"=End S1B",,,,,"42621","41264","42779","39945",,,,,99.5,
"=End ARB Level-I",,,,,"42423","41795","42571","41174",,,,,99,
"=End AR Level B",,,,,"42844","42560","43021","42422",,,,,99.9,
"Order M3 component diagnostic",,,,,,,,,,,,,,
"=Start FO Unit-IIIc",,,,,"38311","37200","38979","36873",,,,,99.6,
"=End 497D",,,,,"39548","38605","39798","37728",,,,,99.5,
"=Start 497D",,,,,"40525","39234","41918","39027",,,,,99.6,
"=End ARB Level-H",,,,,"40538","39178","40892","38228",,,,,97.5,
"=End AR Level A",,,,,"41974","41533","42107","41222",,,,,99.2,
"=Start ARB Level-H",,,,,"41618","40679","42099","40318",,,,,99,
"=Start AR Level A",,,,,"42225","41823","42410","41570",,,,,99.1,
"=End FO Unit-IV.1-IV",,,,,"39753","38689","39968","37710",,,,,98.3,
"=Start FO Unit-IV.1-IV",,,,,"40707","39467","43025","39228",,,,,88.3,
"=End S1B",,,,,"42621","41264","42779","39945",,,,,99.5,
"=End ARB Level-I",,,,,"42423","41795","42571","41174",,,,,99,
"=End AR Level B",,,,,"42844","42560","43021","42422",,,,,99.9,
"=End AR Level D",,,,,"43698","42908","44278","42732",,,,,99.6,
"Order M3 order diagnostic (finalMP-Chat-Proto-497D-Aur)",,,,,,,,,,,,,,
"=Start FO Unit-IIIc",,,,,"38311","37200","38979","36873",,,,,99.6,
"=End 497D",,,,,"39548","38605","39798","37728",,,,,99.5,
"Sequence M3-S2 497D before FO IIIc constraint",,,,,,,,,,,,,,
"Boundary End 497D",,,,,"39548","38605","39798","37728",,,,,99.5,
"R_Date AA-68834c","39628","39152","39926","38615","39639","39180","39992","38772",,101.9,,95.1,99.8,
"Phase 497D",,,,,,,,,,,,,,
"Boundary Start 497D",,,,,"40525","39234","41918","39027",,,,,99.6,
"Interval Gap S1B-497D",,,,,"211","2468","0","2966",,,,,99.6,
"Boundary End S1B",,,,,"42621","41264","42779","39945",,,,,99.5,
"R_Date Beta-224299","42681","42326","42902","42176","42679","42320","42908","42157",,100.3,,95,99.7,
"Phase S1B",,,,,,,,,,,,,,
"Boundary Start S1B",,,,,"43947","42297","48938","42127",,,,,97,
"Sequence CGSL_transition_core_S1_without_Beta207578",,,,,,,,,,,,,,
"Difference d_Start_E_minus_End_F",,,,,"405","1822","0","2261",,,,,99.6,
"Difference d_Start_F_minus_End_G",,,,,"1830","4103","230","4452",,,,,99.1,
"Difference d_Start_G_minus_End_H",,,,,"1258","3343","147","3759",,,,,98.8,
"Difference d_Start_H_minus_End_I",,,,,"124","1163","-2","1696",,,,,99.5,
"Boundary End ARB Level-E",,,,,"30299","29625","30717","28527",,,,,96.5,
"R_Date OxA-21669","30276","29907","30739","29518","30305","29976","30740","29830",,101.2,,95.4,99.3,
"R_Date OxA-21668","30720","30095","30866","30017","30425","30051","30777","29997",,107.3,,95.5,99.8,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30883","30128","31734","30035",,,,,99.2,
"Interval Gap F-E",,,,,"406","1804","0","2239",,,,,99.6,
"Boundary End ARB Level-F",,,,,"32545","31405","32899","30670",,,,,99.3,
"R_Date OxA-21782","32888","31946","33312","31644","32853","32015","33192","31740",,105.9,,95.4,99.8,
"R_Date OxA-21781","32857","31931","33256","31650","32843","32009","33168","31741",,105.1,,95.4,99.8,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33658","32140","35376","31908",,,,,98.7,
"Interval Gap G-F",,,,,"1841","4120","229","4452",,,,,99,
"Boundary End ARB Level-G",,,,,"36859","35642","37213","34080",,,,,98.2,
"R_Date OxA-21783","37000","36035","37610","35430","36996","36256","37521","35837",,109.4,,95.3,99.8,
"R_Date OxA-21667","37115","36138","38075","35562","37025","36296","37575","35953",,114.5,,95.4,99.8,
"R_Date OxA-21666","37814","36425","38911","36260","37227","36410","37977","36162",,112,,95.3,99.7,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37914","36569","39259","36346",,,,,98.2,
"Interval Gap H-G",,,,,"1262","3346","146","3759",,,,,98.7,
"Boundary End ARB Level-H",,,,,"40538","39178","40892","38228",,,,,97.5,
"R_Date OxA-21664","41599","40442","42002","39834","41128","40287","41500","39825",,103.6,,95.3,99.7,
"R_Date OxA-21784","41722","40535","42087","39855","41148","40287","41540","39818",,99.6,,95.3,99.7,
"R_Date OxA-21665","41599","40345","42020","39727","41099","40241","41494","39769",,107.2,,95.3,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","40714","39558","41040","38843",,40.9,,93.3,99.5,
"R_Date SANU-29016","41464","40003","42070","39429","41048","40145","41482","39634",,114.6,,95.3,99.8,
"R_Date SANU-29019","41770","40315","42173","39558","41085","40179","41545","39684",,108.3,,95.3,99.7,
"R_Date SANU-29017","40812","39266","41462","37866","40910","39964","41246","39309",,113,,95.3,99.7,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41618","40679","42099","40318",,,,,99,
"Interval Gap I-H",,,,,"124","1163","0","1693",,,,,99.5,
"Boundary End ARB Level-I",,,,,"42423","41795","42571","41174",,,,,99,
"R_Date OxA-21662","42319","41442","42730","40912","42522","42057","42760","41636",,94.2,,95.2,99.6,
"R_Date OxA-21704","43795","42283","44504","42037","42659","42209","43156","41982",,110.7,,95.3,98.8,
"R_Date OxA-19994","42549","42238","42750","42095","42519","42240","42692","42104",,106.4,,95.7,99.4,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42981","42304","43917","42157",,,,,89.4,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9438","8224","9482","4617",,,,,88.4,
"Span Span FO Unit-II",,,,,"198","1341","0","5907",,,,,94.2,
"FO Unit-II age",,,,,"10780","8682","16188","5930",,,,,93.9,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9447","9315","9465","9292",,99.7,,95.2,99.4,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9693","10114","9555",,99.7,,95.1,99.2,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"11997","9625","20168","9531",,,,,90,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"14158","20315","4285","20518",,,,,93.5,
"Boundary End FO Unit-IIIn",,,,,"30266","27083","30618","18658",,,,,95,
"Span Span FO Unit-IIIn",,,,,"373","1905","15","6434",,,,,99.7,
"FO Unit-IIIn age",,,,,"31796","29019","33590","24044",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30213","30021","30352","29954",,98.5,,95,99.4,
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31058","30809","31115","30411",,95.3,,95.1,99.3,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-71.5","-11","-101.5","19.5",,99.8,,,99.9,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32541","30837","33988","30506",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1063","3472","0","3768",,,,,99.4,
"Boundary End FO Unit-IIIc",,,,,"34902","33686","35208","32151",,,,,99.3,
"Span Span FO Unit-IIIc",,,,,"2159","3279","1599","4238",,,,,99.6,
"FO Unit-IIIc age",,,,,"37280","34744","38279","33702",,,,,99.6,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37025","35889","37561","35342",,106.9,,95.2,99.5,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37737","36883","38325","36465",,92.3,,94.6,99.2,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35114","34433","35257","34315",,87.5,,93,99.2,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36982","36213","37537","35795",,105,,80.8,99.5,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36973","36219","37525","35828",,104.4,,80.8,99.5,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38311","37200","38979","36873",,,,,99.6,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"330","1820","0","2345",,,,,99.6,
"Boundary End FO Unit-IV.1-IV",,,,,"39753","38689","39968","37710",,,,,98.3,
"Span Span FO Unit-IV.1-IV",,,,,"0","754","0","2076",,,,,97.7,
"FO Unit-IV.1-IV age",,,,,"40186","39108","41615","38098",,,,,98.1,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40089","39172","40886","38436",,126.5,,66.3,98.4,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39844","39433","40128","39255",,101.6,,,99.1,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40707","39467","43025","39228",,,,,88.3,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41494","40430","41801","39522",,,,,90.5,
"Boundary End AR Carbonates above A",,,,,"41673","40881","41903","40263",,,,,98.3,
"AR Age Carbonates above A",,,,,"41745","41066","41956","40563",,,,,98.9,
"N AR4 average age","43733","41467","44800","40400","41742","41071","41951","40620",,73.9,,95.1,99.1,
"R_Date USGS-2839","42191","40296","43129","39037","41740","41070","41946","40584",,133.5,,95.4,98.9,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41832","41243","42013","40813",,,,,98.9,
"Boundary End AR Level A",,,,,"41974","41533","42107","41222",,,,,99.2,
"AR Age Level A",,,,,"42091","41687","42248","41407",,,,,99.8,
"R_Date UA3","42758","41647","43865","41020","42103","41706","42251","41436",,108.4,,95.4,99.8,
"R_Date UA1","42320","41317","42812","40632","42085","41694","42226","41425",,132.7,,95.6,99.8,
"R_Date AA-6608","42176","41029","42583","40124","42079","41687","42218","41415",,127,,95.5,99.8,
"R_Date OxA-11967","41541","40469","41961","39900","42047","41667","42177","41388",,46.8,,94.5,99.7,
"R_Date AA-7395","42400","41290","43045","40495","42089","41694","42233","41425",,135.3,,95.5,99.8,
"R_Date NZA-2311","41976","41126","42273","40597","42065","41680","42195","41419",,107.3,,95.5,99.7,
"R_Date AA-8037B","42758","41647","43865","41020","42105","41706","42250","41435",,108.3,,95.3,99.8,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42225","41823","42410","41570",,,,,99.1,
"Boundary End AR Carbonates below A",,,,,"42565","42231","42701","42004",,,,,99.5,
"AR Age Carbonates below A",,,,,"42632","42345","42776","42166",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42638","42378","42766","42248",,86.4,,95.4,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42620","42358","42744","42220",,119.5,,95.8,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42712","42445","42860","42312",,,,,99.8,
"Boundary End AR Level B",,,,,"42844","42560","43021","42422",,,,,99.9,
"AR Age Level B",,,,,"42971","42624","43285","42480",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42915","42640","43096","42509",,88.5,,95.1,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43116","42673","43579","42536",,,,,99.6,
"Boundary End AR Level D",,,,,"43698","42908","44278","42732",,,,,99.6,
"AR Age Level D",,,,,"43993","43105","44550","42869",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","43992","43123","44497","42897",,118,,95.4,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44298","43291","44872","42975",,,,,99.4,
"Boundary End AR Carbonate below D",,,,,"44866","43744","45453","43287",,,,,99.3,
"AR Age Carbonate below D",,,,,"45120","43996","45706","43500",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","44000","45725","43475",,137.3,,95.1,99.8,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45384","44236","45965","43690",,,,,99.3,
"Boundary End AR Level E",,,,,"45812","44716","46412","44214",,,,,99.2,
"AR Age Level E",,,,,"46003","44940","46598","44484",,,,,99.6,
"R_Date NZA-2314","46722","44746","48336","44235","45984","44964","46559","44544",,126.3,,95.3,99.6,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46215","45159","46809","44690",,,,,99.3,
"Boundary End AR Level H",,,,,"46691","45563","47261","45084",,,,,99,
"AR Age Level H",,,,,"46850","45771","47455","45287",,,,,99.4,
"R_Date CAMS_H","52337","44165","...","42911","46848","45770","47444","45281",,115.6,,95,99.4,
"R_Date NZA-2315","48181","45723","50184","44765","46852","45795","47441","45308",,122.7,,95.2,99.4,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47053","45933","47660","45441",,,,,99.1,
"Boundary End AR Travertine H-I",,,,,"47434","46281","48056","45780",,,,,99,
"AR Age Travertine H-I",,,,,"47618","46475","48225","45961",,,,,99.2,
"N AR U-series 45100±3100","48293","41907","51300","38900","47695","46424","48222","45959",,114.4,,95,99.4,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47823","46650","48417","46117",,,,,98.7,
"Boundary End AR Travertine J-I",,,,,"48211","47054","48773","46530",,,,,97.3,
"AR Age Travertine J-I",,,,,"48414","47246","49006","46700",,,,,98.3,
