"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 160.4
Aoverall 163.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndFOChat",,,,,"5","1382","-2","2218",,,,,99.7,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"910","2757","-189","3425",,,,,99.5,
"Difference d_StartFOAur_minus_EndARProto",,,,,"3160","4492","2394","4893",,,,,99.7,
"Difference d_StartFOAur_minus_End497D",,,,,"-237","2040","-4798","2803",,,,,97.1,
"Difference d_Start497D_minus_EndARBProto",,,,,"-1405","652","-2717","1215",,,,,99.4,
"Difference d_Start497D_minus_EndARProto",,,,,"905","2406","-304","2671",,,,,99.3,
"Difference d_Start497D_minus_StartFOChat",,,,,"-1158","1019","-2473","2983",,,,,97.8,
"Difference d_Start497D_minus_EndFOChat",,,,,"-1620","-4","-2995","3",,,,,99.3,
"Difference d_StartARBProto_minus_StartFOChat",,,,,"-1918","-239","-2563","1865",,,,,96.2,
"Difference d_StartARProto_minus_StartFOChat",,,,,"-2611","-1327","-2938","914",,,,,95.3,
"Difference d_StartARBProto_minus_EndFOChat",,,,,"-2759","-1339","-3679","-821",,,,,99.5,
"Difference d_StartARProto_minus_EndFOChat",,,,,"-3373","-2266","-4310","-1956",,,,,99.2,
"Difference d_StartFOChat_minus_EndS1B",,,,,"723","2782","-1558","3204",,,,,96.7,
"Difference d_StartFOChat_minus_EndARBI",,,,,"1230","2712","-989","3033",,,,,95.6,
"Difference d_StartFOChat_minus_EndARB",,,,,"2050","3280","-273","3585",,,,,96.7,
"Difference d_StartFOChat_minus_EndARD",,,,,"2534","4103","369","4825",,,,,97.1,
"=Start FO Unit-IIIc",,,,,"38476","37233","39232","36909",,,,,99.5,
"=Start 497D",,,,,"40731","39345","41977","39169",,,,,99.3,
"=Start ARB Level-H",,,,,"41638","40694","42100","40312",,,,,99.1,
"=Start AR Level A",,,,,"42220","41820","42413","41576",,,,,99,
"=Start FO Unit-IV.1-IV",,,,,"40618","39458","42894","39272",,,,,89.4,
"=End S1B",,,,,"42631","41382","42788","40105",,,,,99.4,
"=End ARB Level-I",,,,,"42423","41807","42573","41190",,,,,99,
"=End AR Level B",,,,,"42844","42560","43019","42421",,,,,99.8,
"Order M3 component diagnostic",,,,,,,,,,,,,,
"=Start FO Unit-IIIc",,,,,"38476","37233","39232","36909",,,,,99.5,
"=End 497D",,,,,"39663","38054","40024","33521",,,,,84.6,
"=Start 497D",,,,,"40731","39345","41977","39169",,,,,99.3,
"=End ARB Level-H",,,,,"40528","39211","40902","38236",,,,,97.6,
"=End AR Level A",,,,,"41973","41530","42110","41224",,,,,99.1,
"=Start ARB Level-H",,,,,"41638","40694","42100","40312",,,,,99.1,
"=Start AR Level A",,,,,"42220","41820","42413","41576",,,,,99,
"=End FO Unit-IV.1-IV",,,,,"39704","38685","39911","37767",,,,,98.9,
"=Start FO Unit-IV.1-IV",,,,,"40618","39458","42894","39272",,,,,89.4,
"=End S1B",,,,,"42631","41382","42788","40105",,,,,99.4,
"=End ARB Level-I",,,,,"42423","41807","42573","41190",,,,,99,
"=End AR Level B",,,,,"42844","42560","43019","42421",,,,,99.8,
"=End AR Level D",,,,,"43706","42915","44263","42731",,,,,99.5,
"Order M3 order diagnostic (finalMP-Chat-Proto-497D-Aur)",,,,,,,,,,,,,,
"=End 497D",,,,,"39663","38054","40024","33521",,,,,84.6,
"=Start FO Unit-IV.1-IV",,,,,"40618","39458","42894","39272",,,,,89.4,
"Sequence M3-S3 FO Chat starts before End 497D",,,,,,,,,,,,,,
"=End FO Unit-IV.1-IV",,,,,"39704","38685","39911","37767",,,,,98.9,
"=Start 497D",,,,,"40731","39345","41977","39169",,,,,99.3,
"Sequence M3-S3 497D starts before End FO Chat",,,,,,,,,,,,,,
"Boundary End 497D",,,,,"39663","38054","40024","33521",,,,,84.6,
"R_Date AA-68834c","39628","39152","39926","38615","39646","39186","39970","38785",,102.7,,95.2,99.4,
"Phase 497D",,,,,,,,,,,,,,
"Boundary Start 497D",,,,,"40731","39345","41977","39169",,,,,99.3,
"Interval Gap S1B-497D",,,,,"0","2084","0","2857",,,,,99.1,
"Boundary End S1B",,,,,"42631","41382","42788","40105",,,,,99.4,
"R_Date Beta-224299","42681","42326","42902","42176","42670","42315","42902","42160",,100.6,,95.1,99.6,
"Phase S1B",,,,,,,,,,,,,,
"Boundary Start S1B",,,,,"43641","42315","47493","42112",,,,,94,
"Sequence CGSL_transition_core_S1_without_Beta207578",,,,,,,,,,,,,,
"Difference d_Start_E_minus_End_F",,,,,"384","1798","1","2252",,,,,99.5,
"Difference d_Start_F_minus_End_G",,,,,"1847","4118","220","4461",,,,,99.1,
"Difference d_Start_G_minus_End_H",,,,,"1277","3368","152","3737",,,,,98.8,
"Difference d_Start_H_minus_End_I",,,,,"114","1163","-2","1682",,,,,99.4,
"Boundary End ARB Level-E",,,,,"30298","29638","30714","28634",,,,,95.6,
"R_Date OxA-21669","30276","29907","30739","29518","30309","29979","30743","29837",,100.2,,95.4,98.9,
"R_Date OxA-21668","30720","30095","30866","30017","30427","30051","30777","29999",,107.4,,95.5,99.7,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30891","30132","31726","30036",,,,,99.1,
"Interval Gap F-E",,,,,"381","1813","0","2253",,,,,99.5,
"Boundary End ARB Level-F",,,,,"32572","31408","32912","30671",,,,,99.4,
"R_Date OxA-21782","32888","31946","33312","31644","32852","32017","33191","31739",,105.9,,95.4,99.8,
"R_Date OxA-21781","32857","31931","33256","31650","32845","32012","33165","31740",,105.1,,95.3,99.8,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33674","32162","35379","31889",,,,,98.7,
"Interval Gap G-F",,,,,"1887","4120","218","4459",,,,,99,
"Boundary End ARB Level-G",,,,,"36865","35636","37226","34081",,,,,98.7,
"R_Date OxA-21783","37000","36035","37610","35430","36990","36252","37519","35843",,109.4,,95.3,99.7,
"R_Date OxA-21667","37115","36138","38075","35562","37024","36299","37584","35954",,114.6,,95.4,99.7,
"R_Date OxA-21666","37814","36425","38911","36260","37221","36408","37961","36161",,111.9,,95.2,99.7,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37924","36585","39239","36342",,,,,98.3,
"Interval Gap H-G",,,,,"1278","3352","123","3739",,,,,98.6,
"Boundary End ARB Level-H",,,,,"40528","39211","40902","38236",,,,,97.6,
"R_Date OxA-21664","41599","40442","42002","39834","41126","40294","41503","39820",,103.6,,95.3,99.8,
"R_Date OxA-21784","41722","40535","42087","39855","41147","40288","41546","39824",,99.6,,95.2,99.8,
"R_Date OxA-21665","41599","40345","42020","39727","41098","40240","41504","39764",,107.1,,95.3,99.8,
"R_Date OxA-21674","39415","37815","40051","37090","40718","39548","41039","38840",,41.2,,93.4,99.5,
"R_Date SANU-29016","41464","40003","42070","39429","41042","40134","41480","39629",,114.5,,95.3,99.8,
"R_Date SANU-29019","41770","40315","42173","39558","41089","40171","41548","39681",,108.2,,95.3,99.8,
"R_Date SANU-29017","40812","39266","41462","37866","40902","39949","41243","39304",,113,,95.3,99.8,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41638","40694","42100","40312",,,,,99.1,
"Interval Gap I-H",,,,,"141","1159","0","1679",,,,,99.4,
"Boundary End ARB Level-I",,,,,"42423","41807","42573","41190",,,,,99,
"R_Date OxA-21662","42319","41442","42730","40912","42517","42062","42752","41643",,94.4,,95.2,99.4,
"R_Date OxA-21704","43795","42283","44504","42037","42645","42203","43128","41980",,109.5,,95.3,98,
"R_Date OxA-19994","42549","42238","42750","42095","42514","42237","42690","42100",,106.3,,95.7,99.3,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42896","42278","43832","42123",,,,,87.4,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9442","8353","9763","5093",,,,,88.3,
"Span Span FO Unit-II",,,,,"202","1274","0","5577",,,,,98,
"FO Unit-II age",,,,,"10707","8734","15765","6206",,,,,97.3,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9446","9315","9465","9294",,99.9,,95.3,99.5,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9693","10113","9555",,99.8,,95.1,99.6,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"11846","9610","19517","9559",,,,,92.3,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"14385","20335","4620","20496",,,,,92.7,
"Boundary End FO Unit-IIIn",,,,,"30275","27275","30402","18819",,,,,95,
"Span Span FO Unit-IIIn",,,,,"370","1918","0","6548",,,,,99.7,
"FO Unit-IIIn age",,,,,"31788","29030","33597","24025",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30213","30022","30347","29953",,98.7,,95.1,99.5,
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31057","30807","31113","30413",,95,,95,99.4,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-71.5","-10.5","-101.5","19.5",,99.7,,,99.9,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32556","30827","33981","30506",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1131","3494","0","3781",,,,,99.4,
"Boundary End FO Unit-IIIc",,,,,"34896","33658","35201","32200",,,,,99.3,
"Span Span FO Unit-IIIc",,,,,"2183","3361","1667","4324",,,,,99.5,
"FO Unit-IIIc age",,,,,"37339","34710","38451","33647",,,,,99.6,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37023","35873","37597","35319",,106,,95.2,99.4,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37817","36895","38464","36485",,94.7,,94.7,99.1,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35101","34428","35244","34324",,88.2,,93.4,99.3,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36989","36218","37559","35775",,104.3,,80.8,99.4,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36971","36215","37545","35816",,103.8,,80.8,99.5,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38476","37233","39232","36909",,,,,99.5,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1384","0","2215",,,,,99.7,
"Boundary End FO Unit-IV.1-IV",,,,,"39704","38685","39911","37767",,,,,98.9,
"Span Span FO Unit-IV.1-IV",,,,,"0","741","0","2005",,,,,98,
"FO Unit-IV.1-IV age",,,,,"40149","39099","41499","38149",,,,,98.5,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40062","39172","40853","38452",,127.2,,66.2,98.6,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39831","39431","40099","39257",,102.7,,,99.3,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40618","39458","42894","39272",,,,,89.4,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41504","40394","41797","39567",,,,,90.4,
"Boundary End AR Carbonates above A",,,,,"41662","40881","41906","40287",,,,,98,
"AR Age Carbonates above A",,,,,"41739","41065","41950","40564",,,,,98.7,
"N AR4 average age","43733","41467","44800","40400","41742","41071","41951","40620",,74,,95,98.9,
"R_Date USGS-2839","42191","40296","43129","39037","41735","41068","41946","40590",,133.5,,95.3,98.7,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41826","41239","42012","40819",,,,,98.9,
"Boundary End AR Level A",,,,,"41973","41530","42110","41224",,,,,99.1,
"AR Age Level A",,,,,"42087","41685","42245","41405",,,,,99.7,
"R_Date UA3","42758","41647","43865","41020","42103","41707","42254","41439",,108.4,,95.4,99.6,
"R_Date UA1","42320","41317","42812","40632","42085","41695","42229","41425",,132.6,,95.5,99.6,
"R_Date AA-6608","42176","41029","42583","40124","42077","41688","42220","41417",,127,,95.5,99.6,
"R_Date OxA-11967","41541","40469","41961","39900","42045","41665","42177","41385",,46.7,,94.6,99.7,
"R_Date AA-7395","42400","41290","43045","40495","42088","41695","42234","41424",,135.3,,95.5,99.6,
"R_Date NZA-2311","41976","41126","42273","40597","42065","41684","42196","41418",,107.2,,95.5,99.7,
"R_Date AA-8037B","42758","41647","43865","41020","42103","41707","42254","41439",,108.3,,95.3,99.7,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42220","41820","42413","41576",,,,,99,
"Boundary End AR Carbonates below A",,,,,"42562","42230","42700","42003",,,,,99.6,
"AR Age Carbonates below A",,,,,"42633","42345","42774","42164",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42638","42378","42764","42246",,86.3,,95.3,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42620","42358","42744","42220",,119.6,,95.8,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42715","42446","42860","42315",,,,,99.8,
"Boundary End AR Level B",,,,,"42844","42560","43019","42421",,,,,99.8,
"AR Age Level B",,,,,"42970","42625","43285","42479",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42914","42639","43095","42509",,88.5,,95.1,99.8,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43109","42674","43569","42529",,,,,99.6,
"Boundary End AR Level D",,,,,"43706","42915","44263","42731",,,,,99.5,
"AR Age Level D",,,,,"44000","43117","44552","42874",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","43990","43130","44500","42900",,118,,95.4,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44311","43315","44872","42992",,,,,99.5,
"Boundary End AR Carbonate below D",,,,,"44883","43753","45456","43293",,,,,99.4,
"AR Age Carbonate below D",,,,,"45122","44003","45705","43513",,,,,99.6,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","44000","45725","43500",,137.3,,95.1,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45391","44233","45973","43712",,,,,99.2,
"Boundary End AR Level E",,,,,"45807","44723","46421","44220",,,,,99.1,
"AR Age Level E",,,,,"46004","44949","46605","44485",,,,,99.4,
"R_Date NZA-2314","46722","44746","48336","44235","45991","44965","46579","44550",,126.3,,95.3,99.4,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46225","45148","46831","44710",,,,,99.1,
"Boundary End AR Level H",,,,,"46682","45568","47259","45076",,,,,98.8,
"AR Age Level H",,,,,"46870","45783","47459","45288",,,,,99.3,
"R_Date CAMS_H","52337","44165","...","42911","46864","45789","47461","45291",,115.6,,95,99.3,
"R_Date NZA-2315","48181","45723","50184","44765","46866","45814","47441","45315",,123,,95.2,99.3,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47062","45959","47670","45460",,,,,98.8,
"Boundary End AR Travertine H-I",,,,,"47429","46300","48039","45771",,,,,98.9,
"AR Age Travertine H-I",,,,,"47621","46487","48229","45977",,,,,99.1,
"N AR U-series 45100±3100","48293","41907","51300","38900","47664","46455","48222","45959",,114.3,,95.1,99.3,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47824","46689","48421","46151",,,,,98.6,
"Boundary End AR Travertine J-I",,,,,"48207","47079","48792","46562",,,,,97.5,
"AR Age Travertine J-I",,,,,"48388","47261","48989","46723",,,,,98.5,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48465","47218","49074","46667",,125.3,,95.1,98.8,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48424","47256","49000","46744",,93.2,,95.1,98.8,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48503","47180","49070","46667",,120.8,,95.1,98.8,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48425","47250","49050","46675",,136.1,,95.1,98.8,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48386","47264","49079","46703",,128.7,,95.1,98.8,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48408","47256","49000","46728",,133.2,,95.2,98.8,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48416","47216","48992","46712",,113.3,,95.1,98.8,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48406","47236","49004","46716",,129.9,,95.1,98.9,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48420","47247","49041","46695",,130.9,,95.1,98.8,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48365","47270","48980","46715",,93.8,,95.1,98.8,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48606","47407","49283","46872",,,,,96.9,
"Boundary End AR Level J",,,,,"49094","47688","49908","47051",,,,,97.3,
"AR Age Level J",,,,,"49287","47805","50247","47164",,,,,97.4,
"R_Date NZA-2316","52527","47569","...","46839","49292","47818","50232","47163",,114.6,,95.1,97.4,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49524","47942","50594","47256",,,,,96.7,
"Boundary End AR Carbonate above J",,,,,"49948","48165","51202","47464",,,,,95.6,
"AR Age Carbonate above J",,,,,"50162","48268","51488","47553",,,,,95.3,
"N AR U-series 50400±2600","53078","47722","55600","45200","50200","48302","51500","47548",,123.8,,95.1,96.3,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50507","48356","51773","47638",,,,,70.8,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M3 transition-core baseline",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.172","5.37764e-17","3.164",,100,,,99.5,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.9,
"Outlier_Model General",,,,,"-85","85","-867","899",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
