"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 156.7
Aoverall 161.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndFOChat",,,,,"5","1441","-2","2277",,,,,99.7,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"925","2803","-193","3483",,,,,99.5,
"Difference d_StartFOAur_minus_EndARProto",,,,,"3149","4505","2350","4933",,,,,99.6,
"Difference d_StartFOAur_minus_End497D",,,,,"-946","2144","-9638","2891",,,,,99,
"Difference d_Start497D_minus_EndARBProto",,,,,"-1207","763","-2486","1410",,,,,99.5,
"Difference d_Start497D_minus_EndARProto",,,,,"1012","2480","19","2691",,,,,99.6,
"Difference d_Start497D_minus_StartFOChat",,,,,"-952","1486","-2038","4714",,,,,99.3,
"Difference d_Start497D_minus_EndFOChat",,,,,"-1804","38","-3004","628",,,,,99.6,
"Difference d_StartARBProto_minus_StartFOChat",,,,,"-1900","86","-2542","3192",,,,,98.5,
"Difference d_StartARProto_minus_StartFOChat",,,,,"-2583","-955","-2932","2388",,,,,98.1,
"Difference d_StartARBProto_minus_EndFOChat",,,,,"-2737","-1250","-3692","-749",,,,,99.6,
"Difference d_StartARProto_minus_EndFOChat",,,,,"-3370","-2199","-4327","-1866",,,,,99.5,
"Difference d_StartFOChat_minus_EndS1B",,,,,"157","2649","-3139","3178",,,,,99.3,
"Difference d_StartFOChat_minus_EndARBI",,,,,"834","2665","-2329","3048",,,,,98.7,
"Difference d_StartFOChat_minus_EndARB",,,,,"1689","3260","-1604","3573",,,,,99.3,
"Difference d_StartFOChat_minus_EndARD",,,,,"2189","4098","-1028","4798",,,,,99,
"=Start FO Unit-IIIc",,,,,"38487","37213","39274","36882",,,,,99.5,
"=Start 497D",,,,,"40602","39262","41661","38989",,,,,99.6,
"=Start ARB Level-H",,,,,"41613","40675","42092","40312",,,,,99.1,
"=Start AR Level A",,,,,"42224","41821","42410","41563",,,,,99.1,
"=Start FO Unit-IV.1-IV",,,,,"41002","39472","44219","39269",,,,,91.5,
"=End S1B",,,,,"42611","41183","42780","39870",,,,,99.5,
"=End ARB Level-I",,,,,"42422","41767","42582","41147",,,,,99.3,
"=End AR Level B",,,,,"42844","42560","43020","42420",,,,,99.8,
"Order M3 component diagnostic",,,,,,,,,,,,,,
"=Start FO Unit-IIIc",,,,,"38487","37213","39274","36882",,,,,99.5,
"=End 497D",,,,,"39696","37210","40060","28545",,,,,93.4,
"=Start 497D",,,,,"40602","39262","41661","38989",,,,,99.6,
"=End ARB Level-H",,,,,"40552","39247","40881","38246",,,,,97.3,
"=End AR Level A",,,,,"41964","41524","42107","41219",,,,,99.2,
"=Start ARB Level-H",,,,,"41613","40675","42092","40312",,,,,99.1,
"=Start AR Level A",,,,,"42224","41821","42410","41563",,,,,99.1,
"=End FO Unit-IV.1-IV",,,,,"39771","38699","40006","37734",,,,,99.3,
"=Start FO Unit-IV.1-IV",,,,,"41002","39472","44219","39269",,,,,91.5,
"=End S1B",,,,,"42611","41183","42780","39870",,,,,99.5,
"=End ARB Level-I",,,,,"42422","41767","42582","41147",,,,,99.3,
"=End AR Level B",,,,,"42844","42560","43020","42420",,,,,99.8,
"=End AR Level D",,,,,"43693","42906","44268","42730",,,,,99.5,
"Order M3 order diagnostic (finalMP-Chat-Proto-497D-Aur)",,,,,,,,,,,,,,
"=Start 497D",,,,,"40602","39262","41661","38989",,,,,99.6,
"=End AR Level A",,,,,"41964","41524","42107","41219",,,,,99.2,
"Sequence M3-S4a 497D after AR Proto constraint",,,,,,,,,,,,,,
"Boundary End 497D",,,,,"39696","37210","40060","28545",,,,,93.4,
"R_Date AA-68834c","39628","39152","39926","38615","39633","39144","39958","38512",,99.2,,94.3,99.6,
"Phase 497D",,,,,,,,,,,,,,
"Boundary Start 497D",,,,,"40602","39262","41661","38989",,,,,99.6,
"Interval Gap S1B-497D",,,,,"396","2363","0","3022",,,,,99.7,
"Boundary End S1B",,,,,"42611","41183","42780","39870",,,,,99.5,
"R_Date Beta-224299","42681","42326","42902","42176","42682","42319","42918","42156",,100.2,,95,99.6,
"Phase S1B",,,,,,,,,,,,,,
"Boundary Start S1B",,,,,"44711","42290","54960","42125",,,,,89.2,
"Sequence CGSL_transition_core_S1_without_Beta207578",,,,,,,,,,,,,,
"Difference d_Start_E_minus_End_F",,,,,"334","1773","0","2240",,,,,99.6,
"Difference d_Start_F_minus_End_G",,,,,"1860","4108","281","4463",,,,,99.1,
"Difference d_Start_G_minus_End_H",,,,,"1313","3387","135","3755",,,,,98.7,
"Difference d_Start_H_minus_End_I",,,,,"111","1121","-2","1671",,,,,99.6,
"Boundary End ARB Level-E",,,,,"30286","29510","30717","28097",,,,,97.2,
"R_Date OxA-21669","30276","29907","30739","29518","30293","29970","30735","29800",,103.5,,95.6,99.7,
"R_Date OxA-21668","30720","30095","30866","30017","30425","30051","30776","29992",,107.2,,95.7,99.8,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30921","30127","31775","30036",,,,,99.3,
"Interval Gap F-E",,,,,"367","1772","0","2234",,,,,99.6,
"Boundary End ARB Level-F",,,,,"32567","31413","32910","30675",,,,,99.4,
"R_Date OxA-21782","32888","31946","33312","31644","32860","32022","33195","31740",,106,,95.5,99.8,
"R_Date OxA-21781","32857","31931","33256","31650","32854","32016","33165","31739",,105.3,,95.5,99.8,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33656","32155","35374","31902",,,,,98.6,
"Interval Gap G-F",,,,,"1858","4105","281","4466",,,,,99,
"Boundary End ARB Level-G",,,,,"36834","35620","37223","34061",,,,,98.6,
"R_Date OxA-21783","37000","36035","37610","35430","36993","36253","37515","35830",,109.5,,95.5,99.7,
"R_Date OxA-21667","37115","36138","38075","35562","37022","36296","37585","35965",,114.8,,95.5,99.7,
"R_Date OxA-21666","37814","36425","38911","36260","37219","36409","37974","36158",,112.1,,95.4,99.7,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37929","36581","39255","36344",,,,,98.4,
"Interval Gap H-G",,,,,"1311","3350","162","3755",,,,,98.9,
"Boundary End ARB Level-H",,,,,"40552","39247","40881","38246",,,,,97.3,
"R_Date OxA-21664","41599","40442","42002","39834","41117","40289","41495","39828",,103.7,,95.4,99.7,
"R_Date OxA-21784","41722","40535","42087","39855","41142","40291","41536","39826",,99.7,,95.4,99.7,
"R_Date OxA-21665","41599","40345","42020","39727","41091","40241","41488","39770",,107.3,,95.4,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","40735","39590","41062","38854",,40,,92.5,99.5,
"R_Date SANU-29016","41464","40003","42070","39429","41045","40148","41479","39633",,114.9,,95.4,99.7,
"R_Date SANU-29019","41770","40315","42173","39558","41079","40182","41530","39694",,108.5,,95.4,99.7,
"R_Date SANU-29017","40812","39266","41462","37866","40906","39967","41241","39317",,113,,95.4,99.7,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41613","40675","42092","40312",,,,,99.1,
"Interval Gap I-H",,,,,"106","1128","0","1672",,,,,99.6,
"Boundary End ARB Level-I",,,,,"42422","41767","42582","41147",,,,,99.3,
"R_Date OxA-21662","42319","41442","42730","40912","42523","42039","42774","41613",,94.3,,95.3,99.6,
"R_Date OxA-21704","43795","42283","44504","42037","42694","42205","43264","41971",,112.2,,95.4,99.4,
"R_Date OxA-19994","42549","42238","42750","42095","42521","42241","42706","42107",,105.8,,95.8,99.7,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"43032","42287","44219","42153",,,,,88.9,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9442","7402","26025","-712",,,,,88.8,
"Span Span FO Unit-II",,,,,"189","1814","8","7414",,,,,98.2,
"FO Unit-II age",,,,,"11308","8128","27235","3929",,,,,94.1,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9450","9312","27982","9147",,95.5,,90.9,98.5,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9891","9694","10171","9536",,95.4,,90.9,98.3,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"12815","9632","29549","9553",,,,,82.6,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"12953","20367","0","20472",,,,,67.2,
"Boundary End FO Unit-IIIn",,,,,"30267","27426","30434","19043",,,,,94.7,
"Span Span FO Unit-IIIn",,,,,"364","1872","0","6379",,,,,99.4,
"FO Unit-IIIn age",,,,,"31792","29077","33633","24283",,,,,99.1,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30211","30020","30355","29949",,98.2,,94.8,99.4,
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31058","30806","31115","30406",,94.9,,95,99.3,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-71.5","-10.5","-101.5","19.5",,99.8,,,99.9,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32522","30832","34016","30484",,,,,98.9,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1090","3510","0","3818",,,,,99.1,
"Boundary End FO Unit-IIIc",,,,,"34916","33655","35233","31877",,,,,99.2,
"Span Span FO Unit-IIIc",,,,,"2163","3395","1544","4489",,,,,99.5,
"FO Unit-IIIc age",,,,,"37365","34747","38479","33640",,,,,99.5,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37020","35866","37605","35322",,106.3,,95.3,99.5,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37817","36891","38469","36462",,94.3,,94.6,99.2,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35105","34430","35294","34273",,87,,92.1,99.2,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36992","36217","37567","35775",,104.7,,81.1,99.4,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36977","36216","37544","35772",,104.2,,81.1,99.4,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38487","37213","39274","36882",,,,,99.5,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1439","0","2296",,,,,99.7,
"Boundary End FO Unit-IV.1-IV",,,,,"39771","38699","40006","37734",,,,,99.3,
"Span Span FO Unit-IV.1-IV",,,,,"0","866","0","2596",,,,,99.7,
"FO Unit-IV.1-IV age",,,,,"40345","39102","42266","38075",,,,,99.6,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40200","39194","41028","38455",,124.3,,66.7,99.6,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39868","39450","40173","39268",,100.8,,,99.8,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"41002","39472","44219","39269",,,,,91.5,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41502","40288","41773","39332",,,,,87.3,
"Boundary End AR Carbonates above A",,,,,"41662","40836","41893","40186",,,,,98.5,
"AR Age Carbonates above A",,,,,"41725","41023","41942","40495",,,,,99.3,
"N AR4 average age","43733","41467","44800","40400","41720","41060","41951","40543",,72.2,,95.1,99.6,
"R_Date USGS-2839","42191","40296","43129","39037","41721","41030","41937","40527",,133,,95.5,99.3,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41820","41215","42008","40760",,,,,99.2,
"Boundary End AR Level A",,,,,"41964","41524","42107","41219",,,,,99.2,
"AR Age Level A",,,,,"42086","41684","42244","41404",,,,,99.7,
"R_Date UA3","42758","41647","43865","41020","42101","41705","42251","41437",,108,,95.5,99.7,
"R_Date UA1","42320","41317","42812","40632","42083","41689","42227","41424",,132.8,,95.7,99.7,
"R_Date AA-6608","42176","41029","42583","40124","42076","41686","42216","41414",,127.5,,95.7,99.7,
"R_Date OxA-11967","41541","40469","41961","39900","42040","41658","42176","41382",,47.3,,94.5,99.6,
"R_Date AA-7395","42400","41290","43045","40495","42086","41692","42232","41423",,135.4,,95.7,99.7,
"R_Date NZA-2311","41976","41126","42273","40597","42060","41680","42193","41414",,108,,95.7,99.7,
"R_Date AA-8037B","42758","41647","43865","41020","42103","41705","42250","41434",,107.9,,95.5,99.7,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42224","41821","42410","41563",,,,,99.1,
"Boundary End AR Carbonates below A",,,,,"42565","42232","42701","42001",,,,,99.5,
"AR Age Carbonates below A",,,,,"42632","42345","42775","42164",,,,,99.8,
"N AR U-series 42700±200","42906","42494","43100","42300","42638","42378","42766","42248",,86.5,,95.6,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42618","42356","42746","42222",,119.9,,96.1,99.8,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42712","42446","42858","42313",,,,,99.8,
"Boundary End AR Level B",,,,,"42844","42560","43020","42420",,,,,99.8,
"AR Age Level B",,,,,"42973","42625","43287","42477",,,,,99.8,
"R_Date OxA-12025","42811","42496","42990","42364","42914","42639","43096","42509",,88.8,,95.2,99.8,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43110","42675","43583","42534",,,,,99.6,
"Boundary End AR Level D",,,,,"43693","42906","44268","42730",,,,,99.5,
"AR Age Level D",,,,,"43999","43112","44557","42872",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","43993","43126","44504","42897",,118.1,,95.5,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44302","43298","44880","42982",,,,,99.5,
"Boundary End AR Carbonate below D",,,,,"44876","43739","45476","43283",,,,,99.4,
"AR Age Carbonate below D",,,,,"45120","43996","45727","43502",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","43975","45750","43475",,137.3,,95.2,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45380","44208","45978","43688",,,,,99.3,
"Boundary End AR Level E",,,,,"45819","44710","46441","44217",,,,,99.1,
"AR Age Level E",,,,,"46022","44942","46644","44479",,,,,99.5,
"R_Date NZA-2314","46722","44746","48336","44235","46003","44967","46596","44538",,126,,95.4,99.5,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46246","45156","46849","44682",,,,,99.2,
"Boundary End AR Level H",,,,,"46701","45579","47302","45082",,,,,98.8,
"AR Age Level H",,,,,"46899","45795","47494","45285",,,,,99.2,
"R_Date CAMS_H","52337","44165","...","42911","46890","45785","47492","45280",,115.6,,95.1,99.2,
"R_Date NZA-2315","48181","45723","50184","44765","46893","45809","47491","45320",,123.6,,95.3,99.3,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47116","45975","47710","45449",,,,,98.7,
"Boundary End AR Travertine H-I",,,,,"47511","46334","48099","45784",,,,,98.9,
"AR Age Travertine H-I",,,,,"47681","46537","48274","45988",,,,,99.3,
"N AR U-series 45100±3100","48293","41907","51300","38900","47726","46486","48315","45959",,113.4,,95.1,99.6,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47880","46717","48482","46163",,,,,98.7,
"Boundary End AR Travertine J-I",,,,,"48262","47150","48831","46602",,,,,97.3,
"AR Age Travertine J-I",,,,,"48478","47336","49079","46793",,,,,98.7,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48523","47276","49103","46754",,126.6,,95.1,99.1,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48504","47320","49128","46776",,96.5,,95.2,99,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48530","47288","49097","46748",,122.4,,95.1,99.1,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48500","47300","49100","46750",,135.4,,95.2,99.1,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48518","47264","49178","46736",,129.7,,95.1,99.2,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48488","47304","49096","46776",,133.6,,95.3,98.9,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48512","47288","49112","46736",,111.3,,95.1,99,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48458","47314","49108","46742",,128.7,,95.2,99.1,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48512","47293","49087","46764",,132,,95.2,99,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48485","47300","49055","46760",,90.5,,95.1,99,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48682","47493","49346","46943",,,,,97.1,
"Boundary End AR Level J",,,,,"49185","47781","50054","47158",,,,,97.9,
"AR Age Level J",,,,,"49434","47932","50438","47284",,,,,97.9,
"R_Date NZA-2316","52527","47569","...","46839","49435","47933","50418","47287",,117.3,,95.2,97.9,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49678","48044","50793","47366",,,,,96.9,
"Boundary End AR Carbonate above J",,,,,"50187","48298","51443","47573",,,,,95,
"AR Age Carbonate above J",,,,,"50453","48409","51789","47655",,,,,93.7,
"N AR U-series 50400±2600","53078","47722","55600","45200","50486","48406","51864","47626",,126.2,,95.2,95.1,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50963","48254","52092","47851",,,,,54.7,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M3 transition-core baseline",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","3.196","5.37764e-17","3.244",,100,,,18.1,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,97.8,
"Outlier_Model General",,,,,"-125","125","-1362","1901",,,,,99.8,
"Curve Atmospheric",,,,,,,,,,,,,,
