"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 159.4
Aoverall 162.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndFOChat",,,,,"5","1431","-2","2289",,,,,99.6,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"912","2752","-206","3452",,,,,99.4,
"Difference d_StartFOAur_minus_EndARProto",,,,,"3119","4498","2361","4916",,,,,99.7,
"Difference d_StartFOAur_minus_End497D",,,,,"-404","2055","-4694","2706",,,,,96.8,
"Difference d_Start497D_minus_EndARBProto",,,,,"-1322","763","-2688","1352",,,,,99.5,
"Difference d_Start497D_minus_EndARProto",,,,,"969","2512","-351","2819",,,,,99.5,
"Difference d_Start497D_minus_StartFOChat",,,,,"-1014","1248","-2468","3338",,,,,98.3,
"Difference d_Start497D_minus_EndFOChat",,,,,"-1826","87","-3178","574",,,,,99.5,
"Difference d_StartARBProto_minus_StartFOChat",,,,,"-1907","-196","-2563","2098",,,,,97.5,
"Difference d_StartARProto_minus_StartFOChat",,,,,"-2590","-1259","-2933","1191",,,,,97,
"Difference d_StartARBProto_minus_EndFOChat",,,,,"-2716","-1271","-3649","-738",,,,,99.5,
"Difference d_StartARProto_minus_EndFOChat",,,,,"-3322","-2199","-4279","-1882",,,,,99.5,
"Difference d_StartFOChat_minus_EndS1B",,,,,"524","2743","-1816","3200",,,,,97.6,
"Difference d_StartFOChat_minus_EndARBI",,,,,"1155","2698","-1228","3052",,,,,96.8,
"Difference d_StartFOChat_minus_EndARB",,,,,"1984","3276","-421","3591",,,,,97.8,
"Difference d_StartFOChat_minus_EndARD",,,,,"2459","4112","148","4824",,,,,98,
"=Start FO Unit-IIIc",,,,,"38501","37234","39274","36892",,,,,99.5,
"=Start 497D",,,,,"40667","39251","42036","39023",,,,,99.4,
"=Start ARB Level-H",,,,,"41632","40687","42102","40328",,,,,99.1,
"=Start AR Level A",,,,,"42227","41825","42410","41573",,,,,99.1,
"=Start FO Unit-IV.1-IV",,,,,"40705","39438","43107","39280",,,,,91.4,
"=End S1B",,,,,"42629","41290","42797","39993",,,,,99.4,
