"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 157.4
Aoverall 163.2",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndFOChat",,,,,"19","1507","-2","2306",,,,,99.6,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"875","2750","-255","3430",,,,,99.5,
"Difference d_StartFOAur_minus_EndARProto",,,,,"3116","4484","2349","4897",,,,,99.5,
"Difference d_StartFOAur_minus_End497D",,,,,"-374","2021","-4392","2722",,,,,95.9,
"Difference d_Start497D_minus_EndARBProto",,,,,"-1317","778","-2691","1358",,,,,99.5,
"Difference d_Start497D_minus_EndARProto",,,,,"994","2520","-323","2819",,,,,99.1,
"Difference d_Start497D_minus_StartFOChat",,,,,"-854","1022","-2051","1857",,,,,99.2,
"Difference d_Start497D_minus_EndFOChat",,,,,"-1767","122","-3101","569",,,,,99.5,
"Difference d_StartARBProto_minus_StartFOChat",,,,,"-1810","-416","-2325","481",,,,,98.9,
"Difference d_StartARProto_minus_StartFOChat",,,,,"-2536","-1442","-2766","-545",,,,,98.2,
"Difference d_StartARBProto_minus_EndFOChat",,,,,"-2655","-1263","-3585","-742",,,,,99.6,
"Difference d_StartARProto_minus_EndFOChat",,,,,"-3282","-2195","-4225","-1878",,,,,99.5,
"Difference d_StartFOChat_minus_EndS1B",,,,,"889","2722","-442","3070",,,,,98.6,
"Difference d_StartFOChat_minus_EndARBI",,,,,"1374","2630","447","2900",,,,,98,
"Difference d_StartFOChat_minus_EndARB",,,,,"2201","3222","1268","3435",,,,,98.6,
"Difference d_StartFOChat_minus_EndARD",,,,,"2668","3994","1750","4530",,,,,98.9,
"=Start FO Unit-IIIc",,,,,"38531","37240","39290","36906",,,,,99.5,
"=Start 497D",,,,,"40655","39251","42053","39028",,,,,99.3,
"=Start ARB Level-H",,,,,"41626","40707","42108","40341",,,,,99,
"=Start AR Level A",,,,,"42225","41826","42417","41589",,,,,99.2,
"=Start FO Unit-IV.1-IV",,,,,"40466","39514","41388","39367",,,,,97.5,
"=End S1B",,,,,"42629","41314","42789","39987",,,,,99.4,
"=End ARB Level-I",,,,,"42422","41811","42577","41185",,,,,99,
"=End AR Level B",,,,,"42845","42560","43019","42420",,,,,99.8,
"Order M3 component diagnostic",,,,,,,,,,,,,,
"=Start FO Unit-IIIc",,,,,"38531","37240","39290","36906",,,,,99.5,
"=End 497D",,,,,"39678","38024","40017","33666",,,,,93.3,
"=Start 497D",,,,,"40655","39251","42053","39028",,,,,99.3,
"=End ARB Level-H",,,,,"40539","39207","40878","38228",,,,,97.5,
"=End AR Level A",,,,,"41976","41547","42110","41244",,,,,98.2,
"=Start ARB Level-H",,,,,"41626","40707","42108","40341",,,,,99,
"=Start AR Level A",,,,,"42225","41826","42417","41589",,,,,99.2,
