"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 152.6
Aoverall 156.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndFOChat",,,,,"2","1238","-2","2160",,,,,99.4,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"1054","2876","-67","3553",,,,,97.2,
"Difference d_StartFOAur_minus_EndARProto",,,,,"3214","4518","2416","4956",,,,,98.4,
"Difference d_StartFOAur_minus_End497D",,,,,"-884","2167","-6107","2652",,,,,98.9,
"Difference d_Start497D_minus_EndARBProto",,,,,"-1338","772","-2740","1403",,,,,99.1,
"Difference d_Start497D_minus_EndARProto",,,,,"848","2463","-442","2802",,,,,99.6,
"Difference d_Start497D_minus_StartFOChat",,,,,"888","4283","-478","9128",,,,,99.1,
"Difference d_Start497D_minus_EndFOChat",,,,,"-2226","-154","-3539","450",,,,,99.7,
"Difference d_StartARBProto_minus_StartFOChat",,,,,"88","2984","-598","7954",,,,,97.9,
"Difference d_StartARProto_minus_StartFOChat",,,,,"-541","2029","-1117","6957",,,,,97.2,
"Difference d_StartARBProto_minus_EndFOChat",,,,,"-3066","-1465","-3935","-881",,,,,99.7,
"Difference d_StartARProto_minus_EndFOChat",,,,,"-3731","-2366","-4557","-1964",,,,,99.7,
"Difference d_StartFOChat_minus_EndS1B",,,,,"-2576","651","-7564","1289",,,,,99.1,
"Difference d_StartFOChat_minus_EndARBI",,,,,"-2032","657","-6995","1128",,,,,98.1,
"Difference d_StartFOChat_minus_EndARB",,,,,"-1205","1275","-6334","1746",,,,,98.8,
"Difference d_StartFOChat_minus_EndARD",,,,,"-682","2128","-5717","2856",,,,,98.7,
"=Start FO Unit-IIIc",,,,,"38357","37163","39143","36823",,,,,97.9,
"=Start 497D",,,,,"40728","39252","42092","38968",,,,,99.6,
"=Start ARB Level-H",,,,,"41610","40669","42082","40280",,,,,99.1,
"=Start AR Level A",,,,,"42230","41802","42420","41546",,,,,99,
"=Start FO Unit-IV.1-IV",,,,,"44041","41470","48902","41133",,,,,88.1,
"=End S1B",,,,,"42625","41249","42802","39935",,,,,99.6,
"=End ARB Level-I",,,,,"42417","41769","42577","41143",,,,,99.2,
"=End AR Level B",,,,,"42843","42560","43020","42420",,,,,99.8,
"Order M3 component diagnostic",,,,,,,,,,,,,,
"=Start FO Unit-IIIc",,,,,"38357","37163","39143","36823",,,,,97.9,
