"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 153
Aoverall 159.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndRC",,,,,"-387","2050","-4094","2777",,,,,98,
"Difference d_StartRC_minus_EndARBProto",,,,,"-1779","445","-4718","990",,,,,97.6,
"Difference d_StartRC_minus_EndARProto",,,,,"594","2095","-2604","2436",,,,,97,
"Difference d_EndRC_minus_StartFOChat",,,,,"53","2838","-330","7180",,,,,88.8,
"Difference d_StartRC_minus_EndFOChat",,,,,"-2275","-273","-5250","212",,,,,97.5,
"Difference d_StartRC_minus_StartFOChat",,,,,"-1503","953","-5274","3052",,,,,94.9,
"=Start FO Unit-IIIc",,,,,"38512","37231","39287","36916",,,,,99.5,
"=End ARB Level-H",,,,,"40555","39199","40892","38256",,,,,97.6,
"=Start ARB Level-H",,,,,"41620","40705","42100","40295",,,,,99,
"=End AR Level A",,,,,"41971","41530","42113","41225",,,,,98.9,
"=Start AR Level A",,,,,"42226","41826","42414","41575",,,,,99.3,
"=End FO Unit-IV.1-IV",,,,,"39763","38759","39993","37786",,,,,98.7,
"=Start FO Unit-IV.1-IV",,,,,"40651","39444","42951","39273",,,,,88.7,
"=End RC Layer I-Ia",,,,,"39797","37940","40054","31171",,,,,89.7,
"=Start RC Layer I-Ia",,,,,"41017","39678","46468","39486",,,,,93.3,
"Order M4-CY-S1 Canyars comparator diagnostic",,,,,,,,,,,,,,
"Difference d_StartFOAur_minus_EndFOChat",,,,,"5","1431","-2","2283",,,,,99.6,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"873","2757","-203","3443",,,,,99.5,
"Difference d_StartFOAur_minus_EndARProto",,,,,"3132","4487","2351","4909",,,,,99.7,
"Difference d_StartFOAur_minus_End497D",,,,,"-422","2053","-4685","2698",,,,,96.9,
"Difference d_Start497D_minus_EndARBProto",,,,,"-1336","791","-2697","1370",,,,,99.5,
"Difference d_Start497D_minus_EndARProto",,,,,"939","2515","-347","2813",,,,,99.3,
"Difference d_Start497D_minus_StartFOChat",,,,,"-1046","1161","-2490","3176",,,,,97.3,
"Difference d_Start497D_minus_EndFOChat",,,,,"-1823","82","-3165","559",,,,,99.4,
"Difference d_StartARBProto_minus_StartFOChat",,,,,"-1925","-287","-2570","1968",,,,,96,
"Difference d_StartARProto_minus_StartFOChat",,,,,"-2601","-1297","-2950","924",,,,,94.8,
"Difference d_StartARBProto_minus_EndFOChat",,,,,"-2693","-1261","-3650","-731",,,,,99.4,
"Difference d_StartARProto_minus_EndFOChat",,,,,"-3323","-2205","-4264","-1868",,,,,99.3,
"Difference d_StartFOChat_minus_EndS1B",,,,,"650","2777","-1712","3218",,,,,96.3,
"Difference d_StartFOChat_minus_EndARBI",,,,,"1234","2697","-1107","3057",,,,,95,
"Difference d_StartFOChat_minus_EndARB",,,,,"2060","3278","-299","3595",,,,,95.7,
"Difference d_StartFOChat_minus_EndARD",,,,,"2525","4131","300","4810",,,,,96.2,
"=Start FO Unit-IIIc",,,,,"38512","37231","39287","36916",,,,,99.5,
"=Start 497D",,,,,"40686","39249","42030","39008",,,,,99.4,
"=Start ARB Level-H",,,,,"41620","40705","42100","40295",,,,,99,
"=Start AR Level A",,,,,"42226","41826","42414","41575",,,,,99.3,
"=Start FO Unit-IV.1-IV",,,,,"40651","39444","42951","39273",,,,,88.7,
"=End S1B",,,,,"42639","41313","42794","39986",,,,,99.4,
"=End ARB Level-I",,,,,"42420","41800","42573","41171",,,,,99.1,
"=End AR Level B",,,,,"42845","42560","43019","42423",,,,,99.8,
"Order M3 component diagnostic",,,,,,,,,,,,,,
"=Start FO Unit-IIIc",,,,,"38512","37231","39287","36916",,,,,99.5,
"=End 497D",,,,,"39670","37868","40007","33362",,,,,95,
"=Start 497D",,,,,"40686","39249","42030","39008",,,,,99.4,
"=End ARB Level-H",,,,,"40555","39199","40892","38256",,,,,97.6,
"=End AR Level A",,,,,"41971","41530","42113","41225",,,,,98.9,
"=Start ARB Level-H",,,,,"41620","40705","42100","40295",,,,,99,
"=Start AR Level A",,,,,"42226","41826","42414","41575",,,,,99.3,
"=End FO Unit-IV.1-IV",,,,,"39763","38759","39993","37786",,,,,98.7,
"=Start FO Unit-IV.1-IV",,,,,"40651","39444","42951","39273",,,,,88.7,
"=End S1B",,,,,"42639","41313","42794","39986",,,,,99.4,
"=End ARB Level-I",,,,,"42420","41800","42573","41171",,,,,99.1,
"=End AR Level B",,,,,"42845","42560","43019","42423",,,,,99.8,
"=End AR Level D",,,,,"43700","42907","44266","42730",,,,,99.4,
"Order M3 order diagnostic (finalMP-Chat-Proto-497D-Aur)",,,,,,,,,,,,,,
"Boundary End RC Layer I-Ia",,,,,"39797","37940","40054","31171",,,,,89.7,
"Date RC Layer I-Ia",,,,,"40421","38839","42467","36347",,,,,98.2,
"Last Last RC Layer I-Ia",,,,,"39769","38675","40092","37160",,,,,97.1,
"First First RC Layer I-Ia",,,,,"40359","39715","41537","39430",,,,,98.7,
"R_Combine RC same sample OxA-23644 + OxA-24057","40337","39723","40595","39480","40148","39605","40490","39440",,100.5,,,99.2,
"R_Combine RC same sample OxA-23643 + OxA-2416-44","40198","39593","40505","39409","40066","39551","40420","39391",,104.5,,,99.4,
"R_Date Beta-273965","39375","38224","39630","37576","39775","38830","40038","37917",,87.6,,94.5,97.5,
"Phase RC Layer I-Ia (Cala A)",,,,,,,,,,,,,,
"Boundary Start RC Layer I-Ia",,,,,"41017","39678","46468","39486",,,,,93.3,
"Sequence Canyars_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End 497D",,,,,"39670","37868","40007","33362",,,,,95,
"R_Date AA-68834c","39628","39152","39926","38615","39637","39158","39953","38617",,100.2,,95.1,99.6,
"Phase 497D",,,,,,,,,,,,,,
"Boundary Start 497D",,,,,"40686","39249","42030","39008",,,,,99.4,
"Interval Gap S1B-497D",,,,,"0","2112","0","2973",,,,,99.3,
"Boundary End S1B",,,,,"42639","41313","42794","39986",,,,,99.4,
"R_Date Beta-224299","42681","42326","42902","42176","42679","42320","42911","42157",,100.2,,94.9,99.7,
"Phase S1B",,,,,,,,,,,,,,
"Boundary Start S1B",,,,,"43946","42317","48358","42119",,,,,95.8,
"Sequence CGSL_transition_core_S1_without_Beta207578",,,,,,,,,,,,,,
"Difference d_Start_E_minus_End_F",,,,,"384","1797","0","2249",,,,,99.6,
"Difference d_Start_F_minus_End_G",,,,,"1857","4117","208","4455",,,,,99,
"Difference d_Start_G_minus_End_H",,,,,"1282","3337","149","3735",,,,,98.7,
"Difference d_Start_H_minus_End_I",,,,,"142","1166","-2","1674",,,,,99.5,
"Boundary End ARB Level-E",,,,,"30289","29599","30699","28500",,,,,96.5,
"R_Date OxA-21669","30276","29907","30739","29518","30304","29976","30732","29825",,101.3,,95.4,99.4,
"R_Date OxA-21668","30720","30095","30866","30017","30424","30052","30780","29997",,107.4,,95.5,99.8,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30889","30129","31741","30037",,,,,99.2,
"Interval Gap F-E",,,,,"385","1798","0","2244",,,,,99.6,
"Boundary End ARB Level-F",,,,,"32560","31415","32900","30660",,,,,99.4,
"R_Date OxA-21782","32888","31946","33312","31644","32857","32020","33189","31739",,105.9,,95.4,99.8,
"R_Date OxA-21781","32857","31931","33256","31650","32844","32014","33164","31739",,105.2,,95.4,99.8,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33669","32168","35377","31907",,,,,98.5,
"Interval Gap G-F",,,,,"1852","4119","210","4450",,,,,99,
"Boundary End ARB Level-G",,,,,"36866","35633","37228","34088",,,,,98.5,
"R_Date OxA-21783","37000","36035","37610","35430","37001","36262","37518","35838",,109.2,,95.3,99.7,
"R_Date OxA-21667","37115","36138","38075","35562","37029","36303","37584","35950",,114.5,,95.4,99.7,
"R_Date OxA-21666","37814","36425","38911","36260","37221","36408","37966","36164",,112,,95.3,99.7,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37913","36575","39242","36360",,,,,98.5,
"Interval Gap H-G",,,,,"1269","3338","150","3750",,,,,98.6,
"Boundary End ARB Level-H",,,,,"40555","39199","40892","38256",,,,,97.6,
"R_Date OxA-21664","41599","40442","42002","39834","41123","40290","41504","39827",,103.8,,95.3,99.7,
"R_Date OxA-21784","41722","40535","42087","39855","41151","40287","41545","39827",,99.7,,95.3,99.7,
"R_Date OxA-21665","41599","40345","42020","39727","41096","40236","41498","39772",,107.2,,95.3,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","40725","39567","41040","38850",,40.9,,93.3,99.4,
"R_Date SANU-29016","41464","40003","42070","39429","41043","40145","41484","39631",,114.6,,95.3,99.7,
"R_Date SANU-29019","41770","40315","42173","39558","41090","40178","41540","39688",,108.4,,95.3,99.7,
"R_Date SANU-29017","40812","39266","41462","37866","40910","39962","41238","39305",,113,,95.3,99.7,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41620","40705","42100","40295",,,,,99,
"Interval Gap I-H",,,,,"140","1165","0","1672",,,,,99.6,
"Boundary End ARB Level-I",,,,,"42420","41800","42573","41171",,,,,99.1,
"R_Date OxA-21662","42319","41442","42730","40912","42519","42055","42761","41645",,94.3,,95.2,99.6,
"R_Date OxA-21704","43795","42283","44504","42037","42656","42205","43151","41975",,110.2,,95.3,98.9,
"R_Date OxA-19994","42549","42238","42750","42095","42515","42238","42695","42100",,106.2,,95.6,99.4,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42934","42287","43912","42155",,,,,90.2,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9439","8288","9477","4821",,,,,89,
"Span Span FO Unit-II",,,,,"195","1303","19","5657",,,,,97.7,
"FO Unit-II age",,,,,"10751","8705","15992","6031",,,,,97.2,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9445","9315","9465","9293",,99.6,,95.1,99.5,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9693","10114","9555",,99.7,,95,99.4,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"11877","9617","19718","9536",,,,,92.3,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"14132","20337","4739","20470",,,,,93.6,
"Boundary End FO Unit-IIIn",,,,,"30274","27230","30444","18968",,,,,95.1,
"Span Span FO Unit-IIIn",,,,,"368","1908","0","6526",,,,,99.7,
"FO Unit-IIIn age",,,,,"31778","28995","33568","24055",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30213","30021","30350","29955",,98.7,,95.1,99.2,
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31057","30809","31114","30411",,95.2,,95,99.4,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-71.5","-10.5","-101.5","19.5",,99.7,,,99.9,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32507","30832","33996","30514",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1097","3469","0","3757",,,,,99.4,
"Boundary End FO Unit-IIIc",,,,,"34902","33682","35202","32150",,,,,99.4,
"Span Span FO Unit-IIIc",,,,,"2188","3394","1654","4372",,,,,99.6,
"FO Unit-IIIc age",,,,,"37354","34705","38502","33664",,,,,99.7,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37019","35860","37604","35318",,106.1,,95.2,99.5,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37824","36906","38487","36479",,94.9,,94.7,99.1,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35104","34431","35248","34318",,88.2,,93.2,99.2,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36991","36214","37557","35792",,104.2,,80.7,99.5,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36979","36218","37542","35802",,103.8,,80.8,99.4,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38512","37231","39287","36916",,,,,99.5,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1475","0","2304",,,,,99.6,
"Boundary End FO Unit-IV.1-IV",,,,,"39763","38759","39993","37786",,,,,98.7,
"Span Span FO Unit-IV.1-IV",,,,,"0","705","0","2023",,,,,97.1,
"FO Unit-IV.1-IV age",,,,,"40172","39145","41562","38193",,,,,97.9,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40080","39192","40855","38472",,127,,66.3,98.1,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39845","39435","40130","39258",,101.7,,,99.1,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
