"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 153.5
Aoverall 158.9",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndRC",,,,,"-304","2131","-3774","2875",,,,,98.7,
"Difference d_StartRC_minus_EndARBProto",,,,,"-1475","317","-2535","860",,,,,99,
"Difference d_StartRC_minus_EndARProto",,,,,"839","1982","64","2167",,,,,99.1,
"Difference d_EndRC_minus_StartFOChat",,,,,"-17","2835","-352","7191",,,,,88.6,
"Difference d_StartRC_minus_EndFOChat",,,,,"-1952","-403","-2953","14",,,,,99.2,
"Difference d_StartRC_minus_StartFOChat",,,,,"-1172","608","-2100","2748",,,,,95.6,
"=Start FO Unit-IIIc",,,,,"38508","37214","39281","36895",,,,,99.5,
"=End ARB Level-H",,,,,"40547","39203","40898","38254",,,,,97.4,
"=Start ARB Level-H",,,,,"41619","40698","42105","40331",,,,,98.9,
"=End AR Level A",,,,,"41977","41545","42108","41238",,,,,99.4,
"=Start AR Level A",,,,,"42225","41825","42411","41580",,,,,99,
"=End FO Unit-IV.1-IV",,,,,"39775","38747","40000","37784",,,,,98.8,
"=Start FO Unit-IV.1-IV",,,,,"40653","39458","42939","39258",,,,,89.1,
"=End RC Layer I-Ia",,,,,"39821","38005","40085","34393",,,,,79.3,
"=Start RC Layer I-Ia",,,,,"40768","39738","41538","39569",,,,,97.4,
"Order M4-CY-S1 Canyars comparator diagnostic",,,,,,,,,,,,,,
"=Start RC Layer I-Ia",,,,,"40768","39738","41538","39569",,,,,97.4,
"=End AR Level A",,,,,"41977","41545","42108","41238",,,,,99.4,
"Sequence M4-CY-S2 Canyars after AR Proto constraint",,,,,,,,,,,,,,
"Difference d_StartFOAur_minus_EndFOChat",,,,,"5","1428","-2","2292",,,,,99.5,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"890","2766","-221","3455",,,,,99.5,
"Difference d_StartFOAur_minus_EndARProto",,,,,"3133","4494","2363","4915",,,,,99.7,
"Difference d_StartFOAur_minus_End497D",,,,,"-389","2042","-4628","2702",,,,,96.5,
"Difference d_Start497D_minus_EndARBProto",,,,,"-1365","767","-2698","1355",,,,,99.5,
"Difference d_Start497D_minus_EndARProto",,,,,"988","2517","-325","2822",,,,,99.5,
