"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 151.3
Aoverall 157.1",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndRC",,,,,"177","1622","-2","2287",,,,,99.7,
"Difference d_StartRC_minus_EndARBProto",,,,,"-1513","492","-3878","1074",,,,,97.3,
"Difference d_StartRC_minus_EndARProto",,,,,"843","2098","-1632","2484",,,,,97.2,
"Difference d_EndRC_minus_StartFOChat",,,,,"159","2032","-358","4362",,,,,94.1,
"Difference d_StartRC_minus_EndFOChat",,,,,"-2070","-269","-4525","261",,,,,97.5,
"Difference d_StartRC_minus_StartFOChat",,,,,"-1224","918","-4027","3927",,,,,92.4,
"=Start FO Unit-IIIc",,,,,"38297","37180","38993","36853",,,,,99.5,
"=End ARB Level-H",,,,,"40549","39191","40873","38243",,,,,97.1,
"=Start ARB Level-H",,,,,"41623","40693","42100","40315",,,,,99.1,
"=End AR Level A",,,,,"41971","41532","42111","41225",,,,,98.6,
"=Start AR Level A",,,,,"42224","41814","42410","41578",,,,,99.1,
"=End FO Unit-IV.1-IV",,,,,"39741","38678","39977","37711",,,,,98.2,
"=Start FO Unit-IV.1-IV",,,,,"40720","39459","43053","39290",,,,,86.8,
"=End RC Layer I-Ia",,,,,"39686","38570","39923","37760",,,,,97.7,
"=Start RC Layer I-Ia",,,,,"40770","39664","43164","39472",,,,,89.8,
"Order M4-CY-S1 Canyars comparator diagnostic",,,,,,,,,,,,,,
"=Start FO Unit-IIIc",,,,,"38297","37180","38993","36853",,,,,99.5,
"=End RC Layer I-Ia",,,,,"39686","38570","39923","37760",,,,,97.7,
"Sequence M4-CY-S3 Canyars before FO IIIc constraint",,,,,,,,,,,,,,
"Difference d_StartFOAur_minus_EndFOChat",,,,,"309","1830","0","2352",,,,,99.5,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"1102","2865","25","3509",,,,,99.4,
"Difference d_StartFOAur_minus_EndARProto",,,,,"3339","4547","2639","4963",,,,,99.7,
"Difference d_StartFOAur_minus_End497D",,,,,"-222","2143","-4686","2764",,,,,97.1,
"Difference d_Start497D_minus_EndARBProto",,,,,"-1317","766","-2677","1375",,,,,99.5,
"Difference d_Start497D_minus_EndARProto",,,,,"980","2511","-352","2819",,,,,99.3,
"Difference d_Start497D_minus_StartFOChat",,,,,"-1046","1175","-2460","3236",,,,,96.6,
"Difference d_Start497D_minus_EndFOChat",,,,,"-1912","41","-3243","553",,,,,99.1,
"Difference d_StartARBProto_minus_StartFOChat",,,,,"-1921","-232","-2570","1980",,,,,94.6,
"Difference d_StartARProto_minus_StartFOChat",,,,,"-2613","-1254","-2937","1059",,,,,93.3,
"Difference d_StartARBProto_minus_EndFOChat",,,,,"-2762","-1289","-3712","-774",,,,,99.4,
"Difference d_StartARProto_minus_EndFOChat",,,,,"-3406","-2224","-4345","-1904",,,,,99.2,
"Difference d_StartFOChat_minus_EndS1B",,,,,"595","2767","-1783","3207",,,,,95.5,
"Difference d_StartFOChat_minus_EndARBI",,,,,"1207","2702","-1214","3058",,,,,92.6,
"Difference d_StartFOChat_minus_EndARB",,,,,"2035","3281","-444","3593",,,,,94.6,
"Difference d_StartFOChat_minus_EndARD",,,,,"2493","4104","198","4842",,,,,95.5,
"=Start FO Unit-IIIc",,,,,"38297","37180","38993","36853",,,,,99.5,
"=Start 497D",,,,,"40665","39249","42035","39019",,,,,99.4,
"=Start ARB Level-H",,,,,"41623","40693","42100","40315",,,,,99.1,
"=Start AR Level A",,,,,"42224","41814","42410","41578",,,,,99.1,
"=Start FO Unit-IV.1-IV",,,,,"40720","39459","43053","39290",,,,,86.8,
"=End S1B",,,,,"42630","41307","42793","39985",,,,,99.4,
"=End ARB Level-I",,,,,"42424","41810","42570","41175",,,,,98.7,
