"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 167.6
Aoverall 149.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndGEIII",,,,,"-6343","-4693","-7184","-4024",,,,,99.7,
"Difference d_StartGEIII_minus_End497D",,,,,"2723","6550","-2304","7096",,,,,98.8,
"Difference d_StartGEIII_minus_EndFOChat",,,,,"4311","6684","2389","7292",,,,,99.4,
"Difference d_StartGEIII_minus_EndARBProto",,,,,"4861","7389","2909","8054",,,,,98.9,
"Difference d_StartGEIII_minus_EndARProto",,,,,"7142","9175","5213","9615",,,,,99.3,
"Difference d_StartFOAur_minus_EndGEXXIV",,,,,"-3615","-358","-4966","1006",,,,,99.3,
"Difference d_StartGEXXIV_minus_End497D",,,,,"-1558","2606","-6267","4010",,,,,98.9,
"Difference d_StartGEXXIV_minus_EndFOChat",,,,,"-288","2407","-1340","3974",,,,,99.4,
"Difference d_StartGEXXIV_minus_EndARBProto",,,,,"320","3179","-853","4714",,,,,99.1,
"Difference d_StartGEXXIV_minus_EndARProto",,,,,"2350","4877","1599","6353",,,,,99.3,
"Difference d_StartFOAur_minus_EndGEIV",,,,,"513","2473","-786","3193",,,,,99.6,
"Difference d_StartGEIV_minus_End497D",,,,,"-6284","-1476","-11821","-1050",,,,,97,
"Difference d_StartGEIV_minus_EndFOChat",,,,,"-4249","-1310","-8723","-646",,,,,98.7,
"Difference d_StartGEIV_minus_EndARBProto",,,,,"-3647","-560","-8120","115",,,,,97.4,
"Difference d_StartGEIV_minus_EndARProto",,,,,"-1339","1147","-6012","1680",,,,,98.1,
"=Start FO Unit-IIIc",,,,,"38498","37231","39260","36893",,,,,99.6,
"=End 497D",,,,,"39671","37286","39886","29853",,,,,97.6,
"=Start 497D",,,,,"40709","39249","42071","38996",,,,,99.5,
"=End ARB Level-H",,,,,"40543","39211","40904","38249",,,,,97.2,
"=Start ARB Level-H",,,,,"41622","40684","42094","40315",,,,,99.1,
"=End AR Level A",,,,,"41967","41520","42108","41208",,,,,99.1,
"=Start AR Level A",,,,,"42224","41808","42409","41570",,,,,98.7,
"=End FO Unit-IV.1-IV",,,,,"39768","38715","40003","37746",,,,,99.1,
"=Start FO Unit-IV.1-IV",,,,,"41022","39454","44292","39297",,,,,90.8,
"=Boundary Layer III top",,,,,"32956","31894","33414","31403",,,,,99.5,
"=Boundary Layer III bottom",,,,,"34486","32508","36395","32169",,,,,98.6,
"=Boundary Layer XXIV top",,,,,"37620","34484","38680","33296",,,,,98,
"=Boundary Layer XXIV bottom",,,,,"39338","36847","40040","35425",,,,,98.7,
"=Boundary Layer IV top",,,,,"40237","38833","40651","37547",,,,,99.3,
"=Boundary Layer IV bottom",,,,,"43127","40550","47594","40174",,,,,92,
"Order M4-GE-S1 Gegant comparator diagnostic",,,,,,,,,,,,,,
"Cova del Gegant top age",,,,,"1","0","1","0",,,,,100,
"Before","...","1950.55","...","1950.55",,,,,,,,,,
"Boundary Boundary Layer I top",,,,,"1731","860","1735","116",,,,,99.7,
"R_Date sample #3 14C","1738","1704","1785","1626","1738","1703","1814","1625",,99.6,,95.4,99.9,
"Boundary Boundary Layer I bottom",,,,,"2565","1706","3243","1650",,,,,99.7,
"Boundary Boundary Layer XXV top",,,,,"3452","3343","3476","3114",,,,,96.4,
"R_Date sample #4 14C","3448","3393","3462","3366","3456","3406","3474","3375",,99.3,,96.2,98.5,
"R_Date sample #8 14C","3564","3483","3633","3452","3519","3452","3575","3409",,93.3,,95.6,92.9,
"R_Date sample #9 14C","3556","3450","3565","3405","3497","3416","3558","3405",,111.4,,96.4,96.4,
"R_Date sample #10 14C","3459","3398","3482","3382","3463","3407","3483","3388",,102.1,,96.4,99.1,
"Phase Layer XXV",,,,,,,,,,,,,,
"Boundary Boundary Layer XXV bottom",,,,,"3590","3459","3859","3413",,,,,62.2,
"Boundary Boundary Layer II top",,,,,"30498","29440","30756","27498",,,,,91.9,
"N sample #27 SG-OSL","34372","30357","36263","28467","31490","30263","32173","29424",,102,,95.1,100,
"R_Date sample #11 14C","31371","31089","31617","31045","31309","31078","31591","31002",,106.7,,94.3,99.6,
"R_Date sample #12 14C","30359","30110","30735","30045","30678","30100","30760","30068",,89.9,,95.1,99.5,
"R_Date sample #13 14C","30766","30397","30901","30260","30780","30414","30909","30268",,100.9,,95.3,99.7,
"Phase Layer II",,,,,,,,,,,,,,
"Boundary Boundary Layer II bottom",,,,,"31834","31159","32593","31059",,,,,99.8,
"Boundary Boundary Layer III top",,,,,"32956","31894","33414","31403",,,,,99.5,
"R_Date sample #19 14C","33128","32224","33580","31943","33251","32372","33675","32074",,98.7,,95,99.7,
"N sample #28 SG-OSL","37768","32729","40141","30357","33739","32247","35182","31758",,97.9,,95,100,
"Phase Layer III",,,,,,,,,,,,,,
"Boundary Boundary Layer III bottom",,,,,"34486","32508","36395","32169",,,,,98.6,
"Boundary Boundary Layer XXIV top",,,,,"37620","34484","38680","33296",,,,,98,
"N sample #29 IRSL","38463","33400","40896","30968","38329","35648","39297","34357",,118.6,,95.1,99.9,
"N sample #30 SG-OSL","42445","36902","45056","34292","38496","35966","39465","34567",,88.4,,95,99.9,
"Phase Layer XXIV",,,,,,,,,,,,,,
"Boundary Boundary Layer XXIV bottom",,,,,"39338","36847","40040","35425",,,,,98.7,
"Boundary Boundary Layer IV top",,,,,"40237","38833","40651","37547",,,,,99.3,
"R_Date sample #22 14C","40087","39365","40553","39175","40423","39602","40733","39272",,87.9,,94.8,99.3,
"R_Date sample #23 14C","41165","39019","41861","37549","41011","39710","41826","39009",,116.3,,95.1,99.5,
"R_Date sample #24 14C","41456","40777","41862","40491","41354","40646","41811","40280",,95.1,,94.9,99.3,
"N sample #32 SG-OSL","47566","41191","50569","38189","41958","39698","44929","38739",,81,,95,99.9,
"Phase Layer IV",,,,,,,,,,,,,,
"Boundary Boundary Layer IV bottom",,,,,"43127","40550","47594","40174",,,,,92,
"Boundary Boundary Layer V Speleothem top",,,,,"55866","54706","56026","51836",,,,,97.2,
"N sample #43b U/Th","58159","56614","58887","55887","57470","56315","58108","55730",,98.8,,95.1,100,
"N sample #43a U/Th","57672","55901","58507","55067","57193","55938","57873","55310",,112.4,,95.2,100,
"N sample #44b U/Th","55860","55613","55977","55497","55884","55631","56025","55494",,98.1,,94.2,99.8,
"N sample #44a U/Th","57056","56778","57187","56647","57037","56762","57180","56620",,99.9,,95.1,99.8,
"Phase Layer V Speleothem",,,,,,,,,,,,,,
"Boundary Boundary Layer V Speleothem bottom",,,,,"57999","56886","59282","56700",,,,,99.5,
"Boundary Boundary Layer Va top",,,,,"60059","57481","61970","57004",,,,,98.3,
"N sample #33 IRSL","60519","50740","65218","46042","61229","58353","63386","56962",,88.9,,95,99.9,
"N sample #34 IRSL","62551","54182","66493","50241","61493","58283","63687","57348",,119.8,,95,99.9,
"N sample #35 SG-OSL","63409","54128","67779","49759","61622","58243","63829","57342",,126.2,,95,99.9,
"Phase Layer Va",,,,,,,,,,,,,,
"Boundary Boundary Layer Va bottom",,,,,"63293","58851","66423","57795",,,,,94.6,
"Boundary Boundary Layer Vf top",,,,,"69784","62234","73869","59830",,,,,97.5,
"N sample #36 IRSL","74213","64280","78891","59603","72505","65176","76460","62090",,113.4,,95,99.9,
"Boundary Boundary Layer Vf bottom",,,,,"75910","66826","81007","63450",,,,,97.1,
"Boundary Boundary Layer Vg top",,,,,"82459","71924","87867","67543",,,,,97.4,
"N sample #37 SG-OSL","83322","70917","89282","64958","86170","75832","91582","71454",,95.6,,95,99.9,
"Boundary Boundary Layer Vg bottom",,,,,"98575","76459","125022","72478",,,,,89.3,
"Boundary Boundary Layer XXX top",,,,,"147742","106279","160068","86461",,,,,90.7,
"N sample #38 SG-OSL","159256","130690","172979","116967","161862","133996","175025","120693",,100.5,,95,99.9,
"Boundary Boundary Layer XXX bottom",,,,,"242661","135462","371567","131374",,,,,55.9,
"Boundary Boundary Bedrock Speleothem top",,,,,"491437","425799","507853","344177",,,,,31.7,
"N sample #42b U/Th","510825","467049","531437","446437","499893","457818","519443","437206",,95.9,,95,99.3,
"N sample #42a U/Th","595617","480257","649937","425937","504758","452118","535558","420758",,80,,95,99.4,
"Phase Bedrock Speleothem",,,,,,,,,,,,,,
"Boundary Boundary Bedrock Speleothem bottom",,,,,"520246","454180","531428","459636",,,,,4.4,
"Sequence Cova del Gegant Sequence",,,,,,,,,,,,,,
"Difference d_StartFOAur_minus_EndFOChat",,,,,"5","1402","-2","2273",,,,,99.7,
"Difference d_StartFOAur_minus_EndARBProto",,,,,"918","2780","-202","3434",,,,,99.5,
"Difference d_StartFOAur_minus_EndARProto",,,,,"3129","4491","2348","4903",,,,,99.7,
"Difference d_StartFOAur_minus_End497D",,,,,"-997","2083","-6120","2572",,,,,99.3,
"Difference d_Start497D_minus_EndARBProto",,,,,"-1368","730","-2729","1355",,,,,99.5,
"Difference d_Start497D_minus_EndARProto",,,,,"922","2499","-373","2825",,,,,99.6,
"Difference d_Start497D_minus_StartFOChat",,,,,"-1102","1489","-2483","4429",,,,,99.3,
"Difference d_Start497D_minus_EndFOChat",,,,,"-1912","65","-3230","575",,,,,99.6,
"Difference d_StartARBProto_minus_StartFOChat",,,,,"-1911","62","-2551","3251",,,,,98.6,
"Difference d_StartARProto_minus_StartFOChat",,,,,"-2598","-936","-2933","2365",,,,,97.8,
"Difference d_StartARBProto_minus_EndFOChat",,,,,"-2728","-1279","-3672","-737",,,,,99.5,
"Difference d_StartARProto_minus_EndFOChat",,,,,"-3369","-2205","-4309","-1872",,,,,99.5,
"Difference d_StartFOChat_minus_EndS1B",,,,,"250","2707","-2898","3193",,,,,99.3,
"Difference d_StartFOChat_minus_EndARBI",,,,,"873","2668","-2428","3026",,,,,98.8,
"Difference d_StartFOChat_minus_EndARB",,,,,"1712","3273","-1633","3572",,,,,99.3,
"Difference d_StartFOChat_minus_EndARD",,,,,"2193","4129","-1138","4819",,,,,99.2,
"=Start FO Unit-IIIc",,,,,"38498","37231","39260","36893",,,,,99.6,
"=Start 497D",,,,,"40709","39249","42071","38996",,,,,99.5,
"=Start ARB Level-H",,,,,"41622","40684","42094","40315",,,,,99.1,
"=Start AR Level A",,,,,"42224","41808","42409","41570",,,,,98.7,
"=Start FO Unit-IV.1-IV",,,,,"41022","39454","44292","39297",,,,,90.8,
"=End S1B",,,,,"42626","41256","42790","39947",,,,,99.6,
"=End ARB Level-I",,,,,"42426","41780","42570","41146",,,,,99,
"=End AR Level B",,,,,"42844","42560","43020","42421",,,,,99.8,
"Order M3 component diagnostic",,,,,,,,,,,,,,
"=Start FO Unit-IIIc",,,,,"38498","37231","39260","36893",,,,,99.6,
"=End 497D",,,,,"39671","37286","39886","29853",,,,,97.6,
"=Start 497D",,,,,"40709","39249","42071","38996",,,,,99.5,
"=End ARB Level-H",,,,,"40543","39211","40904","38249",,,,,97.2,
"=End AR Level A",,,,,"41967","41520","42108","41208",,,,,99.1,
"=Start ARB Level-H",,,,,"41622","40684","42094","40315",,,,,99.1,
"=Start AR Level A",,,,,"42224","41808","42409","41570",,,,,98.7,
"=End FO Unit-IV.1-IV",,,,,"39768","38715","40003","37746",,,,,99.1,
"=Start FO Unit-IV.1-IV",,,,,"41022","39454","44292","39297",,,,,90.8,
"=End S1B",,,,,"42626","41256","42790","39947",,,,,99.6,
"=End ARB Level-I",,,,,"42426","41780","42570","41146",,,,,99,
"=End AR Level B",,,,,"42844","42560","43020","42421",,,,,99.8,
"=End AR Level D",,,,,"43706","42910","44288","42731",,,,,99.5,
"Order M3 order diagnostic (finalMP-Chat-Proto-497D-Aur)",,,,,,,,,,,,,,
"Boundary End 497D",,,,,"39671","37286","39886","29853",,,,,97.6,
"R_Date AA-68834c","39628","39152","39926","38615","39627","39147","39928","38557",,99.9,,95,99.7,
"Phase 497D",,,,,,,,,,,,,,
"Boundary Start 497D",,,,,"40709","39249","42071","38996",,,,,99.5,
"Interval Gap S1B-497D",,,,,"0","2004","0","2973",,,,,99.7,
"Boundary End S1B",,,,,"42626","41256","42790","39947",,,,,99.6,
"R_Date Beta-224299","42681","42326","42902","42176","42684","42325","42919","42168",,99.9,,95,99.6,
"Phase S1B",,,,,,,,,,,,,,
"Boundary Start S1B",,,,,"44526","42311","51792","42161",,,,,97.8,
"Sequence CGSL_transition_core_S1_without_Beta207578",,,,,,,,,,,,,,
"Difference d_Start_E_minus_End_F",,,,,"372","1774","-2","2234",,,,,99.6,
"Difference d_Start_F_minus_End_G",,,,,"1883","4108","235","4459",,,,,98.9,
"Difference d_Start_G_minus_End_H",,,,,"1278","3372","136","3746",,,,,98.8,
"Difference d_Start_H_minus_End_I",,,,,"93","1108","-2","1666",,,,,99.6,
"Boundary End ARB Level-E",,,,,"30297","29499","30685","28073",,,,,96.9,
"R_Date OxA-21669","30276","29907","30739","29518","30295","29970","30730","29801",,103.2,,95.4,99.7,
"R_Date OxA-21668","30720","30095","30866","30017","30422","30051","30775","29992",,107.1,,95.4,99.8,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30916","30124","31774","30035",,,,,99.2,
"Interval Gap F-E",,,,,"369","1774","0","2235",,,,,99.6,
"Boundary End ARB Level-F",,,,,"32571","31423","32918","30686",,,,,99.2,
"R_Date OxA-21782","32888","31946","33312","31644","32876","32025","33192","31743",,105.9,,95.3,99.7,
"R_Date OxA-21781","32857","31931","33256","31650","32850","32008","33162","31740",,105.1,,95.3,99.7,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33693","32160","35342","31890",,,,,98.3,
"Interval Gap G-F",,,,,"1862","4108","250","4460",,,,,99,
"Boundary End ARB Level-G",,,,,"36840","35627","37243","34064",,,,,98.4,
"R_Date OxA-21783","37000","36035","37610","35430","36995","36259","37517","35835",,109.5,,95.3,99.7,
"R_Date OxA-21667","37115","36138","38075","35562","37023","36294","37583","35956",,114.6,,95.3,99.7,
"R_Date OxA-21666","37814","36425","38911","36260","37220","36408","37944","36167",,111.9,,95.2,99.7,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37916","36568","39245","36349",,,,,98.4,
"Interval Gap H-G",,,,,"1277","3370","131","3745",,,,,98.7,
"Boundary End ARB Level-H",,,,,"40543","39211","40904","38249",,,,,97.2,
"R_Date OxA-21664","41599","40442","42002","39834","41116","40285","41493","39822",,103.4,,95.3,99.7,
"R_Date OxA-21784","41722","40535","42087","39855","41146","40289","41535","39820",,99.3,,95.2,99.7,
"R_Date OxA-21665","41599","40345","42020","39727","41094","40230","41484","39765",,106.9,,95.3,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","40706","39562","41040","38844",,41,,93.5,99.4,
"R_Date SANU-29016","41464","40003","42070","39429","41041","40140","41477","39630",,114.4,,95.3,99.7,
"R_Date SANU-29019","41770","40315","42173","39558","41086","40177","41530","39690",,108.1,,95.3,99.7,
"R_Date SANU-29017","40812","39266","41462","37866","40906","39949","41237","39308",,113.1,,95.2,99.7,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41622","40684","42094","40315",,,,,99.1,
"Interval Gap I-H",,,,,"107","1115","0","1664",,,,,99.6,
"Boundary End ARB Level-I",,,,,"42426","41780","42570","41146",,,,,99,
"R_Date OxA-21662","42319","41442","42730","40912","42526","42045","42770","41605",,94.2,,95.1,99.7,
"R_Date OxA-21704","43795","42283","44504","42037","42688","42205","43253","41972",,111.8,,95.3,99.7,
"R_Date OxA-19994","42549","42238","42750","42095","42524","42242","42706","42106",,105.7,,95.6,99.7,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"43017","42293","44170","42126",,,,,89.8,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9437","7555","9790","2316",,,,,78.7,
"Span Span FO Unit-II",,,,,"0","1648","0","6906",,,,,76.7,
"FO Unit-II age",,,,,"11073","8323","17048","4469",,,,,86.7,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9445","9313","9467","9289",,98.8,,94.3,98.7,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9694","10115","9555",,99.8,,95.1,98.5,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"12478","9626","21059","9557",,,,,82.7,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"13818","20336","3934","20486",,,,,93.8,
"Boundary End FO Unit-IIIn",,,,,"30265","27233","30492","18954",,,,,94.9,
"Span Span FO Unit-IIIn",,,,,"365","1888","0","6460",,,,,99.6,
"FO Unit-IIIn age",,,,,"31783","29032","33608","24033",,,,,99.4,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30213","30020","30354","29950",,98.1,,94.7,99.4,
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31059","30808","31115","30411",,94.9,,94.9,99.2,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-71.5","-11","-101.5","19.5",,99.7,,,99.9,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32549","30832","33990","30509",,,,,99.2,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1122","3486","0","3755",,,,,99.4,
"Boundary End FO Unit-IIIc",,,,,"34895","33666","35205","32119",,,,,99.3,
"Span Span FO Unit-IIIc",,,,,"2173","3375","1637","4383",,,,,99.5,
"FO Unit-IIIc age",,,,,"37360","34704","38477","33661",,,,,99.6,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37026","35874","37593","35319",,106.1,,95.2,99.3,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37822","36895","38470","36482",,94.7,,94.7,99.2,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35098","34429","35258","34316",,87.7,,92.9,99.2,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36997","36214","37554","35795",,104.2,,80.6,99.4,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36975","36224","37536","35810",,103.8,,80.7,99.4,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38498","37231","39260","36893",,,,,99.6,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1401","0","2267",,,,,99.7,
"Boundary End FO Unit-IV.1-IV",,,,,"39768","38715","40003","37746",,,,,99.1,
"Span Span FO Unit-IV.1-IV",,,,,"0","857","0","2584",,,,,99.8,
"FO Unit-IV.1-IV age",,,,,"40341","39109","42269","38080",,,,,99.7,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40202","39190","41023","38463",,124.1,,66.1,99.7,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39866","39448","40171","39270",,100.8,,,99.8,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"41022","39454","44292","39297",,,,,90.8,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41471","40238","41797","39325",,,,,89.4,
"Boundary End AR Carbonates above A",,,,,"41644","40828","41891","40184",,,,,98.8,
"AR Age Carbonates above A",,,,,"41720","41022","41941","40485",,,,,99.4,
"N AR4 average age","43733","41467","44800","40400","41720","41038","41951","40532",,71.6,,95,99.7,
"R_Date USGS-2839","42191","40296","43129","39037","41717","41024","41939","40520",,132.7,,95.3,99.5,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41819","41199","42005","40762",,,,,99.2,
"Boundary End AR Level A",,,,,"41967","41520","42108","41208",,,,,99.1,
"AR Age Level A",,,,,"42082","41674","42245","41396",,,,,99.7,
"R_Date UA3","42758","41647","43865","41020","42100","41696","42253","41433",,107.3,,95.3,99.7,
"R_Date UA1","42320","41317","42812","40632","42081","41686","42230","41420",,132.3,,95.5,99.7,
"R_Date AA-6608","42176","41029","42583","40124","42072","41677","42217","41408",,127.2,,95.4,99.7,
"R_Date OxA-11967","41541","40469","41961","39900","42040","41654","42173","41373",,47.8,,94.6,99.7,
"R_Date AA-7395","42400","41290","43045","40495","42085","41686","42235","41419",,134.9,,95.5,99.7,
"R_Date NZA-2311","41976","41126","42273","40597","42056","41672","42193","41410",,108,,95.4,99.7,
"R_Date AA-8037B","42758","41647","43865","41020","42100","41700","42252","41434",,107.4,,95.3,99.6,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42224","41808","42409","41570",,,,,98.7,
"Boundary End AR Carbonates below A",,,,,"42563","42232","42696","41998",,,,,99.4,
"AR Age Carbonates below A",,,,,"42631","42343","42775","42165",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42636","42378","42766","42246",,86.1,,95.3,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42618","42358","42742","42220",,119.6,,95.8,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42715","42446","42859","42310",,,,,99.8,
"Boundary End AR Level B",,,,,"42844","42560","43020","42421",,,,,99.8,
"AR Age Level B",,,,,"42970","42625","43286","42480",,,,,99.8,
"R_Date OxA-12025","42811","42496","42990","42364","42913","42639","43098","42510",,88.5,,95,99.8,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43114","42677","43577","42533",,,,,99.5,
"Boundary End AR Level D",,,,,"43706","42910","44288","42731",,,,,99.5,
"AR Age Level D",,,,,"44001","43115","44555","42870",,,,,99.7,
"R_Date NZA-2313","44410","43055","45285","42611","44001","43136","44511","42902",,118,,95.4,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44308","43303","44876","42990",,,,,99.4,
"Boundary End AR Carbonate below D",,,,,"44882","43757","45496","43306",,,,,99.2,
"AR Age Carbonate below D",,,,,"45122","44002","45706","43507",,,,,99.6,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","44000","45725","43500",,137.3,,95.1,99.8,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45378","44232","45986","43698",,,,,99.2,
"Boundary End AR Level E",,,,,"45831","44727","46431","44227",,,,,99.2,
"AR Age Level E",,,,,"46014","44950","46629","44492",,,,,99.6,
"R_Date NZA-2314","46722","44746","48336","44235","45996","44975","46580","44542",,126.1,,95.2,99.6,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46242","45161","46846","44703",,,,,99.1,
"Boundary End AR Level H",,,,,"46677","45564","47302","45089",,,,,98.9,
"AR Age Level H",,,,,"46892","45784","47477","45294",,,,,99.5,
"R_Date CAMS_H","52337","44165","...","42911","46884","45801","47487","45300",,115.6,,95,99.5,
"R_Date NZA-2315","48181","45723","50184","44765","46885","45822","47484","45334",,123.6,,95.2,99.5,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47096","45978","47700","45465",,,,,99,
"Boundary End AR Travertine H-I",,,,,"47498","46333","48104","45800",,,,,99,
"AR Age Travertine H-I",,,,,"47671","46537","48279","46009",,,,,99.4,
"N AR U-series 45100±3100","48293","41907","51300","38900","47695","46517","48315","45959",,113.3,,95.1,99.7,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47884","46733","48478","46175",,,,,99.1,
"Boundary End AR Travertine J-I",,,,,"48279","47138","48846","46648",,,,,97.7,
"AR Age Travertine J-I",,,,,"48466","47316","49065","46810",,,,,99.2,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48523","47276","49132","46754",,126.6,,95.1,99.5,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48504","47336","49128","46792",,96.7,,95.1,99.5,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48530","47288","49097","46775",,122.5,,95.1,99.5,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48475","47300","49075","46775",,135.3,,95.1,99.5,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48518","47297","49145","46736",,129.8,,95.1,99.5,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48488","47304","49096","46792",,133.6,,95.2,99.5,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48488","47288","49136","46760",,111.1,,95,99.5,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48458","47314","49108","46768",,128.5,,95.1,99.5,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48512","47316","49087","46787",,132.1,,95.1,99.5,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48470","47300","49040","46805",,90.2,,95.1,99.4,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48698","47507","49345","46953",,,,,97.3,
"Boundary End AR Level J",,,,,"49187","47761","50086","47176",,,,,98.3,
"AR Age Level J",,,,,"49430","47904","50446","47299",,,,,98.4,
"R_Date NZA-2316","52527","47569","...","46839","49443","47928","50446","47302",,117.3,,95.1,98.4,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49682","48023","50827","47389",,,,,97.8,
"Boundary End AR Carbonate above J",,,,,"50157","48279","51477","47610",,,,,96.7,
"AR Age Carbonate above J",,,,,"50409","48353","51799","47706",,,,,95.7,
"N AR U-series 50400±2600","53078","47722","55600","45200","50460","48380","51864","47678",,126.3,,95.1,96.9,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"51167","48273","52259","47725",,,,,54.5,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M4-GE-S1 Gegant comparator baseline",,,,,,,,,,,,,,
