"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 131.9
Aoverall 145.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndGEXXIV",,,,,"-3582","-308","-4970","1082",,,,,99.3,
"Difference d_StartFOAur_minus_EndGEIV",,,,,"530","2497","-763","3281",,,,,99.5,
"Difference d_StartFOAur_minus_EndRC",,,,,"-586","2068","-4487","2774",,,,,98.9,
"Difference d_StartFOAur_minus_End497D",,,,,"-981","2126","-5978","2609",,,,,99,
"Difference d_StartGEXXIV_minus_EndTXPM",,,,,"4446","6986","3660","8527",,,,,99.3,
"Difference d_StartGEXXIV_minus_EndARBLevelI",,,,,"2643","5199","1774","6729",,,,,99.4,
"Difference d_StartGEXXIV_minus_EndARLevelB",,,,,"3379","5848","2642","7350",,,,,99.5,
"Difference d_StartGEIV_minus_EndTXPM",,,,,"701","3298","-3917","3953",,,,,97.6,
"Difference d_StartGEIV_minus_EndARBLevelI",,,,,"-1161","1491","-5664","2131",,,,,98.4,
"Difference d_StartGEIV_minus_EndARLevelB",,,,,"-359","2134","-4945","2724",,,,,98.8,
"Difference d_StartRC_minus_EndTXPM",,,,,"2435","4228","-901","4630",,,,,97.5,
"Difference d_StartRC_minus_EndARBLevelI",,,,,"605","2448","-2845","2757",,,,,99.1,
"Difference d_StartRC_minus_EndARLevelB",,,,,"1418","3052","-1923","3335",,,,,99.4,
"Difference d_Start497D_minus_EndTXPM",,,,,"2964","4653","1692","5068",,,,,97.3,
"Difference d_Start497D_minus_EndARBLevelI",,,,,"1166","2870","-195","3252",,,,,99.5,
"Difference d_Start497D_minus_EndARLevelB",,,,,"1964","3485","625","3826",,,,,99.5,
"Difference d_StartFOChat_minus_EndTXPM",,,,,"2647","4460","-680","4884",,,,,97.1,
"Difference d_StartFOChat_minus_EndARBLevelI",,,,,"798","2664","-2612","3037",,,,,98.6,
"Difference d_StartFOChat_minus_EndARLevelB",,,,,"1649","3269","-1900","3578",,,,,99.1,
"Difference d_StartARBProto_minus_EndTXPM",,,,,"2088","3197","1539","3705",,,,,97.6,
"Difference d_StartARBProto_minus_EndARBLevelI",,,,,"104","1135","-2","1668",,,,,99.6,
"Difference d_StartARBProto_minus_EndARLevelB",,,,,"1065","2026","585","2461",,,,,99.7,
"Difference d_StartARProto_minus_EndTXPM",,,,,"1424","2186","1071","2549",,,,,93.9,
"Difference d_StartARProto_minus_EndARBLevelI",,,,,"-341","463","-959","756",,,,,99.6,
"Difference d_StartARProto_minus_EndARLevelB",,,,,"435","941","221","1232",,,,,99.7,
"Difference d_EndTXPM_minus_EndARBLevelI",,,,,"-2231","-1280","-2847","-912",,,,,96,
"Difference d_EndTXPM_minus_EndARLevelB",,,,,"-1450","-741","-1771","-421",,,,,91.7,
"Difference d_EndARLevelB_minus_EndARBLevelI",,,,,"-997","-257","-1625","-47",,,,,99.8,
"=Start FO Unit-IIIc",,,,,"38482","37198","39273","36836",,,,,99.2,
"=Boundary Layer XXIV bottom",,,,,"39339","36869","40043","35379",,,,,98.6,
"=Boundary Layer IV bottom",,,,,"43074","40576","47680","40010",,,,,92,
"=Start RC Layer I-Ia",,,,,"41194","39684","46468","39480",,,,,94.5,
"=Start 497D",,,,,"40719","39251","42098","38970",,,,,99.3,
"=End S1B",,,,,"42633","41225","42801","39889",,,,,98.9,
"=Start FO Unit-IV.1-IV",,,,,"41068","39443","44407","39277",,,,,91,
"=Start ARB Level-H",,,,,"41615","40694","42092","40307",,,,,98.8,
"=Start AR Level A",,,,,"42232","41820","42410","41559",,,,,98.9,
"=Transition Teixoneres Unit III/II",,,,,"44130","43480","44405","43224",,,,,89.2,
"=End ARB Level-I",,,,,"42422","41774","42568","41148",,,,,99,
"=End AR Level B",,,,,"42843","42560","43026","42417",,,,,99.8,
"Order M5-FPM-S1 PM-end regional diagnostic",,,,,,,,,,,,,,
"Cova del Gegant top age",,,,,"1","0","1","0",,,,,100,
"Before","...","1950.55","...","1950.55",,,,,,,,,,
"Boundary Boundary Layer I top",,,,,"1732","866","1736","111",,,,,99.6,
"R_Date sample #3 14C","1738","1704","1785","1626","1738","1703","1789","1625",,101.1,,96.9,99.8,
"Boundary Boundary Layer I bottom",,,,,"2574","1706","3239","1651",,,,,99.6,
"Boundary Boundary Layer XXV top",,,,,"3451","3342","3475","3118",,,,,97.9,
"R_Date sample #4 14C","3448","3393","3462","3366","3455","3405","3474","3374",,101,,97.6,98.9,
"R_Date sample #8 14C","3564","3483","3633","3452","3524","3454","3576","3408",,96.6,,97.4,95.5,
"R_Date sample #9 14C","3556","3450","3565","3405","3497","3446","3558","3405",,112.6,,97.9,97.1,
"R_Date sample #10 14C","3459","3398","3482","3382","3463","3406","3483","3388",,103.2,,97.9,98.9,
"Phase Layer XXV",,,,,,,,,,,,,,
"Boundary Boundary Layer XXV bottom",,,,,"3590","3462","3864","3410",,,,,71,
"Boundary Boundary Layer II top",,,,,"30528","29376","30756","27384",,,,,90.3,
"N sample #27 SG-OSL","34372","30357","36263","28467","31471","30243","32173","29424",,102.6,,95.7,100,
"R_Date sample #11 14C","31371","31089","31617","31045","31313","31074","31623","30983",,107.1,,94.9,99.6,
"R_Date sample #12 14C","30359","30110","30735","30045","30679","30102","30762","30068",,90.7,,96.3,99.5,
"R_Date sample #13 14C","30766","30397","30901","30260","30778","30416","30912","30260",,102.2,,96.6,99.6,
"Phase Layer II",,,,,,,,,,,,,,
"Boundary Boundary Layer II bottom",,,,,"31842","31154","32653","31041",,,,,99.7,
"Boundary Boundary Layer III top",,,,,"32961","31884","33420","31379",,,,,99.4,
"R_Date sample #19 14C","33128","32224","33580","31943","33257","32362","33697","32045",,99.3,,95.7,99.6,
"N sample #28 SG-OSL","37768","32729","40141","30357","33739","32247","35207","31758",,98.7,,95.6,99.9,
"Phase Layer III",,,,,,,,,,,,,,
"Boundary Boundary Layer III bottom",,,,,"34534","32490","36462","32159",,,,,98.2,
"Boundary Boundary Layer XXIV top",,,,,"37646","34475","38735","33302",,,,,98,
"N sample #29 IRSL","38463","33400","40896","30968","38329","35648","39321","34308",,119.2,,95.7,99.9,
"N sample #30 SG-OSL","42445","36902","45056","34292","38523","35966","39465","34540",,89.1,,95.3,100,
"Phase Layer XXIV",,,,,,,,,,,,,,
"Boundary Boundary Layer XXIV bottom",,,,,"39339","36869","40043","35379",,,,,98.6,
"Boundary Boundary Layer IV top",,,,,"40254","38840","40705","37552",,,,,99.1,
"R_Date sample #22 14C","40087","39365","40553","39175","40422","39602","40771","39259",,88.6,,95.3,99.3,
"R_Date sample #23 14C","41165","39019","41861","37549","41030","39708","41829","38992",,117.3,,96.1,99.5,
"R_Date sample #24 14C","41456","40777","41862","40491","41363","40659","41816","40231",,96.1,,95.9,99.3,
"N sample #32 SG-OSL","47566","41191","50569","38189","41958","39667","44898","38739",,81.2,,95.2,99.9,
"Phase Layer IV",,,,,,,,,,,,,,
"Boundary Boundary Layer IV bottom",,,,,"43074","40576","47680","40010",,,,,92,
"Boundary Boundary Layer V Speleothem top",,,,,"55872","54695","56065","51815",,,,,96.2,
"N sample #43b U/Th","58159","56614","58887","55887","57470","56308","58123","55708",,99.6,,96,99.9,
"N sample #43a U/Th","57672","55901","58507","55067","57193","55938","57881","55301",,113.6,,96.3,99.7,
"N sample #44b U/Th","55860","55613","55977","55497","55884","55631","56033","55484",,99.2,,95.2,99.7,
"N sample #44a U/Th","57056","56778","57187","56647","57038","56760","57189","56608",,100.8,,96,99.8,
"Phase Layer V Speleothem",,,,,,,,,,,,,,
"Boundary Boundary Layer V Speleothem bottom",,,,,"57992","56882","59311","56701",,,,,99.5,
"Boundary Boundary Layer Va top",,,,,"60080","57452","62018","57004",,,,,98.3,
"N sample #33 IRSL","60519","50740","65218","46042","61181","58305","63434","56914",,89.2,,95.1,99.9,
"N sample #34 IRSL","62551","54182","66493","50241","61493","58242","63727","57348",,120.3,,95.4,99.9,
"N sample #35 SG-OSL","63409","54128","67779","49759","61667","58153","63829","57342",,126.7,,95.4,99.9,
"Phase Layer Va",,,,,,,,,,,,,,
"Boundary Boundary Layer Va bottom",,,,,"63271","58775","66420","57692",,,,,94.6,
"Boundary Boundary Layer Vf top",,,,,"69759","62235","73781","59757",,,,,97.5,
"N sample #36 IRSL","74213","64280","78891","59603","72505","65128","76508","62090",,113.7,,95.3,99.9,
"Boundary Boundary Layer Vf bottom",,,,,"75818","66652","81137","63512",,,,,97,
"Boundary Boundary Layer Vg top",,,,,"82649","71920","88035","67584",,,,,97.3,
"N sample #37 SG-OSL","83322","70917","89282","64958","86231","75893","91643","71393",,95.5,,94.9,99.9,
"Boundary Boundary Layer Vg bottom",,,,,"98574","76618","125096","72662",,,,,89,
"Boundary Boundary Layer XXX top",,,,,"147143","105384","159946","86591",,,,,90.5,
"N sample #38 SG-OSL","159256","130690","172979","116967","161722","133856","175305","120553",,100.5,,95,99.9,
"Boundary Boundary Layer XXX bottom",,,,,"241342","135937","372055","130474",,,,,55.8,
"Boundary Boundary Bedrock Speleothem top",,,,,"491669","427300","507687","344820",,,,,32,
"N sample #42b U/Th","510825","467049","531437","446437","498406","457818","519656","436993",,95.6,,95,99.7,
"N sample #42a U/Th","595617","480257","649937","425937","503078","452118","536118","419638",,79.5,,95,99.7,
"Phase Bedrock Speleothem",,,,,,,,,,,,,,
"Boundary Boundary Bedrock Speleothem bottom",,,,,"512583","462199","531222","458871",,,,,3.7,
"Sequence Cova del Gegant Sequence",,,,,,,,,,,,,,
"Boundary End Teixoneres Unit II",,,,,"40049","32873","40374","29418",,,,,0.1,
"R_Date MAMS-17608","40316","39806","40530","39624","40349","39813","40586","39568",,99.6,,94.6,97.6,
