"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 140.6
Aoverall 144.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Difference d_StartFOAur_minus_EndGEIV",,,,,"525","2514","-769","3283",,,,,99.5,
"Difference d_StartFOAur_minus_EndGEXXIV",,,,,"-3542","-345","-4939","1038",,,,,99.4,
"Difference d_StartFOAur_minus_EndRC",,,,,"-583","2080","-4488","2764",,,,,99.1,
"Difference d_StartFOAur_minus_End497D",,,,,"-973","2132","-6017","2622",,,,,99.2,
"=Boundary Layer IV top",,,,,"40264","38800","40675","37521",,,,,99.3,
"=Boundary Layer XXIV top",,,,,"37673","34481","38670","33293",,,,,98.1,
"=End RC Layer I-Ia",,,,,"39773","37721","40020","31172",,,,,92,
"=End 497D",,,,,"39672","37227","39904","29853",,,,,97.2,
"=Start FO Unit-IIIc",,,,,"38470","37183","39272","36827",,,,,99.4,
"Order M5-FPM-S2 upper cap diagnostic",,,,,,,,,,,,,,
"Difference d_StartGEIV_minus_EndTXPM",,,,,"654","3272","-4113","3893",,,,,98.9,
"Difference d_StartGEIV_minus_EndS1B",,,,,"-1746","1448","-6484","2175",,,,,99.1,
"Difference d_StartGEIV_minus_EndARBLevelI",,,,,"-1168","1498","-5975","2114",,,,,98.4,
"Difference d_StartGEIV_minus_EndARLevelB",,,,,"-401","2110","-5113","2743",,,,,98.9,
"Difference d_StartGEXXIV_minus_EndTXPM",,,,,"4466","6983","3664","8540",,,,,99.5,
"Difference d_StartGEXXIV_minus_EndS1B",,,,,"2284","5199","940","6778",,,,,99.4,
"Difference d_StartGEXXIV_minus_EndARBLevelI",,,,,"2644","5224","1782","6729",,,,,99.3,
"Difference d_StartGEXXIV_minus_EndARLevelB",,,,,"3386","5872","2648","7380",,,,,99.4,
"Difference d_StartRC_minus_EndTXPM",,,,,"2462","4224","-954","4627",,,,,99,
"Difference d_StartRC_minus_EndS1B",,,,,"-74","2460","-3244","2909",,,,,99.4,
"Difference d_StartRC_minus_EndARBLevelI",,,,,"610","2451","-2797","2770",,,,,99,
"Difference d_StartRC_minus_EndARLevelB",,,,,"1458","3053","-1929","3336",,,,,99.3,
"Difference d_Start497D_minus_EndTXPM",,,,,"2942","4639","1643","5057",,,,,99.2,
"Difference d_Start497D_minus_EndS1B",,,,,"4","1988","-2","2981",,,,,99.7,
"Difference d_Start497D_minus_EndARBLevelI",,,,,"1150","2857","-219","3272",,,,,99.6,
"Difference d_Start497D_minus_EndARLevelB",,,,,"1952","3492","599","3855",,,,,99.7,
"=Boundary Layer XXIV bottom",,,,,"39324","36812","40040","35368",,,,,98.6,
"=Start RC Layer I-Ia",,,,,"41217","39682","46469","39508",,,,,95.3,
"=Start 497D",,,,,"40730","39249","42119","38949",,,,,99.5,
"=Transition Teixoneres Unit III/II",,,,,"44114","43477","44383","43219",,,,,96.1,
"=End S1B",,,,,"42629","41239","42791","39923",,,,,99.6,
"=End ARB Level-I",,,,,"42424","41771","42574","41147",,,,,99.2,
"=End AR Level B",,,,,"42843","42560","43031","42417",,,,,99.8,
"Order M5-FPM-S2 PM-final vs open posterior comparators",,,,,,,,,,,,,,
"Difference d_StartFOChat_minus_EndTXPM",,,,,"2645","4442","-705","4873",,,,,98.7,
"Difference d_StartFOChat_minus_EndS1B",,,,,"177","2702","-3169","3204",,,,,99.3,
"Difference d_StartFOChat_minus_EndARBLevelI",,,,,"800","2662","-2666","3041",,,,,98.7,
"Difference d_StartFOChat_minus_EndARLevelB",,,,,"1649","3267","-1787","3587",,,,,99.2,
"Difference d_StartARBProto_minus_EndTXPM",,,,,"2077","3178","1533","3683",,,,,98.9,
"Difference d_StartARBProto_minus_EndS1B",,,,,"-182","1585","-1473","2058",,,,,99.6,
"Difference d_StartARBProto_minus_EndARBLevelI",,,,,"114","1143","-2","1666",,,,,99.5,
"Difference d_StartARBProto_minus_EndARLevelB",,,,,"1070","2032","581","2463",,,,,99.7,
"Difference d_StartARProto_minus_EndTXPM",,,,,"1415","2170","1070","2527",,,,,97.6,
"Difference d_StartARProto_minus_EndS1B",,,,,"-836","661","-2160","939",,,,,99.6,
"Difference d_StartARProto_minus_EndARBLevelI",,,,,"-337","467","-955","759",,,,,99.5,
"Difference d_StartARProto_minus_EndARLevelB",,,,,"436","941","222","1233",,,,,99.8,
"=Start FO Unit-IV.1-IV",,,,,"41032","39460","44419","39293",,,,,90.6,
"=Start ARB Level-H",,,,,"41609","40685","42089","40309",,,,,98.9,
"=Start AR Level A",,,,,"42223","41814","42414","41564",,,,,98.9,
"=Transition Teixoneres Unit III/II",,,,,"44114","43477","44383","43219",,,,,96.1,
"=End S1B",,,,,"42629","41239","42791","39923",,,,,99.6,
"=End ARB Level-I",,,,,"42424","41771","42574","41147",,,,,99.2,
"=End AR Level B",,,,,"42843","42560","43031","42417",,,,,99.8,
"Order M5-FPM-S2 PM-final vs strong posterior controls",,,,,,,,,,,,,,
"Difference d_EndTXPM_minus_EndS1B",,,,,"-2686","-1077","-3985","-745",,,,,98.9,
"Difference d_EndTXPM_minus_EndARBLevelI",,,,,"-2213","-1269","-2830","-920",,,,,98.5,
"Difference d_EndTXPM_minus_EndARLevelB",,,,,"-1435","-736","-1752","-415",,,,,97.2,
"Difference d_EndARBLevelI_minus_EndS1B",,,,,"-977","701","-2265","1230",,,,,99.6,
"Difference d_EndARLevelB_minus_EndS1B",,,,,"-1502","-60","-2813","151",,,,,99.7,
"Difference d_EndARLevelB_minus_EndARBLevelI",,,,,"-998","-257","-1625","-53",,,,,99.8,
"=Transition Teixoneres Unit III/II",,,,,"44114","43477","44383","43219",,,,,96.1,
"=End S1B",,,,,"42629","41239","42791","39923",,,,,99.6,
"=End ARB Level-I",,,,,"42424","41771","42574","41147",,,,,99.2,
"=End AR Level B",,,,,"42843","42560","43031","42417",,,,,99.8,
"Order M5-FPM-S2 core PM-final block",,,,,,,,,,,,,,
"Cova del Gegant top age",,,,,"1","0","1","0",,,,,100,
"Before","...","1950.55","...","1950.55",,,,,,,,,,
"Boundary Boundary Layer I top",,,,,"1731","840","1735","121",,,,,84.8,
"R_Date sample #3 14C","1738","1704","1785","1626","1739","1703","1822","1620",,98.2,,93.7,97.2,
"Boundary Boundary Layer I bottom",,,,,"2596","1705","3292","1647",,,,,90.8,
"Boundary Boundary Layer XXV top",,,,,"3452","3342","3477","3104",,,,,98.1,
"R_Date sample #4 14C","3448","3393","3462","3366","3456","3405","3475","3374",,100.3,,97.1,98.9,
"R_Date sample #8 14C","3564","3483","3633","3452","3520","3453","3577","3409",,95.7,,97.1,96.7,
"R_Date sample #9 14C","3556","3450","3565","3405","3508","3445","3558","3406",,112.3,,97.6,97.9,
"R_Date sample #10 14C","3459","3398","3482","3382","3463","3407","3483","3388",,103.3,,97.7,98.6,
"Phase Layer XXV",,,,,,,,,,,,,,
"Boundary Boundary Layer XXV bottom",,,,,"3593","3459","3880","3410",,,,,83.1,
"Boundary Boundary Layer II top",,,,,"30545","29337","30718","27496",,,,,92,
"N sample #27 SG-OSL","34372","30357","36263","28467","31471","30243","32173","29444",,102.5,,95.6,99.9,
"R_Date sample #11 14C","31371","31089","31617","31045","31311","31075","31618","30988",,107,,94.8,99.6,
"R_Date sample #12 14C","30359","30110","30735","30045","30685","30101","30760","30067",,90.7,,96.2,99.5,
"R_Date sample #13 14C","30766","30397","30901","30260","30778","30411","30910","30266",,102.1,,96.6,99.6,
"Phase Layer II",,,,,,,,,,,,,,
"Boundary Boundary Layer II bottom",,,,,"31843","31157","32653","31048",,,,,99.5,
"Boundary Boundary Layer III top",,,,,"32963","31892","33432","31387",,,,,99.5,
"R_Date sample #19 14C","33128","32224","33580","31943","33260","32378","33691","32056",,99.1,,95.6,99.7,
"N sample #28 SG-OSL","37768","32729","40141","30357","33739","32247","35207","31758",,98.6,,95.5,100,
"Phase Layer III",,,,,,,,,,,,,,
"Boundary Boundary Layer III bottom",,,,,"34498","32526","36409","32150",,,,,98.6,
"Boundary Boundary Layer XXIV top",,,,,"37673","34481","38670","33293",,,,,98.1,
"N sample #29 IRSL","38463","33400","40896","30968","38329","35648","39297","34333",,119.2,,95.6,99.9,
"N sample #30 SG-OSL","42445","36902","45056","34292","38496","35966","39465","34567",,88.7,,95.2,100,
"Phase Layer XXIV",,,,,,,,,,,,,,
"Boundary Boundary Layer XXIV bottom",,,,,"39324","36812","40040","35368",,,,,98.6,
"Boundary Boundary Layer IV top",,,,,"40264","38800","40675","37521",,,,,99.3,
"R_Date sample #22 14C","40087","39365","40553","39175","40420","39588","40796","39240",,88.1,,94.6,99.2,
"R_Date sample #23 14C","41165","39019","41861","37549","41018","39705","41826","38984",,116.9,,95.9,99.5,
"R_Date sample #24 14C","41456","40777","41862","40491","41368","40660","41822","40244",,96,,95.4,99.3,
"N sample #32 SG-OSL","47566","41191","50569","38189","41988","39667","44991","38739",,81.4,,95.2,99.9,
"Phase Layer IV",,,,,,,,,,,,,,
"Boundary Boundary Layer IV bottom",,,,,"43082","40555","47840","40111",,,,,91.6,
"Boundary Boundary Layer V Speleothem top",,,,,"55868","54677","56692","51773",,,,,96.3,
"N sample #43b U/Th","58159","56614","58887","55887","57478","56308","58115","55708",,99.4,,95.9,99.9,
"N sample #43a U/Th","57672","55901","58507","55067","57193","55946","57881","55301",,113.5,,96.2,99.9,
"N sample #44b U/Th","55860","55613","55977","55497","55887","55631","56050","55468",,98.2,,94.2,99.7,
"N sample #44a U/Th","57056","56778","57187","56647","57038","56762","57194","56604",,100.4,,95.5,99.8,
"Phase Layer V Speleothem",,,,,,,,,,,,,,
"Boundary Boundary Layer V Speleothem bottom",,,,,"58003","56880","59337","56691",,,,,99.4,
"Boundary Boundary Layer Va top",,,,,"60069","57467","62020","56992",,,,,98.3,
"N sample #33 IRSL","60519","50740","65218","46042","61229","58353","63386","56962",,89,,95.1,99.9,
"N sample #34 IRSL","62551","54182","66493","50241","61493","58283","63727","57348",,120.1,,95.3,99.9,
"N sample #35 SG-OSL","63409","54128","67779","49759","61622","58198","63829","57342",,126.5,,95.3,99.9,
"Phase Layer Va",,,,,,,,,,,,,,
"Boundary Boundary Layer Va bottom",,,,,"63302","58772","66404","57727",,,,,94.5,
"Boundary Boundary Layer Vf top",,,,,"69744","62240","73778","59804",,,,,97.6,
"N sample #36 IRSL","74213","64280","78891","59603","72554","65128","76508","62090",,113.6,,95.2,100,
"Boundary Boundary Layer Vf bottom",,,,,"75895","66819","81111","63390",,,,,97.2,
"Boundary Boundary Layer Vg top",,,,,"82627","71944","88057","67477",,,,,97.3,
"N sample #37 SG-OSL","83322","70917","89282","64958","86170","75893","91643","71454",,95.4,,94.9,99.9,
