age_b2k,age_ka_cal_bp,ngrip_depth_m,d18o_permil,core_id
29100,29.050,1894.79,-45.15,909
29120,29.070,1895.08,-43.98,911
29140,29.090,1895.35,-44.89,912
29160,29.110,1895.64,-42.89,913
29180,29.130,1895.93,-43.79,914
29200,29.150,1896.20,-45.31,915
29220,29.170,1896.50,-43.82,917
29240,29.190,1896.78,-42.86,918
29260,29.210,1897.05,-45.81,918
29280,29.230,1897.32,-44.05,919
29300,29.250,1897.63,-43.67,919
29320,29.270,1897.89,-44.52,920
29340,29.290,1898.20,-42.80,921
29360,29.310,1898.48,-44.88,923
29380,29.330,1898.78,-43.81,923
29400,29.350,1899.08,-43.22,924
29420,29.370,1899.35,-43.34,926
29440,29.390,1899.61,-43.94,926
29460,29.410,1899.90,-45.35,927
29480,29.430,1900.16,-44.63,928
29500,29.450,1900.40,-43.92,930
29520,29.470,1900.64,-46.36,932
29540,29.490,1900.91,-44.45,933
29560,29.510,1901.16,-44.09,935
29580,29.530,1901.46,-44.61,937
29600,29.550,1901.78,-45.84,938
29620,29.570,1902.06,-46.22,940
29640,29.590,1902.34,-44.46,943
29660,29.610,1902.60,-43.01,945
29680,29.630,1902.87,-44.90,946
29700,29.650,1903.16,-46.45,948
29720,29.670,1903.42,-44.21,950
29740,29.690,1903.67,-46.14,953
29760,29.710,1903.98,-44.54,954
29780,29.730,1904.27,-44.42,956
29800,29.750,1904.57,-43.57,958
29820,29.770,1904.85,-44.05,959
29840,29.790,1905.12,-45.18,960
29860,29.810,1905.42,-44.54,961
29880,29.830,1905.74,-43.74,963
29900,29.850,1906.01,-44.68,965
29920,29.870,1906.28,-44.48,966
29940,29.890,1906.58,-43.72,967
29960,29.910,1906.89,-44.63,968
29980,29.930,1907.22,-44.08,969
30000,29.950,1907.54,-42.98,971
30020,29.970,1907.80,-43.67,973
30040,29.990,1908.09,-45.52,973
30060,30.010,1908.37,-45.70,975
30080,30.030,1908.67,-43.85,977
30100,30.050,1908.95,-44.95,977
30120,30.070,1909.22,-46.25,979
30140,30.090,1909.50,-44.21,980
30160,30.110,1909.77,-45.03,981
30180,30.130,1910.09,-44.59,982
30200,30.150,1910.36,-43.06,983
30220,30.170,1910.63,-45.43,984
30240,30.190,1910.92,-44.55,986
30260,30.210,1911.19,-44.65,987
30280,30.230,1911.46,-45.24,989
30300,30.250,1911.72,-44.76,990
30320,30.270,1912.04,-44.87,991
30340,30.290,1912.33,-43.49,992
30360,30.310,1912.60,-44.28,993
30380,30.330,1912.87,-42.29,994
30400,30.350,1913.19,-43.97,995
30420,30.370,1913.44,-44.73,996
30440,30.390,1913.69,-44.93,999
30460,30.410,1913.92,-45.24,999
30480,30.430,1914.17,-44.77,999
30500,30.450,1914.48,-43.95,1000
30520,30.470,1914.78,-43.47,1002
30540,30.490,1915.13,-43.49,1004
30560,30.510,1915.41,-44.21,1006
30580,30.530,1915.75,-42.71,1007
30600,30.550,1916.08,-44.22,1008
30620,30.570,1916.43,-43.29,1009
30640,30.590,1916.77,-43.80,1011
30660,30.610,1917.12,-41.58,1012
30680,30.630,1917.45,-42.44,1013
