"site_code","site","bin_key","component","n_dates","median_cal_ka","min_cal_ka","max_cal_ka","cal_95_older_ka","cal_68_older_ka","cal_68_younger_ka","cal_95_younger_ka","cultural_attribution","time_window","map_site_code","site_name","municipality","comarca","province","latitude","longitude","utm_epsg","utm_easting","utm_northing","source_type","source_detail","coord_note"
"AR","Abric Romaní","AR_A","Protoaurignacian",8,41.4705,40.449,42.136,43.144,42.59,39.672,38.562,"Protoaurignacian","43-41","AR","Abric Romaní","Capellades","Anoia","Barcelona",41.53284,1.68811,"EPSG:25831",390560.185117871,4598740.92084733,"Inventario patrimonial","Mapes de Patrimoni Cultural (DIBA)","Coordenada patrimonial del abrigo."
"AR","Abric Romaní","AR_B","MP",1,42.656,42.656,42.656,42.975,42.814,42.507,42.382,"MP","43-41","AR","Abric Romaní","Capellades","Anoia","Barcelona",41.53284,1.68811,"EPSG:25831",390560.185117871,4598740.92084733,"Inventario patrimonial","Mapes de Patrimoni Cultural (DIBA)","Coordenada patrimonial del abrigo."
"AR","Abric Romaní","AR_D","MP",1,43.751,43.751,43.751,45.064,44.408,43.114,42.673,"MP","45-43","AR","Abric Romaní","Capellades","Anoia","Barcelona",41.53284,1.68811,"EPSG:25831",390560.185117871,4598740.92084733,"Inventario patrimonial","Mapes de Patrimoni Cultural (DIBA)","Coordenada patrimonial del abrigo."
"AR","Abric Romaní","AR_E","MP",1,45.723,45.723,45.723,47.795,46.763,44.883,44.068,"MP","47-45","AR","Abric Romaní","Capellades","Anoia","Barcelona",41.53284,1.68811,"EPSG:25831",390560.185117871,4598740.92084733,"Inventario patrimonial","Mapes de Patrimoni Cultural (DIBA)","Coordenada patrimonial del abrigo."
"ARB","L'Arbreda","ARB_E","Gravettian",2,30.219,30.063,30.375,30.869,30.687,29.88,29.426,"Gravettian","31-29","ARB","Cova de l'Arbreda","Serinyà","Pla de l'Estany","Girona",42.160556,2.746944,"EPSG:25831",479095.262428992,4667633.80990724,"Tesis / bibliografía","Tesis UB con coordenadas publicadas en DMS","Convertida de DMS a decimal."
"ARB","L'Arbreda","ARB_G","Aurignacian",3,36.633,36.47,37.261,38.886,38.122,36.015,35.54,"Late Aurignacian","37-35","ARB","Cova de l'Arbreda","Serinyà","Pla de l'Estany","Girona",42.160556,2.746944,"EPSG:25831",479095.262428992,4667633.80990724,"Tesis / bibliografía","Tesis UB con coordenadas publicadas en DMS","Convertida de DMS a decimal."
"ARB","L'Arbreda","ARB_H","Protoaurignacian",6,40.877,39.885,41.007,42.013,41.573,38.949,37.735,"Protoaurignacian","41-39","ARB","Cova de l'Arbreda","Serinyà","Pla de l'Estany","Girona",42.160556,2.746944,"EPSG:25831",479095.262428992,4667633.80990724,"Tesis / bibliografía","Tesis UB con coordenadas publicadas en DMS","Convertida de DMS a decimal."
"ARB","L'Arbreda","ARB_I","MP",3,42.392,41.832,42.887,44.263,43.698,41.324,40.752,"MP","43-41","ARB","Cova de l'Arbreda","Serinyà","Pla de l'Estany","Girona",42.160556,2.746944,"EPSG:25831",479095.262428992,4667633.80990724,"Tesis / bibliografía","Tesis UB con coordenadas publicadas en DMS","Convertida de DMS a decimal."
"ARB","L'Arbreda","ARB_HG_contact","Non-diagnostic human presence",1,38.625,38.625,38.625,39.955,39.345,37.767,37.121,"uncertain","39-37","ARB","Cova de l'Arbreda","Serinyà","Pla de l'Estany","Girona",42.160556,2.746944,"EPSG:25831",479095.262428992,4667633.80990724,"Tesis / bibliografía","Tesis UB con coordenadas publicadas en DMS","Convertida de DMS a decimal."
"CGSL","Cova Gran de Santa Linya","CGSL_Ramp_497D","Non-diagnostic human presence",2,38.223,37.086,39.36,39.835,39.593,36.556,36.19,"EUP","39-37","CGSL","Cova Gran de Santa Linya","Les Avellanes i Santa Linya","La Noguera","Lleida",41.926031,0.811439,"EPSG:25831",318534.018062133,4643879.91585066,"Wikidata","Wikidata coordinate location","Coordenada pública de referencia del yacimiento."
"CGSL","Cova Gran de Santa Linya","CGSL_Ramp_S1B","MP",1,42.502,42.502,42.502,42.866,42.687,42.34,42.184,"MP","43-41","CGSL","Cova Gran de Santa Linya","Les Avellanes i Santa Linya","La Noguera","Lleida",41.926031,0.811439,"EPSG:25831",318534.018062133,4643879.91585066,"Wikidata","Wikidata coordinate location","Coordenada pública de referencia del yacimiento."
"CV","Cova del Coll Verdaguer","CV_SalaSaldeLlop_Unit1","Non-diagnostic human presence",1,42.067,42.067,42.067,42.493,42.292,41.725,41.367,"MP","43-41","CV","Cova del Coll Verdaguer","Cervelló","Baix Llobregat","Barcelona",41.393078,1.911058,"EPSG:25831",408963.85374656,4582966.00127244,"Artículo científico","ScienceDirect / Quaternary Science Reviews (coordenadas publicadas en DMS)","Convertida de DMS a decimal."
"CV","Cova del Coll Verdaguer","CV_SalaSaldeLlop_Unit2","Non-diagnostic human presence",1,42.252,42.252,42.252,42.684,42.46,42.014,41.633,"MP","43-41","CV","Cova del Coll Verdaguer","Cervelló","Baix Llobregat","Barcelona",41.393078,1.911058,"EPSG:25831",408963.85374656,4582966.00127244,"Artículo científico","ScienceDirect / Quaternary Science Reviews (coordenadas publicadas en DMS)","Convertida de DMS a decimal."
"CY","Riera dels Canyars","CY_CalaA_RasaD_I_Ia","Non-diagnostic human presence",5,39.982,38.714,40.139,40.845,40.512,38.006,37.559,"Early Aurignacian","41-39","CAN","Terrasses de la Riera dels Canyars","Gavà","Baix Llobregat","Barcelona",41.296111,1.979722,"EPSG:25831",414577.635971023,4572131.00444977,"Artículo científico","Daura et al. / Quaternary Science Reviews (coordenadas publicadas en DMS)","Convertida de DMS a decimal."
