Evidence block,Category,Determinations,Analytical bins,Sites,Site-level archaeological units,Main 14C-window subset
Nested analytical corpus,Regional analytical corpus,162,64,10,60,Full retained corpus.
Nested analytical corpus,Comparable radiocarbon base,69,29,10,29,65 dates / 26 bins.
Nested analytical corpus,Human-presence subset,58,27,10,27,54 dates / 24 bins.
Nested analytical corpus,Diagnostic chrono-cultural subset,34,15,6,15,33 dates / 14 bins.
Nested analytical corpus,Non-diagnostic human-presence layer,24,12,7,12,21 dates / 10 bins.
Human-presence components,MP,7,6,3,6,45-25 ka 14C BP.
Human-presence components,Châtelperronian,2,1,1,1,45-25 ka 14C BP.
Human-presence components,Protoaurignacian,11,2,2,2,45-25 ka 14C BP.
Human-presence components,Aurignacian,9,3,3,3,45-25 ka 14C BP.
Human-presence components,Gravettian,4,2,2,2,45-25 ka 14C BP.
Human-presence components,Non-diagnostic human-presence layer,21,10,6,10,21 dates / 10 bins.
